member_contract_id	contract_statuses	e01_relation_class	e01_input_ids	exact_contract_present_in_e01	new_mandatory_operation_absent_from_e01	exact_reason	status
DENSE-ALIGN-EVIDENCE	EXCLUDED_BLOCKS_NAMED_CLAIM	RAW_OR_INITIALIZATION_AUTHORITY_EVIDENCE	E01-DISP-10	NO	NO	This all-excluded member records a raw, unchecked, alignment, initialization-authority, length-authority, or box evidence route; it remains rejection evidence rather than a mandatory operation.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-APPEND-MOVE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-BOX-INIT-EVIDENCE	EXCLUDED_BLOCKS_NAMED_CLAIM	RAW_OR_INITIALIZATION_AUTHORITY_EVIDENCE	E01-DISP-10	NO	NO	This all-excluded member records a raw, unchecked, alignment, initialization-authority, length-authority, or box evidence route; it remains rejection evidence rather than a mandatory operation.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-CLEAR	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-CLONE-FROM	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-08,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-COLLECT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-COMPARE	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-CONCAT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-08,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-CONVERT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-COPY-FROM	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-02,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
