candidate	operation	route_state	capability_composition	performance_blocker_removed	owner_cleanup	provenance	concurrency	runtime_state	structural_delta	extension_effect	unresolved	falsifier
B-FORMS	H-LOOKUP	OPEN	BF-1 storage, BF-2 Sparse, BF-5 footprint, and BF-10 membership fact.	The intended composition would avoid initializing vacant payload and avoid payload traffic on a probe miss.	Lookup moves no payload owner and owes no cleanup beyond temporary borrows.	The intended slot borrow must name the table allocation root, version, and payload place.	Unique table access plus behavior-call effects; no shared lifecycle is selected.	Reference control bytes, probe state, and payload only.	Cannot be accounted because Sparse has no public exact control-to-place admission rule.	Closing the gap requires either a project-independent admission grammar or another sparse profile/form.	Exact classifier, metadata/payload version coupling, and fact invalidation are undefined.	A control byte or bucket integer grants payload access without a maintained exact relation.
B-FORMS	H-INSERT	OPEN	BF-1 storage, BF-2 Sparse/Hole, BF-3 initialize, BF-4 protocol, BF-5 footprint, BF-9 cleanup, and C0 failure.	The intended composition would place offered owners directly into one vacant slot without a tag, temporary box, or clone.	Precommit failure must return key and value; commit moves both once; later failure must account the new slot.	Entry and result authority must retain table root, version, slot, and payload place.	Unique mutation; hash/equality behavior grants no liveness.	Reference control bytes, counters, offered owners, and optional growth root only.	Cannot be accounted because the Sparse transition and logical commit relation are not defined.	Repair pressure adds an insertion form or opens a generic relation language.	Vacant admission, metadata write order, owner return, and result-map invalidation remain undefined.	A failed insertion loses an offered owner or publishes occupancy before the payload is live.
B-FORMS	H-REPLACE	OPEN	BF-2 Sparse, BF-3 replace, BF-4 protocol, BF-6 result source, BF-9 cleanup, and C0 callable outcomes.	The intended route would return the displaced value directly and destroy the duplicate key exactly once.	Stored key stays; new value moves in; old value moves out; offered duplicate key is retained, returned, or destroyed by one closed branch.	Returned owners and any borrow result must retain the exact stored/offered source and table root/version.	Unique mutation; callback effects must not preserve stale occupancy facts.	Only reference payload traffic, callback state, and existing control metadata.	The flat transition table does not close every callback outcome against Sparse membership and cleanup.	Each new replace-with outcome expands topology x callback x cleanup tables.	Exact branch-specific commit, restore/remove state, and source maps are missing.	One owner is live in both old and new state, or the duplicate key is dropped twice.
B-FORMS	H-REMOVE	OPEN	BF-2 Sparse, BF-3 take, BF-4 protocol, BF-5 footprint, BF-6 result source, and BF-10 facts.	The intended route would move one owner out and retain stale bytes without zeroing or wrapping every slot.	The removed owner moves once; the slot becomes vacant-stop or vacant-continue and is not destroyed again.	The result owner derives from the exact payload place; every old entry/borrow token must invalidate.	Unique mutation; no shared lifecycle selected.	Reference erase classifier, control write, counters, and returned owner only.	The flat Sparse form does not define the public erase classifier or exact post-state facts.	Closing it by another removal/profile table increases form and interaction count.	EMPTY versus DELETED selection and probe-fact invalidation are underdefined.	Removal returns an owner while the old topology still treats the slot as live.
B-FORMS	H-REHASH	OPEN	BF-1 storage, BF-2 Sparse/Hole/Product, BF-3 relocate/swap, BF-4 protocol, BF-9 cleanup, BF-10 facts, and C0 allocation.	The intended route would move each live owner once and avoid a persistent per-slot phase tag or snapshot.	The phase must partition processed, pending-live, vacant, and carried owners; every normal/recoverable exit accounts each once.	Resize changes physical roots only at commit; in-place movement retains exact source/destination roots and versions.	Unique mutation; hash callbacks borrow only already-authorized keys.	Reference control bytes, counters, progress, optional new root, and carried owner.	Canonical Sparse/Hole cleanup does not define transition-local DELETED-live meaning or partial-progress disposition.	Repair requires a new rehash phase/cleanup form or a general relation language.	Phase admission, loop join, staged-byte ownership, and failure cleanup are undefined.	Ordinary DELETED is used as live, or a pending owner leaks or is destroyed twice after partial progress.
B-FORMS	M-ALLOC	OPEN	BF-1 raw storage, BF-2 Sparse or Hole, BF-3 take/reclassify, BF-4 protocol, and BF-9 cleanup.	The intended route would pop one intrusive node and return the remaining bytes uninitialized with no permanent tag or per-block allocation.	One free-node owner leaves the page list and becomes one caller block owner; the remainder is vacant bytes, not a typed value.	The block subowner must retain the physical page root despite separate page metadata.	Local page authority; no atomic event on this path.	Existing free-list link, page counters, and returned pointer only.	No flat topology form defines a partial-word free-node overlay followed by uninitialized caller bytes.	Closing it adds an allocator/block overlay form unless a project-independent role grammar is introduced.	Suballocation, overlay alignment, page reunification, and role invalidation are undefined.	Allocation initializes the whole block, adds a role tag, or permits page release while the block owner is live.
B-FORMS	M-LOCAL-FREE	OPEN	BF-1 storage, BF-2 Sparse or Hole, BF-3 destroy/reclassify, BF-4 protocol, and BF-9 cleanup.	The intended route would consume the block directly into a local intrusive link with no atomic, zeroing, or backpointer.	Caller block owner is consumed once; its first word becomes the next-link owner edge and page counts change once.	The block remains a subowner of the same physical page root after metadata or heap association changes.	Owner-thread authority selects the non-atomic path.	Existing link word, page counters, and local list head only.	The flat forms do not define exact payload-to-free-node overlay and page subowner return.	A local-free form would be allocator-shaped and would interact with every lifecycle form.	Partial retyping, padding, and final page-root reunification remain undefined.	Local free emits an atomic event, zeros the block, or leaves both caller payload and free-node live.
B-FORMS	M-REMOTE-FREE	OPEN	BF-1 storage, BF-3 transitions, BF-4 protocol, BF-8 shared lifecycle, BF-9 cleanup, BF-10 facts, and C0 atomics.	The intended route would transfer one owner on successful CAS and preserve bounded deferred collection without a per-block count or hazard record.	Failed/retried CAS retains the block; success transfers it to the remote list; collection consumes each once before page disposition.	Block disposition and page lifetime must remain rooted in the physical page allocation across map and heap moves.	Requires exact atomic custody plus a safe reader-quiescence producer; BF-8 does not define either precisely.	Reference link word, packed atomic head/state, counters, page map, and bounded traversal only.	Shared-lifecycle and cleanup forms cannot account the source-specific page-map reader protocol without extra policy semantics.	Repair pressure adds allocator/page-map lifecycle forms or opens writer concurrency proofs.	Atomic owner commit, abandoned-reader exclusion, page release, and memory-order facts are undefined.	Ownership transfers before CAS success or the page root is released while a block or map reader remains live.
B-FORMS	S-INSERT-SPLIT	OPEN	BF-1 byte storage, BF-2 Product/Hole, BF-3 relocate, BF-4 protocol, BF-5 footprints, BF-9 cleanup, and C0 allocation/external rows.	The intended route would move exact cell ranges among page and scratch roots without whole-page copies or per-cell boxes.	Page pins, overflow pages, scratch roots, staged cells, and offered payload are accounted; failure may require pager repair.	Every cell/range borrow must name its cache or scratch physical root, not page number or cursor slot.	Mutex and pager transaction policy remain ordinary library synchronization over C0 events.	Reference page bytes, pointer arrays, pins, scratch roots, journaling, and bounded sibling state.	Product/Hole does not define variable checked subranges, dependency-ordered invalidation, or a repair-required result.	Closing each packed-page/balance shape separately converges toward family-specific forms.	Packed range admission, cross-root source maps, partial balance state, and transaction-level repair are undefined.	Whole-page exclusivity forces an extra copy or a failed balance escapes as a usable stable tree.
B-FORMS	S-DELETE-BALANCE	OPEN	BF-1 byte storage, BF-2 Product/Hole, BF-3 take/relocate/destroy, BF-4 protocol, BF-5 footprints, BF-9 cleanup, and C0 external rows.	The intended route would retain stale freed bytes, move overflow ownership once, and rebalance bounded pages without whole-tree work.	Removed cell/overflow ownership is returned or freed exactly; predecessor ownership moves; all pins/scratch close; later error may require pager repair.	Cell, overflow, and predecessor ranges retain their physical cache/scratch roots across rekeying.	Mutex, write transaction, table lock, and pager policy remain explicit library/C0 state.	Reference overflow walk, bounded sibling work, page freelist updates, pins, and optional secure-delete zeroing only.	Flat forms lack exact packed-range invalidation, overflow-chain transfer, and rollback-required outcome.	Separate B-tree delete/balance forms would reproduce C-style operation families.	Subrange lifetime, predecessor-chain move, page release, and persistent repair state are undefined.	The overflow chain is duplicated/lost, or ordinary delete is forced to zero/write bytes the source leaves stale.
