contract_id	family	rust_surfaces	pre_state	input_ownership	post_state_result	invalidation	failure_drop_abandonment	complexity	layout_identity_order	behavior_parameter	implementation_privilege_evidence	xlang_current_status	required_obligations	source_refs
ARR-VIEW-01	fixed_array_view	array::{as_slice,as_mut_slice}	Fully initialized fixed-size array	Shared or unique borrow of array	Borrowed runtime-length view of all elements	View lifetime blocks conflicting owner access; unique view excludes every overlapping access	No failure; no ownership transfer	O(1)	Preserves contiguous order and element addresses for borrow lifetime	None	Safe reference construction; no raw caller obligation	E for current Copy elements	Preserve provenance, length N, bounds checks, and unique-view exclusivity	RUST-1.97.0-API-INVENTORY.tsv item_path=std::array members=as_slice,as_mut_slice; https://doc.rust-lang.org/1.97.0/std/primitive.array.html
ARR-EACH-01	fixed_array_partition	array::{each_ref,each_mut}	Fully initialized [T;N]	Shared or unique borrow	[N] references, with pairwise-disjoint unique references in the mutable case	All output borrows remain tied to the array; unique outputs jointly exclude owner access	No failure; N references are produced together	O(N) reference construction or O(1) aggregate formation subject to lowering	Fixed index order; element identity retained	Const N	Safe disjointness derived from fixed indices	X for general aggregate borrow results; literal-index disjoint borrows are narrower	Prove pairwise disjointness and aggregate lifetime without runtime alias tax	RUST-1.97.0-API-INVENTORY.tsv item_path=std::array members=each_ref,each_mut; src/core/array/mod.rs.html#688
ARR-MAP-01	fixed_array_transform	array::map	Fully initialized owned [T;N]	Consumes the fully initialized [T;N] and the owned FnMut environment; each T moves exactly once into one callback invocation, and the environment may be invoked N times.	Owned [U;N] in source order; every produced U has one owner and any borrow leaves retain only provenance authorized by the callable result.	The input array is consumed. Borrow leaves inside an input T, output U, or callable environment retain their independent roots; no output leaf is attributed to the dead array or to callable storage without an explicit result relation.	If callback unwinds, initialized outputs and unconsumed inputs are dropped exactly once. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it.	O(N), no heap allocation	Fixed contiguous result; source order retained	FnMut(T)->U	Implementation uses guarded partial initialization and cleanup	X for affine T/U; U for Copy-only fixed arrays	Partial-construction state, exact cleanup, static behavior call, and no placeholder T/U. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch. Separate consumed-input, returned-output, and owned-callable borrow-bearing roles, with exact partial-progress ownership and no union branch.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::array member=map; src/core/array/mod.rs.html#592
VIEW-META-01	borrowed_sequence_metadata	slice::{len,is_empty}	Valid borrowed contiguous view	Shared borrow	Length or emptiness result; view unchanged	None	Total	O(1)	No layout or order change	None	Metadata read only	U: fixed Copy-buffer subset is plausible, but complete route and structural evidence are unproved	Length must describe exactly the accessible initialized range	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=len,is_empty; https://doc.rust-lang.org/1.97.0/std/primitive.slice.html
VIEW-GET-01	borrowed_sequence_access	slice::get	Valid view and index or range	Shared borrow	Option containing shared element/subview on in-bounds input	Returned borrow tied to source view	Out-of-bounds returns None; no mutation	O(1) for scalar/range bounds	Preserves address, contiguity, and order	SliceIndex behavior is statically selected	Safe checked access	E for scalar Copy index; U for generic range result	Bounds proof, provenance, and no unchecked access	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice member=get; src/core/slice/mod.rs.html#572
VIEW-GET-02	borrowed_sequence_access	slice::get_mut	Valid uniquely borrowed view and index or range	Unique borrow	Option containing unique element/subview on in-bounds input	Returned unique borrow excludes every overlapping source access	Out-of-bounds returns None; source unchanged	O(1) for scalar/range bounds	Preserves address and order	SliceIndex behavior is statically selected	Safe checked access	U; current dynamic-index overlap rules do not support the general returned borrow	Prove returned-range provenance and exclusive overlap rules	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice member=get_mut; src/core/slice/mod.rs.html#599
VIEW-END-01	borrowed_sequence_access	slice::{first,last,first_mut,last_mut}	Possibly empty view	Shared or unique borrow	Option containing the selected end element	Borrow tied to source; mutable variant excludes overlap	Empty returns None; no mutation	O(1)	Preserves address and order	Front versus back endpoint	Safe checked access	E for shared Copy access; U for general unique returned borrow	Endpoint bounds proof and returned-borrow provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=first,last,first_mut,last_mut
VIEW-ARRAY-01	borrowed_shape_refinement	slice::{as_array,as_mut_array}	Runtime-length view	Shared or unique borrow	Option containing fixed-length array borrow iff len=N	Returned borrow tied to source; unique form excludes overlap	Length mismatch returns None	O(1)	Same bytes and addresses; strengthens shape only	Const N	Safe checked length-to-shape refinement	X; no runtime view-to-array refinement result	Prove len=N before exposing fixed-array facts and preserve provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=as_array,as_mut_array
VIEW-END-CHUNK-01	borrowed_shape_partition	slice::{first_chunk,last_chunk,first_chunk_mut,last_chunk_mut,split_first_chunk,split_last_chunk,split_first_chunk_mut,split_last_chunk_mut}	Runtime-length view	Shared or unique borrow	Option containing N-element endpoint and optionally disjoint remainder	Returned borrows tied to source; split mutable outputs are disjoint	len<N returns None	O(1)	Same storage; source order retained	Const N and endpoint direction	Safe checked partition	X for aggregate dynamic partitions	Length refinement, pairwise disjointness, and exact coverage proof; member-scoped bounded unique result reborrow	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=first_chunk,last_chunk,first_chunk_mut,last_chunk_mut,split_first_chunk,split_last_chunk,split_first_chunk_mut,split_last_chunk_mut
VIEW-END-SPLIT-01	borrowed_shape_partition	slice::{split_first,split_last,split_first_mut,split_last_mut}	Possibly empty view	Shared or unique borrow	Option of endpoint element plus disjoint remainder	Mutable outputs jointly exclude source and one another	Empty returns None	O(1)	Same storage and order	Endpoint direction	Safe checked partition	U; literal structure is expressible but returned aggregate borrows are not established	Aggregate borrowed result and disjointness proof; member-scoped bounded unique result reborrow	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=split_first,split_last,split_first_mut,split_last_mut
