contract_id	branch_id	route_scope	role	returns_borrow_bearing_owner	requires_result_provenance	condition	conditional_capability_ids	disposition	reopening_trigger
ARR-MAP-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The owned FnMut environment contains live borrow leaves, remains valid across every call, and is destroyed exactly once. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
ARR-MAP-01	INPUT_ARRAY_BORROW_PAYLOAD	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The consumed [T; N] contains live borrow leaves; every T is moved to the callable or destroyed exactly once, regardless of whether U contains a borrow. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
ARR-MAP-01	OUTPUT_ARRAY_BORROW_PAYLOAD	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	The returned [U; N] contains live borrow leaves whose provenance is authorized by the selected callable. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SEARCH-02	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the *_by, *_by_key, or partition_point callable environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SEARCH-02	KEY_RESULT_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	binary_search_by_key's produced key contains live borrow leaves; each produced key remains valid through every comparison and is destroyed exactly once. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-ORDER-CHECK-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the *_by or *_by_key callable environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-ORDER-CHECK-01	KEY_RESULT_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	is_sorted_by_key's produced key contains live borrow leaves; each produced key remains valid through every comparison and is destroyed exactly once. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SORT-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SORT-01	CACHED_KEY_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	sort_by_cached_key retains a key array whose live key values contain borrow leaves; every cached key follows the callable result-provenance relation, remains valid through sorting, and is destroyed exactly once. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
VIEW-SORT-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the behavior-taking stable-sort callable environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
