dimension	why_it_matters	candidate_a_proof_indexed	candidate_b_bounded_kernel	candidate_c_family_specialized	evidence_status	decision_rule_or_falsifier
performance_gap_coverage	A candidate that silently excludes a difficult representation or machine boundary is smaller only by changing the problem.	Advantage: one fixed logic can state every registered family and future protocols that reduce to it. Liability: expressibility is only a paper claim until proof obligations normalize and cleanup is derivable. Trade-off: widest semantic reach for the largest feasibility uncertainty.	Advantage: all 15 gaps route through a finite orthogonal algebra. Liability: a future topology, footprint, lifecycle, or cleanup form may not factor into that algebra. Trade-off: bounded coverage with explicit findings instead of open-ended proof power.	Advantage: every current gap has a named family route with locally explicit operations. Liability: coverage is fitted most closely to the frozen witnesses and new shapes require language additions. Trade-off: strongest local concreteness for weakest extrapolation.	Paper routing only; 15/15 bookkeeping is verified, exact D-2 and deferred platform rows remain open.	A candidate loses coverage credit when one held-out needs an excluded workload, a new trusted route, asymptotic regression, unavoidable pathological storage, or an unenumerated machine event.
native_representation_and_zero_cost	The objective is to reach the requested layout, traffic, checks, calls, and machine events without unsafe or hidden work.	Advantage: erased proofs can authorize arbitrary representation-selected metadata and direct moves. Liability: proof normalization and derived cleanup may create code or inhibit optimization. Trade-off: representation freedom depends on reliable proof erasure and fact lowering.	Advantage: tag-free storage and direct fixed place transitions align closely with native loads, stores, relocation, and topology-specific metadata. Liability: closed forms may force adaptation when the shape is not canonical. Trade-off: predictable primitive lowering for bounded representation freedom.	Advantage: each family can promise a canonical lowering and tune its representation directly. Liability: conversion between families or an unlisted algorithm can add copies, allocation, or indirection. Trade-off: best known-shape control at the cost of general representation choice.	Existing bounds, alias, and law channels prove that verified facts can change code shape; no candidate-specific code exists.	Reject a zero-cost claim if structural accounting or optimized bodies show extra initialization, zeroing, copy, move, allocation, metadata access, indirection, call, check, or machine event relative to the contract.
weaker_shape_no_tax	A universal mechanism is unacceptable if fixed, append-only, unique, movable, portable, or non-JIT code pays for stronger abilities it did not request.	Advantage: indices and proofs erase, so stronger state need not alter weaker representation. Liability: proof parameters, monomorphization, cleanup, or fact plumbing may still grow code. Trade-off: no runtime tax is plausible, while compile-time and code-size tax are major risks.	Advantage: each topology/lifecycle form carries only selected counters or metadata and protected forms remain distinct. Liability: generic APIs may accidentally widen to a stronger form or introduce conversion checks. Trade-off: explicit form selection makes taxes auditable.	Advantage: fixed and P2 families can be separately frozen with exact layouts. Liability: shared helper code or cross-family wrappers may import another family's headers and branches. Trade-off: easiest local pins, hardest global cross-family discipline.	NT-FIXED and NT-P2 are protected controls; candidate parity is untested.	Any metadata, load, branch, indirection, call, fact dependency, allocation, atomic, pin, target dispatch, or image-lifecycle event added to an unselected weaker route is a falsifier.
semantic_and_rule_count	Rule count affects specification size, checker defects, diagnostics, AI learnability, and the chance that similar operations acquire inconsistent semantics.	Advantage: a small number of general concepts can replace many topology-specific rules. Liability: each concept has a deep semantic definition and interaction matrix. Trade-off: low headline count but high rule power and proof-language surface.	Advantage: a finite algebra offers medium-sized, table-driven rules with shared transition semantics. Liability: each newly discovered orthogonal form expands the tables and combinations. Trade-off: moderate count and moderate semantic depth.	Advantage: each family rule is local and concrete. Liability: the total number of operations, state machines, and pairwise composition rules is largest. Trade-off: shallow individual rules for broad surface area.	Inventory counts exist: 10 A-specific, 11 B-specific, 12 C-specific items plus 11 common items; normative rule counts are unknown.	Count normative judgments, state transitions, cross-product cases, diagnostics, and target clauses rather than syntax tokens; reject any candidate whose normal-frontend budget is exceeded.
compositionality	Ordinary checked libraries must build new containers and systems policies without compiler or standard-library privilege.	Advantage: new protocols compose whenever their proofs reduce to the fixed logic. Liability: composition creates the hardest formulas, provenance products, and cleanup proofs. Trade-off: strongest library autonomy with the highest proof burden.	Advantage: ordinary algorithms combine storage, topology, footprints, handles, lifecycle, and cleanup forms. Liability: composition stops at the closed algebra boundary. Trade-off: useful autonomy without user-defined proof rules.	Advantage: libraries can wrap and combine admitted families with predictable behavior. Liability: new low-level protocols and many cross-family combinations require compiler changes. Trade-off: least library autonomy for simplest local checking.	Paper derivations exist; exact witness and held-out derivations are pending.	A candidate loses if a held-out needs a new privileged named container, compiler-only algorithm, trusted callback, standard-library-only raw access, or quadratic cross-family rules.
checker_difficulty	The standing design permits normal-compiler-frontend effort, not rustc-scale inference or an unbounded theorem prover.	Advantage: one proof kernel centralizes soundness. Liability: finite maps, quantified owned ranges, provenance, versions, cleanup, and happens-before may make checking or normalization intractable. Trade-off: small trusted kernel with potentially enormous elaboration and proof workloads.	Advantage: closed state tables, scoped flow, and exact exits are implementable as bounded dataflow. Liability: the seams between topology, ownership, provenance, cleanup, and facts remain soundness hotspots. Trade-off: normal-front-end plausibility depends on keeping every algebra closed.	Advantage: each operation checks through a small family state machine. Liability: total checker code and cross-family consistency obligations are large. Trade-off: easiest local judgments but largest repeated implementation surface.	Current simplified ownership checker has 0 model-check violations but these extensions are unmodeled.	Use preregistered rule count, asymptotic analysis, compile-time/resource ceilings, mutation tests, and independent model checking; exceeding any bound or accepting one hostile state falsifies feasibility or soundness.
compiler_and_backend_special_cases	Special cases raise implementation and regression cost and can make performance target-specific or fragile.	Advantage: most accepted operations lower through generic typed memory and fact interfaces. Liability: proof erasure, cleanup synthesis, and fact normalization are sophisticated compiler passes. Trade-off: fewer operation-specific lowerings but deeper generic infrastructure.	Advantage: direct place operations and topology views map to a bounded lowering table. Liability: every topology, footprint, lifecycle, and code-shape form still needs frontend-to-backend parity. Trade-off: medium breadth and medium depth.	Advantage: the compiler can provide canonical optimized lowering per family operation. Liability: it owns the largest operation table, backend matrix, and regression corpus. Trade-off: maximum control of known shapes for maximum maintenance burden.	No candidate implementation; current scalar and fact-channel parity only show the verification style is possible.	Compare implementation sites, lowering rows, target-specific branches, negative mutations, and optimized-body parity; backend growth or fragile target divergence can eliminate a candidate.
runtime_metadata	Headers, tags, bitmaps, generations, refcounts, leases, locks, and descriptors are direct memory, cache, branch, and update costs.	Advantage: proof state erases and libraries store only representation-required metadata. Liability: dynamic proof producers still need validation state and shared protocols need concrete metadata. Trade-off: minimum theoretical metadata with weak implementation evidence.	Advantage: forms state exactly which counters/control bytes/generations/counts exist and do not impose one universal descriptor. Liability: Sparse and shared forms may standardize metadata that a specialized representation could compress. Trade-off: auditable bounded metadata for less freedom.	Advantage: each family selects a tuned representation. Liability: wrappers and cross-family composition can duplicate headers or retain redundant state. Trade-off: local tuning can lose globally.	Witness budgets identify forbidden metadata; no candidate structural accounting is complete.	For every witness, enumerate permanent and transient bytes, loads, stores, branches, atomics, scans, and version updates; any unexplained item fails the row.
failure_and_cleanup	Recoverable failure, partial progress, callback outcomes, and abandonment are where owner loss, double drop, leaks, rollback traffic, and hidden copies appear.	Advantage: pre/post proofs can state exact branch-specific disposition. Liability: proof-directed destruction may be non-unique, code-heavy, or difficult to make total. Trade-off: most expressive failure algebra for the hardest cleanup synthesis.	Advantage: fixed topology enumeration and scoped protocols give canonical cleanup and commit points. Liability: callback-dependent or recursive partial progress may not fit fixed cleanup. Trade-off: predictable common cases with explicit incompleteness risk.	Advantage: every family operation can freeze exact branch and cleanup behavior. Liability: similar operations may diverge across families and every new family repeats the audit. Trade-off: concrete local contracts for broad duplicated review.	Ownership research records exact branch distinctions; no candidate safety model exists.	Hostile cases must cover offered-owner return, zero/one/many callback calls, partial clone, overlap, early stop, abandonment, cancellation, trap-before-invalid-access, and exact live-slot destruction.
optimizer_facts_and_check_elision	Checks stay on unless machine proof discharges them; facts must also prevent guard-heavy or scalar code shapes without changing semantics.	Advantage: the resource logic can express the richest propositions and feed the fixed fact interface. Liability: proposition transfer and invalidation complexity is highest and may expose optimizer-unsound seams. Trade-off: maximum optimization opportunity with maximum fact review burden.	Advantage: fixed state and footprint forms produce a closed, auditable fact vocabulary. Liability: profitable future facts outside that vocabulary require a language change. Trade-off: bounded authority and bounded optimization reach.	Advantage: every family operation can emit precise known facts and guaranteed shapes. Liability: facts become fragmented and cross-family transfer can be inconsistent or missing. Trade-off: strongest local facts for weakest generality.	Scoped alias, checked law, and bounds proof have measured wins; future state/identity/shared/refinement/dispatch facts are unmeasured.	For each fact record proposition, owner/root/version, producer, consumer, invalidators, transfer, speculation, facts-off identity, artifact evidence, and negative canaries; one stale or forgeable fact eliminates the channel.
ai_writing_and_repair_stability	AI is the primary writer; success requires predictable construction, bounded diagnostics, and reliable repair without unsafe escape.	Advantage: one uniform logic may support systematic proof generation. Liability: long proof terms, abstraction, solver dependence, and nonlocal failures are likely hard for lower-tier models. Trade-off: conceptual uniformity versus high generation burden.	Advantage: a closed pattern catalog gives finite choices and diagnostics can name one missing form or transition. Liability: combinations and exact-exit repair remain nonlocal. Trade-off: strongest current hypothesis for bounded AI behavior, without evidence.	Advantage: local family APIs and state errors are concrete. Liability: the writer must choose among many families and may convert or combine them pathologically. Trade-off: easiest local completion with global architecture risk.	No AI protocol has been run or authorized.	Pre-register first-green construction and repair tasks over visible plus held-out structures; measure success, retries, source size, wrong-family selection, hidden-cost mistakes, and diagnostic locality.
specification_and_teaching_size	A compact law set and closed taught patterns reduce ambiguity, drift, and model confusion.	Advantage: few top-level abstractions could produce a compact core. Liability: the formal logic, proof terms, normalization, and interaction laws make the true specification deep. Trade-off: syntactic compactness may hide semantic bulk.	Advantage: a finite matrix can be specified and taught as a bounded set of patterns. Liability: six topology forms plus footprints, lifecycle, cleanup, facts, and combinations are still substantial. Trade-off: moderate visible and semantic size.	Advantage: each family has an intuitive local story. Liability: the aggregate manual, operation matrix, and family-selection doctrine are largest. Trade-off: approachable pages individually, sprawling language globally.	No draft normative text or teaching trial exists.	Count normative rules, cross references, examples, negative rules, and taught choices; test whether lower-tier models can select and explain the correct route without hidden costs.
no_standard_library_use	Systems code must retain the abilities with no privileged standard library; ordinary libraries should define policy and containers.	Advantage: proof-indexed protocols are maximally available to ordinary modules. Liability: practical use may depend on proof combinator libraries even if the kernel is sufficient. Trade-off: semantic independence with possible usability dependence.	Advantage: the orthogonal substrate is compiler-provided while all named containers and policies remain ordinary modules. Liability: missing convenience combinators can make direct use verbose. Trade-off: strong no-stdlib fit if the kernel remains truly orthogonal.	Advantage: family substrates remain available without named standard containers. Liability: the compiler prelude effectively becomes a large low-level library frozen into the language. Trade-off: technically no-stdlib, operationally compiler-owned breadth.	Paper derivations only.	Build each witness in an empty package importing only kernel/prelude capabilities; any hidden helper, privileged container, generated standard module, or trusted library body fails the claim.
cross_target_portability	A general systems language must define which programs are portable and make target-specific costs and rejection explicit.	Advantage: abstract resource proofs are target-neutral and exact event tables isolate machine differences. Liability: proof success, layout, and cleanup code may still vary by target. Trade-off: strongest semantic portability with complex lowering equivalence.	Advantage: storage and transition forms are mostly target-neutral and exact tables make unsupported events reject. Liability: topology and atomic forms may have target-specific efficient subsets. Trade-off: explicit portability with bounded variant handling.	Advantage: families can be optimized per target. Liability: the family/backend matrix is largest and semantic or performance parity can drift. Trade-off: best per-target specialization for highest portability maintenance.	Existing target and external rows are unenumerated.	Require identical source semantics, explicit target rejection, per-target structural event accounts, and parity tests; silent fallback, extra events, or semantic drift falsifies portability.
