impl_ordinal	topology_route_identity	impl_key	selection_family	owning_contract_ids	implementer	exact_classifier_id	classifier_rationale	primary_refinement_family_or_gate	required_predecessor_family_ids	required_predecessor_gate_stage_ids	implicated_or_reopening_family_ids	implicated_or_reopening_gate_stage_ids	classification_policy	topology_scope_policy	source_artifact	source_row_sha256	source_crosswalk_sha256	vocabulary_sha256	classifier_member_count	classifier_member_sha256	policy_version
1	4c0229aa42e421f40288f00a2131e184857b86a5fb3f738ad9d1ec316e2d49b1	fed72e1c8cfbec88519fbcb69f6b6bc145f044e12627a9fce313df90826d2ce3	BORROW_PROJECTION	TRAIT-BORROW-01	String	CLASS-TEXT	String, str, and boxed str require the text family, with dense storage retained only as a predecessor.	F-TEXT	F-DENSE	NONE	F-TEXT	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	264b37ba69d9593d41056326f5eafbfd4e685b5ec7db13e3e38e11201a64ce58	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	60	bc1d08c10e2ceeae083beed253e9f5a8cdf9d04442c50d6ccdbff96e75a6c7a8	xlang-g0-trait-impl-topology-routing-v1
2	4ef2a3cc75ce60fcc9daf2bcdab34e5c9c9966e230c3774d490882343760a4be	389ccd2776da9a23a23e6bc3533a66366ce63be8c3ca6fc56cf97f7bcedf4027	BORROW_PROJECTION	TRAIT-BORROW-01	Vec<T, A>	CLASS-DENSE	Contiguous Vec, slice, array, and boxed-slice or boxed-array storage is refined by the dense family.	F-DENSE	NONE	NONE	F-DENSE	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	549e49759ea8ddffc72f7261fd8ee33d876cb43ecf3487bd448c5f62b5e936fa	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	119	da744a49e860ff7865e60ec3835bc40b07464a89df75a75a67c9514eaef6a608	xlang-g0-trait-impl-topology-routing-v1
3	a6f591185e0cc07fe0c5201f07847e4ef749357ab49331d7374e59877dd044a2	abf17965079a7146554f8c4986018db4dc25ad3a942e2b3c182d1e00837ac257	BORROW_PROJECTION	TRAIT-BORROW-01	Box<T, A>	CLASS-RECURSIVE-BOX	Generic Box ownership is the uniquely owned recursive substrate; an allocator type parameter alone imports no allocator-service contract.	F-RECURSIVE	NONE	NONE	F-RECURSIVE	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	ce1fcc72a16e362313aa779721c6e4027fd8d6df00818a4ffd6d93a755b3cae7	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	10	7fbf5a258e12cb575f37308928829a5eac369c3589758521229d538d189c75ce	xlang-g0-trait-impl-topology-routing-v1
4	012a104b4c603b46ef5786e92085fad1dd814c3e5868014dbe2a615e9d6bda0c	e182fb7041d04da44caee6f5bfb7a9aa867ca5d0dd2ae961dac029080940b923	BORROW_PROJECTION	TRAIT-BORROW-01	Rc<T, A>	CLASS-SHARED	Generic Rc and Weak implementers are owned by shared-ownership refinement and do not import dense sequence topology.	F-SHARED	NONE	NONE	F-SHARED	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	ff90ad8f8e0fcfa4fef71fabe861e9decbc09b38fdd1e55fd5c890731eda30d3	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	16	395158b90dc0785e53f627275c82702ef1f78fcf31a643507752e726e64f22ce	xlang-g0-trait-impl-topology-routing-v1
5	a63d0ab6b4367359efb6728496ff64169ec9f6985ed96c82fae7bdfa9076aad3	f022bd4a04d35d49b0256b14e6cf855fd6ef52fb5ae41f6c90c7a47082b20681	BORROW_PROJECTION	TRAIT-BORROW-01	String	CLASS-TEXT	String, str, and boxed str require the text family, with dense storage retained only as a predecessor.	F-TEXT	F-DENSE	NONE	F-TEXT	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	5b6441bccf618d15a5cebcc1be928e942c6b4bbca76d3288134ea03b0939845c	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	60	bc1d08c10e2ceeae083beed253e9f5a8cdf9d04442c50d6ccdbff96e75a6c7a8	xlang-g0-trait-impl-topology-routing-v1
6	24d31614d148e7bbbd11ec54d0d66f5046f12b8fb8377d35dc755fb5a7f3e032	0cf93b97fe0e7cabf36eefa59a3c8aa9575265b27958ff0f8f7753f3d27f31cd	BORROW_PROJECTION	TRAIT-BORROW-01	Vec<T, A>	CLASS-DENSE	Contiguous Vec, slice, array, and boxed-slice or boxed-array storage is refined by the dense family.	F-DENSE	NONE	NONE	F-DENSE	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	7deace0755906e735f10f9a26fb630ac1d4997675b66b304ec114d4786336ded	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	119	da744a49e860ff7865e60ec3835bc40b07464a89df75a75a67c9514eaef6a608	xlang-g0-trait-impl-topology-routing-v1
7	5cf2bc4dcc49505de995bd1fdcbfdfaa22f985d0c02765a87e9f2fe063b05e16	2d60c2d201295dbfafdb1fb952f1e0bbc6260cd2d01d1efddf5ebd8f6a590370	BORROW_PROJECTION	TRAIT-BORROW-01	Box<T, A>	CLASS-RECURSIVE-BOX	Generic Box ownership is the uniquely owned recursive substrate; an allocator type parameter alone imports no allocator-service contract.	F-RECURSIVE	NONE	NONE	F-RECURSIVE	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	c66d6414720fd9025b1e03c1effc3825f152142d8ef541f9ea7ad2efb0b72e96	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	10	7fbf5a258e12cb575f37308928829a5eac369c3589758521229d538d189c75ce	xlang-g0-trait-impl-topology-routing-v1
8	267b0b6b53f82be79e891a1a30cc87da177f07f9ba25c18d215ca32bac7d03c4	b4bf9f09cc0dd897e111519be35b632ea04b984c9f2fc90c02c736fcf9004995	BORROW_PROJECTION	TRAIT-BORROW-01	[T; N]	CLASS-DENSE	Contiguous Vec, slice, array, and boxed-slice or boxed-array storage is refined by the dense family.	F-DENSE	NONE	NONE	F-DENSE	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	eb112c113f1f06b699ae1035f4aa557e9888725adfd2ad945aa95681069ea75f	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	119	da744a49e860ff7865e60ec3835bc40b07464a89df75a75a67c9514eaef6a608	xlang-g0-trait-impl-topology-routing-v1
9	54551ee30ec5facf826b2001ea2f83c2c8b0518612a0e525a9b8102ce595b35e	7a376bf72a9fcd2120c9adb1d94751a3a6e3984b9188a59eda49e9c5033cce58	BORROW_PROJECTION	TRAIT-BORROW-01	[T; N]	CLASS-DENSE	Contiguous Vec, slice, array, and boxed-slice or boxed-array storage is refined by the dense family.	F-DENSE	NONE	NONE	F-DENSE	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	f50468d54ad11b907d3346661d6eaf1cf276e7fa43c1be064e02b9ea9679bef4	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	119	da744a49e860ff7865e60ec3835bc40b07464a89df75a75a67c9514eaef6a608	xlang-g0-trait-impl-topology-routing-v1
10	72699e4f6ff72ab9c59e7d9dab3d246e728cd083b43ff473e7547612dda27196	767c11ffe55b863373d6e87c40dcaa20c8364af57de9c11ac2f8096b29a2aa82	BORROW_PROJECTION	TRAIT-BORROW-01	String	CLASS-TEXT	String, str, and boxed str require the text family, with dense storage retained only as a predecessor.	F-TEXT	F-DENSE	NONE	F-TEXT	NONE	EXACT_IMPLEMENTER_STRING_MEMBERSHIP_IN_CLOSED_ENUMERATED_CLASS;NO_REGEX;NO_PREFIX;NO_SUBSTRING;NO_FUZZY_MATCH;NO_DEFAULT;NO_UNMATCHED;PRIMARY_REFINEMENT_AND_PREDECESSOR_AND_IMPLICATED_REOPENING_ARE_TYPED_SEPARATELY;PREDECESSOR_NEVER_CONFERS_EVIDENCE_APPLICABILITY;TOPOLOGY_TARGETS_ARE_REFINEMENT_FAMILIES_OR_TYPED_GATE_STAGES_NOT_CROSSCUT_DIMENSIONS	CLASSIFY_SELECTED_STORAGE_OR_OWNERSHIP_TOPOLOGY;AN_ALLOCATOR_TYPE_PARAMETER_ALONE_DOES_NOT_ROUTE_TO_F_ALLOC_BECAUSE_THE_CROSSWALK_SELECTS_NO_USER_VISIBLE_ALLOCATOR_SERVICE_CONTRACT;ALLOCATOR_POLICY_REMAINS_SEPARATELY_SCOPED_TO_F_ALLOC	RUST-1.97.0-TRAIT-IMPL-CROSSWALK.tsv	88c9e2b198f1252d272b7291ebad86dc386a46fcd0e5bebca4d44a1672118114	3e6a60450b62fdf0bc0794d10318566ca151f9e09a21d027fc016976d1acde50	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad	60	bc1d08c10e2ceeae083beed253e9f5a8cdf9d04442c50d6ccdbff96e75a6c7a8	xlang-g0-trait-impl-topology-routing-v1
