authority_id	kind	multiplicity	binding	origin_class	origin_rule	origin_inputs	consumers	linear_transfers	invalidators	forbidden_producers	origin_rank
N-NAME	non-authorizing nominal identity	copyable static	rho or lambda or epsilon	GENERATIVE-NAME	K1-NAMES,K1-RELAYOUT	-	K1-PLACE,K1-RELAYOUT	SSA renaming only	Matching root release or generation replacement	Address, machine counter, metadata, validator, fact	0
N-PLACE	non-authorizing exact place	copyable static	rho,lambda,lo,len,align	CHECKED-PROJECTION	K1-PLACE	N-NAME	K1-PARTITION,K2-STRICT	Copy within the same root and layout epoch	Relayout or release	Address, index, handle, page number, writer proposition	1
N-FOOTPRINT	non-authorizing interval product	copyable static	rho,lambda,canonical intervals	CHECKED-PARTITION	K1-PARTITION	N-PLACE	K2-LEAF	Exact split and join only	Relayout or release	Unknown-overlap assertion, solver result, metadata	2
N-METADATA	non-authorizing native value	ordinary value	native bytes and ordinary value provenance	BASE-ORDINARY-VALUE	BASE	-	K2-CLASSIFY	Ordinary value movement	Ordinary overwrite or source lifetime end	May never create owner, validity, strict edge, loan, retirement, quiescence, or release	0
A-OWNER	ordinary live value owner	affine	type, value lineage, capture provenance	BASE-VALUE-CONSTRUCTION	BASE	-	K2-CALLABLE,K3-OWNER,K3-ATOMIC	Move, store, return, or escrow without duplication	Destroy, transfer into Live, abort	Address, metadata, validator, classifier, fact	0
A-ROOT	physical allocation root	affine	rho,extent,alignment,platform profile	EXACT-ACQUISITION	K3-EXTERNAL	-	K1-RELAYOUT,K2-FACT,K3-EXTERNAL,K3-FACT,K3-RELEASE	Move or escrow only	Successful terminal release	Address, wrapper, handle identity, page number, metadata, validator	0
A-RELEASE	root release authority	affine	rho,lambda,whole-root extent	EXACT-ACQUISITION	K3-EXTERNAL	A-ROOT	K1-RELAYOUT,K3-EXTERNAL,K3-RELEASE	Move and escrow only	Successful terminal release	Metadata, address, validator, classifier, state successor, fact	1
A-VACANT	vacant byte-range authority	affine through partition	rho,lambda,epsilon,footprint	EXACT-VACANT-CREATION	K3-EXTERNAL	A-ROOT	K2-LEAF,K3-OWNER,K3-EXTERNAL	Take, destroy, forget, reclassify, split, and join preserve lineage	Checked initialization, adoption, relayout, release	Zero bits, allocator success without a root, metadata, validator, fact	1
A-BYTES	initialized-byte authority	affine through partition	rho,lambda,epsilon,footprint	CHECKED-BYTE-EVENT	K3-OWNER,K3-EXTERNAL	A-VACANT	K2-LEAF,K3-OWNER,K3-EXTERNAL	Exact overwrite, split, join, read, and checked reinitializer preserve lineage	Forget to Vacant, typed adoption, relayout, release	Allocator success alone, generic read error, metadata, validator, fact	2
A-LIVE	typed live value in a place	affine through partition	rho,lambda,epsilon,footprint,type,layout	CHECKED-OWNER-INSTALL	K3-OWNER	A-VACANT,A-BYTES,A-OWNER	K2-LEAF,K2-LOAN,K3-OWNER,K3-BORROW,K3-ATOMIC	Take, replace, swap, relocate, reclassify, and owner-preserving successor	Destroy, owner take, overlapping transition, relayout, release	Metadata, address, integer index, writer predicate, validator, fact	3
