relation_ordinal	evidence_identity	cluster_id	evidence_kind	evidence_key	source_artifact	source_selector	selected_source_value	selected_source_value_sha256	source_row_sha256	evidence_granularity	materialization_policy	applicability	applicability_authority	applicability_primary_refinement_family_or_gate	applicability_required_predecessor_family_ids	applicability_required_predecessor_gate_stage_ids	applicability_additional_operation_gate_stage_ids	applicability_additional_operation_gate_child_specific_immediate_predecessor_family_or_gate_ids	applicability_implicated_or_reopening_family_ids	applicability_implicated_or_reopening_gate_stage_ids	applicability_authority_row_sha256	terminal_disposition_policy	allowed_terminal_dispositions	cluster_relation_count	cluster_relation_sha256	kind_relation_count	kind_relation_sha256	policy_version
1	89086968dadb5460df698e561685b1d7ab4b75af4dbb631d8bcb8303fa8fb10d	ARR-VIEW-01	STABLE_SAFE_SURFACE	src/core/array/mod.rs.html#650|provided_or_inherent_method|as_slice	RUST-DATA-SURFACE-MAP.tsv	canonical_key=src/core/array/mod.rs.html#650|provided_or_inherent_method|as_slice	src/core/array/mod.rs.html#650|provided_or_inherent_method|as_slice	76fb4d4272b6bc6615732ca80ba294634ead42deb889a10bc8a5d3c6c57f96f8	b6885fee8bb44cfff4bfb1cb01e65796c981f28f79c6602ec0fc4640a94b65ec	EXACT_SOURCE_KEY	NONE_EXACT_SOURCE_KEY	INDEPENDENT_EXACT_CHILD_TO_FAMILY_OR_GATE_AUDIT_REQUIRED_BEFORE_DISPOSITION	FAMILY_LOCK_INDEPENDENT_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	9e9d09ab7a422671ebe3442284a4e61b6368cbc286d62ff78dac56eed12bc31c	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	5	d56b5211c0cd3c9f43fcaad9ad04786f6b61d5ae9f4e1068125972b2022fcd9b	545	61904777ba44c7ef738e4ac637b9ec14965e6018a2e5e449c68868654956a9eb	xlang-g0-coverage-evidence-universe-v3
2	5d16e9d4c39e5c2cc84015345e9e453f393daaa20c67851fd3e6b88841b17fc0	ARR-VIEW-01	STABLE_SAFE_SURFACE	src/core/array/mod.rs.html#658|provided_or_inherent_method|as_mut_slice	RUST-DATA-SURFACE-MAP.tsv	canonical_key=src/core/array/mod.rs.html#658|provided_or_inherent_method|as_mut_slice	src/core/array/mod.rs.html#658|provided_or_inherent_method|as_mut_slice	16203c50d6d3bab707e2a19cdb4dfb3ef9429ad0720b066b5f44f8958b258b56	a75559b3f033af3dd5c2e904bef223efe7ee2ed8c37fd0240adf93bb1b3ecebc	EXACT_SOURCE_KEY	NONE_EXACT_SOURCE_KEY	INDEPENDENT_EXACT_CHILD_TO_FAMILY_OR_GATE_AUDIT_REQUIRED_BEFORE_DISPOSITION	FAMILY_LOCK_INDEPENDENT_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	9e9d09ab7a422671ebe3442284a4e61b6368cbc286d62ff78dac56eed12bc31c	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	5	d56b5211c0cd3c9f43fcaad9ad04786f6b61d5ae9f4e1068125972b2022fcd9b	545	61904777ba44c7ef738e4ac637b9ec14965e6018a2e5e449c68868654956a9eb	xlang-g0-coverage-evidence-universe-v3
3	683613a873061a91f9c48d85d5f046ce29b591b06314f614f33cffc453219e35	ARR-VIEW-01	CLUSTER_RUST_SURFACES_SELECTOR	ARR-VIEW-01|rust_surfaces|3b2f97d35ab836e6368ca1f75d40b4252cdbd09ca2245a2aea9cec45e4111064	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=ARR-VIEW-01;field=rust_surfaces	array::{as_slice,as_mut_slice}	3b2f97d35ab836e6368ca1f75d40b4252cdbd09ca2245a2aea9cec45e4111064	45a5a098677d1e1283a81476a03b954725e3341ec11d53afd21eb2133496ea80	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	5	d56b5211c0cd3c9f43fcaad9ad04786f6b61d5ae9f4e1068125972b2022fcd9b	276	0c412f72d82d73aa77f0a033219606baf1c32b88ac63dc0c1c9af5177bb4b330	xlang-g0-coverage-evidence-universe-v3
4	df854999d47995a52b0eb70eeb931243eb4d227bd222e2d1e1ce0c1c64833644	ARR-VIEW-01	CLUSTER_IMPLEMENTATION_PRIVILEGE_SELECTOR	ARR-VIEW-01|implementation_privilege_evidence|5eaee28e06e7231e586199781c0d35c4ab2292986473a1f2ac50b8c44fb60509	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=ARR-VIEW-01;field=implementation_privilege_evidence	Safe reference construction; no raw caller obligation	5eaee28e06e7231e586199781c0d35c4ab2292986473a1f2ac50b8c44fb60509	45a5a098677d1e1283a81476a03b954725e3341ec11d53afd21eb2133496ea80	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	5	d56b5211c0cd3c9f43fcaad9ad04786f6b61d5ae9f4e1068125972b2022fcd9b	276	8cca9d357d3dcdd58346a9fc187d545580428fe7835bdb07c24215b6acc756b8	xlang-g0-coverage-evidence-universe-v3
5	713e575e2cfcb202278b8d2bb59bed0c686974e75057293d708a0fd91294eb62	ARR-VIEW-01	CLUSTER_SOURCE_REFS_SELECTOR	ARR-VIEW-01|source_refs|0edbc3a9bd930d5021a160977f0c7591d161cbd24b7a143288d877706cd70f4b	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=ARR-VIEW-01;field=source_refs	RUST-1.97.0-API-INVENTORY.tsv item_path=std::array members=as_slice,as_mut_slice; https://doc.rust-lang.org/1.97.0/std/primitive.array.html	0edbc3a9bd930d5021a160977f0c7591d161cbd24b7a143288d877706cd70f4b	45a5a098677d1e1283a81476a03b954725e3341ec11d53afd21eb2133496ea80	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	5	d56b5211c0cd3c9f43fcaad9ad04786f6b61d5ae9f4e1068125972b2022fcd9b	276	5be94c7a50be99f1d2028e205b49b011f1a8477b60251c9a49bb2a00d2a49ef1	xlang-g0-coverage-evidence-universe-v3
6	7acc4f84183b6b3827d0f110f4791ade549644995cad8b77018cb34157e9bf48	ARR-EACH-01	STABLE_SAFE_SURFACE	src/core/array/mod.rs.html#688|provided_or_inherent_method|each_ref	RUST-DATA-SURFACE-MAP.tsv	canonical_key=src/core/array/mod.rs.html#688|provided_or_inherent_method|each_ref	src/core/array/mod.rs.html#688|provided_or_inherent_method|each_ref	cb2f3c1f92cc8eabe004ee0bb1b73d68398964ceb84ce067669f3048145ebf82	b49bfedaa1016aea0ea9e0af5d5e85a9e6e08270a4a5212004658937632574ba	EXACT_SOURCE_KEY	NONE_EXACT_SOURCE_KEY	INDEPENDENT_EXACT_CHILD_TO_FAMILY_OR_GATE_AUDIT_REQUIRED_BEFORE_DISPOSITION	FAMILY_LOCK_INDEPENDENT_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	9e9d09ab7a422671ebe3442284a4e61b6368cbc286d62ff78dac56eed12bc31c	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	5	77f93f6aae784c2feca62d42fc087d133fb5ade56840e6c9bdfb918599487ade	545	61904777ba44c7ef738e4ac637b9ec14965e6018a2e5e449c68868654956a9eb	xlang-g0-coverage-evidence-universe-v3
7	bec6d4313e6603e5f20091e969b0f2785bbc775a1922c92099e3a4546fe65f9b	ARR-EACH-01	STABLE_SAFE_SURFACE	src/core/array/mod.rs.html#719|provided_or_inherent_method|each_mut	RUST-DATA-SURFACE-MAP.tsv	canonical_key=src/core/array/mod.rs.html#719|provided_or_inherent_method|each_mut	src/core/array/mod.rs.html#719|provided_or_inherent_method|each_mut	db52573631de43a1e2a5ef0764fceb494b0998852edca1f029ee00adf51380e2	4b76ac6710fa99780dfa04cdb8f0bf7ec3cd28e808740de783ecdfb873142202	EXACT_SOURCE_KEY	NONE_EXACT_SOURCE_KEY	INDEPENDENT_EXACT_CHILD_TO_FAMILY_OR_GATE_AUDIT_REQUIRED_BEFORE_DISPOSITION	FAMILY_LOCK_INDEPENDENT_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	9e9d09ab7a422671ebe3442284a4e61b6368cbc286d62ff78dac56eed12bc31c	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	5	77f93f6aae784c2feca62d42fc087d133fb5ade56840e6c9bdfb918599487ade	545	61904777ba44c7ef738e4ac637b9ec14965e6018a2e5e449c68868654956a9eb	xlang-g0-coverage-evidence-universe-v3
8	a84ebc057d67bc3b00b29281190ab6dab71abf825e633ac6201fb92882d00211	ARR-EACH-01	CLUSTER_RUST_SURFACES_SELECTOR	ARR-EACH-01|rust_surfaces|bf76d8d2e5201747aab4918ceb541bcba5a07702d2e70148e288f837b52eed0a	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=ARR-EACH-01;field=rust_surfaces	array::{each_ref,each_mut}	bf76d8d2e5201747aab4918ceb541bcba5a07702d2e70148e288f837b52eed0a	8137e59745766a5585054f074201003bd66087128acd53f6cb25531acd4a4030	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	5	77f93f6aae784c2feca62d42fc087d133fb5ade56840e6c9bdfb918599487ade	276	0c412f72d82d73aa77f0a033219606baf1c32b88ac63dc0c1c9af5177bb4b330	xlang-g0-coverage-evidence-universe-v3
9	7b17a328b1aaa4c75335f9b48c7401d098c80c1db461bbd2495ed4bc73605eee	ARR-EACH-01	CLUSTER_IMPLEMENTATION_PRIVILEGE_SELECTOR	ARR-EACH-01|implementation_privilege_evidence|2d1a2292c3a9dff32ccc0765d16ba48b26dd19f897d0531d3366c0f572ccf3e7	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=ARR-EACH-01;field=implementation_privilege_evidence	Safe disjointness derived from fixed indices	2d1a2292c3a9dff32ccc0765d16ba48b26dd19f897d0531d3366c0f572ccf3e7	8137e59745766a5585054f074201003bd66087128acd53f6cb25531acd4a4030	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	5	77f93f6aae784c2feca62d42fc087d133fb5ade56840e6c9bdfb918599487ade	276	8cca9d357d3dcdd58346a9fc187d545580428fe7835bdb07c24215b6acc756b8	xlang-g0-coverage-evidence-universe-v3
10	64ae3656afc59212c5b31dfebd04196ac65c0a8d57b0c10c8445e66355853ba2	ARR-EACH-01	CLUSTER_SOURCE_REFS_SELECTOR	ARR-EACH-01|source_refs|838b03d2284dbf63efd0d30619484a8369105cd2696c568f5fcde72c2dbd6c5a	RUST-DATA-CONTRACT-CENSUS.tsv	contract_id=ARR-EACH-01;field=source_refs	RUST-1.97.0-API-INVENTORY.tsv item_path=std::array members=each_ref,each_mut; src/core/array/mod.rs.html#688	838b03d2284dbf63efd0d30619484a8369105cd2696c568f5fcde72c2dbd6c5a	8137e59745766a5585054f074201003bd66087128acd53f6cb25531acd4a4030	EXACT_SOURCE_FIELD_SELECTOR_REQUIRES_FAMILY_LOCK_MEMBER_MATERIALIZATION	REFINED_REQUIRES_INDEPENDENT_EXHAUSTIVE_EXPANSION_OF_FROZEN_PARENT_BY_FROZEN_PARSER_OR_HOSTILE_REVIEWED_TOKEN_ANCHOR_LEDGER_AND_EXACT_CHILD_COUNT_SHA256_AND_EACH_CHILD_TERMINAL;PREDECESSOR_REQUIRES_THE_SAME_EXHAUSTIVE_CHILD_EQUALITY_AND_EXACT_PREDECESSOR_TERMINALS;EXCLUSION_BLOCKS_ALL_UNRESOLVED_CHILD_CLAIMS;SELF_SELECTED_CHILD_SET_OR_PARENT_ONLY_REFINEMENT_INVALID	INDEPENDENT_EXHAUSTIVE_EXPANSION_THEN_EXACT_CHILD_ROUTE_REQUIRED	FAMILY_LOCK_INDEPENDENT_SELECTOR_EXPANSION_AND_CHILD_APPLICABILITY_LEDGER	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	UNRESOLVED_REQUIRES_INDEPENDENT_CHILD_APPLICABILITY_AUDIT	7307ba91fb93aa0f5e790cfdc4c5a1a0a41c281764b599bcae8006e18973b86a	EXACTLY_ONE_TERMINAL_PER_APPLICABLE_EVIDENCE_IDENTITY_AND_TARGET;EXCLUSION_FOR_ONE_TARGET_NEVER_ERASES_ANOTHER_TARGET	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	5	77f93f6aae784c2feca62d42fc087d133fb5ade56840e6c9bdfb918599487ade	276	5be94c7a50be99f1d2028e205b49b011f1a8477b60251c9a49bb2a00d2a49ef1	xlang-g0-coverage-evidence-universe-v3
