rule_id	match	domain	domain_scope_codes	canonical_route_or_blocked_claim	rationale
DOM-TARGET-ARCH	path:core::arch	target intrinsics and dispatch	FRAME+LATER+NG	Separate target/SIMD lock; raw unsafe intrinsic surface is not admissible.	Architecture catalogs are target-specific implementation evidence, not portable data contracts.
DOM-TARGET-STDARCH	path:std::arch	target intrinsics and dispatch	FRAME+LATER+NG	Separate target/SIMD lock; raw unsafe intrinsic surface is not admissible.	The std module reexports target facilities and feature detection.
DOM-TARGET-HINT-CORE	path:core::hint	target/compiler hints	FRAME+LATER+NG	Proof-derived lowering or separate target lock.	Writer assertions and unreachable hints cannot weaken checks.
DOM-TARGET-HINT-STD	path:std::hint	target/compiler hints	FRAME+LATER+NG	Proof-derived lowering or separate target lock.	Writer assertions and unreachable hints cannot weaken checks.
DOM-TARGET-INTRINSICS-CORE	path:core::intrinsics	target intrinsics and dispatch	FRAME+LATER+NG	Compiler/runtime evidence only; writer-callable intrinsic authority is inadmissible.	The collapsed unstable catalog is retained by digest and target family.
DOM-TARGET-INTRINSICS-ALLOC	path:alloc::intrinsics	target intrinsics and dispatch	FRAME+LATER+NG	Compiler/runtime evidence only; writer-callable intrinsic authority is inadmissible.	The unstable allocation intrinsic module is implementation evidence.
DOM-TARGET-INTRINSICS-STD	path:std::intrinsics	target intrinsics and dispatch	FRAME+LATER+NG	Compiler/runtime evidence only; writer-callable intrinsic authority is inadmissible.	The std path exposes compiler-facing implementation evidence.
DOM-NUMERIC-CORE	path:core::num	numeric values and algorithms	G0+LIB+LATER	Protect current checked scalar operations; broad numeric/libm work needs a numeric lock.	Wrappers and parsing can be libraries, while complete floating and numeric behavior is separate.
DOM-NUMERIC-STD	path:std::num	numeric values and algorithms	G0+LIB+LATER	Protect current checked scalar operations; broad numeric/libm work needs a numeric lock.	The std surface largely reexports or extends core numeric contracts.
DOM-NUMERIC-PRIMITIVES	regex:^(?:core|std)::(?:[iu](?:8|16|32|64|128|size)|f(?:16|32|64|128))(?:::.+)?$	numeric values and algorithms	G0+LIB+LATER	Protect current checked scalar operations; broad numeric/libm work needs a numeric lock.	Primitive method multiplicity is a contract family, not one language primitive per method.
DOM-TEXT-CHAR-CORE	path:core::char	bytes and text	G0+LIB+LATER	Byte/UTF-8 storage is in the data floor; complete Unicode/text needs its own lock.	Character decoding and Unicode tables exceed initialized-byte storage.
DOM-TEXT-CHAR-STD	path:std::char	bytes and text	G0+LIB+LATER	Byte/UTF-8 storage is in the data floor; complete Unicode/text needs its own lock.	Character decoding and Unicode tables exceed initialized-byte storage.
DOM-TEXT-ASCII-CORE	path:core::ascii	bytes and text	LIB	Ordinary checked byte/text library.	ASCII helpers add no independent storage topology.
DOM-TEXT-ASCII-STD	path:std::ascii	bytes and text	LIB	Ordinary checked byte/text library.	ASCII helpers add no independent storage topology.
DOM-TEXT-STR-CORE	path:core::str	bytes and text	G0+LIB+LATER	UTF-8 validity and boundary-safe views are detailed; full text semantics remain later.	String refinement validity is orthogonal to slot initialization.
DOM-TEXT-STR-ALLOC	path:alloc::str	bytes and text	G0+LIB+LATER	UTF-8 validity and owned conversions are detailed; full text semantics remain later.	Allocation-backed str helpers depend on dense byte storage.
DOM-TEXT-STR-STD	path:std::str	bytes and text	G0+LIB+LATER	UTF-8 validity and boundary-safe views are detailed; full text semantics remain later.	The std surface includes core and alloc string contracts.
DOM-TEXT-STRING-ALLOC	path:alloc::string	bytes and text	G0+LIB+LATER	Dense byte owner plus checked UTF-8 refinement; full Unicode remains later.	String is storage plus a validity invariant, not a separate raw allocator.
DOM-TEXT-STRING-STD	path:std::string	bytes and text	G0+LIB+LATER	Dense byte owner plus checked UTF-8 refinement; full Unicode remains later.	The std module reexports the alloc string family.
DOM-TEXT-BSTR-CORE	path:core::bstr	bytes and text	LIB+LATER	Future byte-string normalization in the text family.	Unstable byte-string modules remain evidence rather than stable demand.
DOM-TEXT-BSTR-ALLOC	path:alloc::bstr	bytes and text	LIB+LATER	Future byte-string normalization in the text family.	Unstable byte-string modules remain evidence rather than stable demand.
DOM-TEXT-BSTR-STD	path:std::bstr	bytes and text	LIB+LATER	Future byte-string normalization in the text family.	Unstable byte-string modules remain evidence rather than stable demand.
DOM-DATA-ARRAY-CORE	path:core::array	sequential data structures	G0	Fixed arrays and owning/borrowed array traversal.	Fixed initialized storage is a protected prerequisite.
DOM-DATA-ARRAY-STD	path:std::array	sequential data structures	G0	Fixed arrays and owning/borrowed array traversal.	The std module reexports core array contracts.
DOM-DATA-SLICE-CORE	path:core::slice	sequential data structures	G0	Borrowed contiguous access, partition, algorithms, and iteration.	Slice operations expose access and disjointness obligations without owning growth.
DOM-DATA-SLICE-ALLOC	path:alloc::slice	sequential data structures	G0+LIB	Allocation-backed conversions and clones over slices.	These derive from dense ownership plus slice access.
