feature_area,subtopic,evidence_stage,representative_sources,workflow_confirmed_finding_ids,source_count,missing_primary_sources,design_implication_confidence,followup_priority,gap_notes
aliasing,ownership / borrow exclusivity,workflow_confirmed_in_selected_sources,Rust Nomicon; Rust Reference,"F001,F002",2,,medium,high,Confirmed only within selected sources; still needs design/implementation/prototype gating.
aliasing,restrict / noalias contracts,workflow_confirmed_in_selected_sources,GCC restricted pointers; LLVM LangRef,"F001,F003,F004",2,,medium,high,Confirmed only within selected sources; still needs design/implementation/prototype gating.
aliasing,Fortran dummy/TARGET rules,workflow_confirmed_in_selected_sources,Flang aliasing doc; WG5 Fortran paper,"F001,F005",2,,medium,high,Confirmed only within selected sources; still needs design/implementation/prototype gating.
aliasing,SPARK anti-aliasing / ownership,workflow_confirmed_in_selected_sources,AdaCore SPARK docs,"F001,F006",1,,medium,high,Confirmed only within selected sources; still needs design/implementation/prototype gating.
arrays/slices,"shape, views, bounds-check elimination",direct_source_extracted_needs_adversarial_verification,MLIR MemRef; MLIR Linalg; Futhark language reference; Chapel arrays primer; Fortran DO CONCURRENT,"A001,A002,A008,A009,A010",10,deeper papers/standards and adversarial verification still needed,low_to_medium,high,"Direct source extraction filled the gap, but broad workflow stalled; mark as evidence, not design conclusion. Load-bearing cards verified 2026-07-02 (see notes/card-verification-2026-07-02.jsonl); remaining cards in this area still provisional."
layout/alignment,"AoS/SoA, object headers, alignment, packed/unboxed layout",direct_source_extracted_needs_adversarial_verification,MLIR MemRef; Halide schedule tutorial; ISPC user guide; Chapel arrays primer,"A001,A006,A007,A009",10,deeper papers/standards and adversarial verification still needed,low_to_medium,high,"Direct source extraction filled the gap, but broad workflow stalled; mark as evidence, not design conclusion. Load-bearing cards verified 2026-07-02 (see notes/card-verification-2026-07-02.jsonl); remaining cards in this area still provisional."
SIMD/vectorization,"vector loops, LLVM vectorizers, ISPC/Halide/Futhark evidence",direct_source_extracted_needs_adversarial_verification,LLVM Vectorizers; MLIR Vector; ISPC user guide; Halide schedule tutorial,"A004,A005,A006,A007",10,deeper papers/standards and adversarial verification still needed,low_to_medium,high,"Direct source extraction filled the gap, but broad workflow stalled; mark as evidence, not design conclusion. Load-bearing cards verified 2026-07-02 (see notes/card-verification-2026-07-02.jsonl); remaining cards in this area still provisional."
iterators/fusion,"iterator abstraction, fusion/deforestation, generator lowering",direct_source_extracted_needs_adversarial_verification,MLIR Linalg; MLIR Affine; Halide schedule tutorial; Futhark language reference,"A002,A003,A006,A008",10,deeper papers/standards and adversarial verification still needed,low_to_medium,high,"Direct source extraction filled the gap, but broad workflow stalled; mark as evidence, not design conclusion. Load-bearing cards verified 2026-07-02 (see notes/card-verification-2026-07-02.jsonl); remaining cards in this area still provisional."
dispatch/devirtualization,"virtual dispatch, sealed classes, final methods, trait/object dispatch",direct_source_extracted_needs_adversarial_verification,Rust trait objects/reference; GCC optimize options; C# sealed; Julia methods,"D002,D003,D006,D007,D010",12,"HotSpot/OpenJDK, Swift SIL, stronger C++ standard/compiler docs, adversarial verification",low_to_medium,high,Direct extraction after workflows failed/empty; evidence supports tradeoff mapping only. Load-bearing cards verified 2026-07-02 (see notes/card-verification-2026-07-02.jsonl); remaining cards in this area still provisional.
generics/specialization,monomorphization vs dictionaries vs JIT specialization,direct_source_extracted_needs_adversarial_verification,Rust generics/book; .NET generics runtime; Julia performance tips; rustc codegen options,"D001,D004,D005,D009,D010",12,"HotSpot/OpenJDK, Swift SIL, stronger C++ standard/compiler docs, adversarial verification",low_to_medium,high,Direct extraction after workflows failed/empty; evidence supports tradeoff mapping only. Load-bearing cards verified 2026-07-02 (see notes/card-verification-2026-07-02.jsonl); remaining cards in this area still provisional.
GC/RC/ARC,HotSpot escape analysis and Swift ARC/SIL visibility,workflow_confirmed_in_selected_sources,,"F007,F009,J004",0,,medium,medium,Confirmed only within selected sources; still needs design/implementation/prototype gating. Load-bearing cards verified 2026-07-02 (see notes/card-verification-2026-07-02.jsonl); remaining cards in this area still provisional.
closures/captures,"closure allocation, captures, escape analysis",direct_source_extracted_needs_adversarial_verification,Julia performance tips,D009,12,"HotSpot/OpenJDK, Swift SIL, stronger C++ standard/compiler docs, adversarial verification",low_to_medium,high,Direct extraction after workflows failed/empty; evidence supports tradeoff mapping only.
reflection/introspection,reflection/eval/dynamic loading constraints,missing_primary_source,,,0,needs primary docs/specs/papers,low,medium,No workflow-confirmed finding yet; do not infer design direction.
numeric semantics,"overflow, fast-math, poison/undef/freeze, FP exceptions",workflow_confirmed_in_selected_sources,LLVM UB Manual; LLVM LangRef; InstCombine Contributor Guide; Alive2,"N001,N002,N003,N004,N005,N006",25,needs primary docs/specs/papers,low,high,LLVM numeric contracts are confirmed; source-language numeric defaults and FP policy still need research.
exceptions/effects,EH representation and effect information,workflow_confirmed_in_selected_sources,,F008,0,,medium,high,Confirmed only within selected sources; still needs design/implementation/prototype gating.
concurrency/memory model,"data races, atomics, memory order, actors/tasks",direct_source_extracted_needs_adversarial_verification,Go memory model; Rust Nomicon atomics+Send/Sync; LLVM Atomics; JSR-133 FAQ; research.swtch.com/plmm,"C001,C002,C003,C004,C005,C006",6,"C++ standard draft (intro.races), JLS ch.17, Swift/Pony/Erlang/GPU models",low_to_medium,high,Direct extraction after workflow failures; C++/Java claims rest partly on secondary sources. Load-bearing cards verified 2026-07-02 (see notes/card-verification-2026-07-02.jsonl); remaining cards in this area still provisional.
FFI/ABI,cross-language boundaries and metadata validity,missing_primary_source,,,0,needs primary docs/specs/papers,low,high,No workflow-confirmed finding yet; do not infer design direction.
dynamic typing/JIT,"inline caches, guards, deopt, tiering",direct_source_extracted_needs_adversarial_verification,PEP 659; V8 hidden classes; V8 elements kinds; PyPy architecture; HotSpot perf enhancements; Julia docs,"J001,J002,J003,J004,J005,D009,D010",11,"Self/Smalltalk papers, TurboFan/deopt internals, PyPy guard papers",low_to_medium,medium,Direct extraction complete; adversarial verification pending. Load-bearing cards verified 2026-07-02 (see notes/card-verification-2026-07-02.jsonl); remaining cards in this area still provisional.
