e01_input_id	historical_input	template_row_ordinal	disposition	current_authorities	current_authority_sha256s	required_unit_ids	contract_relation	measurement_disposition	blocked_or_separate_claims	new_mandatory_operations_absent_from_e01	e01_traceability_sha256	family_lock_template_sha256	status
E01-DISP-01	Current fixed buffer control	1	RETAINED_AS_B_FIX	DENSE-PERFORMANCE-CONTROLS.tsv;DENSE-PERFORMANCE-STRUCTURAL-GATES.tsv	DENSE-PERFORMANCE-CONTROLS.tsv=1bc594003697c3868e0ac42720de56df1680922f22426b090ad12fa029eeea09;DENSE-PERFORMANCE-STRUCTURAL-GATES.tsv=6196995de9b7f1ad2518c38c730a4c081ddb465a2bb00cff52734e9b351c9f32	control:B-FIX;structural:SG-B-FIX	The unchanged fixed fully initialized buffer remains a protected identity control, not a dense candidate.	Exact source, layout, diagnostics, IR, optimized body, traps, calls, checks, branches, and allocation shape must remain unchanged under every candidate configuration.	B-FIX cannot establish growable or partially live storage and grants no E0.1 restart.	NONE	2973109ddfee2b6caf8f0b4eedbbbfc55ec933e12c842735dd76c490f106e613	4da87c54342544e252492f552c5c52b7f41431f3e61bcfd4f7919207d7febc77	FROZEN_RESEARCH_DISPOSITION_NO_E01_RESTART
E01-DISP-02	Declarative Copy route	2	SUPERSEDED_AS_DENSE_MECHANISM_PRODUCTION_COPY_CHOICE_OPEN	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv;DENSE-E01-MEMBER-CLASSIFICATION.tsv;DENSE-CANDIDATE-LIFECYCLE-REGISTRY.tsv;DENSE-PERFORMANCE-STRUCTURAL-GATES.tsv	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv=3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418;DENSE-E01-MEMBER-CLASSIFICATION.tsv=7a1853e34a385e0322ad1741d809763554f87e7d1476936ea192de042851fc56;DENSE-CANDIDATE-LIFECYCLE-REGISTRY.tsv=63f6c1e0cad521ea718b40b9570857e2401a2e83e4d36d1d58785b7276a041df;DENSE-PERFORMANCE-STRUCTURAL-GATES.tsv=6196995de9b7f1ad2518c38c730a4c081ddb465a2bb00cff52734e9b351c9f32	member:DENSE-COPY-FROM;member:DENSE-COPY-WITHIN;member:DENSE-INIT-COPY;structural:SG-OWNER-EVENTS	Semantic duplication remains separate from fixed AoS eligibility and partial-state ownership. No declarative-Copy arm is a dense mechanism candidate.	Copy and clone traffic remain explicitly attributed where an exact caller contract requests duplication; they cannot simulate affine relocation.	The production spelling and admissible domain of declared Copy remain unresolved outside this lock.	NONE	2973109ddfee2b6caf8f0b4eedbbbfc55ec933e12c842735dd76c490f106e613	4da87c54342544e252492f552c5c52b7f41431f3e61bcfd4f7919207d7febc77	FROZEN_RESEARCH_DISPOSITION_NO_E01_RESTART
E01-DISP-03	Affine fixed builder	3	RETAINED_AS_HISTORICAL_EXACT_FILL_CONTROL_GENERAL_ROUTE_SUPERSEDED	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv;DENSE-CANDIDATE-LIFECYCLE-REGISTRY.tsv	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv=3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418;DENSE-CANDIDATE-LIFECYCLE-REGISTRY.tsv=63f6c1e0cad521ea718b40b9570857e2401a2e83e4d36d1d58785b7276a041df	member:DENSE-FIXED-MAP;member:DENSE-INIT-AUTHORITY-EVIDENCE;member:DENSE-WITH-CAPACITY	The confined exact-fill builder remains historical positive evidence, but the five general candidates own every normal abandonment edge and arbitrary affine live prefix.	Historical exact-fill observations are not imported as candidate scores. Applicable fixed construction and initialization contracts are remeasured under the current matrix.	The old builder cannot claim unknown-length append, move-out, deletion, growth, arbitrary drop, or general dense closure.	NONE	2973109ddfee2b6caf8f0b4eedbbbfc55ec933e12c842735dd76c490f106e613	4da87c54342544e252492f552c5c52b7f41431f3e61bcfd4f7919207d7febc77	FROZEN_RESEARCH_DISPOSITION_NO_E01_RESTART
E01-DISP-04	Automatic structural Copy	4	NOT_SELECTED_ALTERNATIVE_PRODUCTION_CHOICE_OPEN	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv;DENSE-E01-MEMBER-CLASSIFICATION.tsv;DENSE-CANDIDATE-LIFECYCLE-REGISTRY.tsv	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv=3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418;DENSE-E01-MEMBER-CLASSIFICATION.tsv=7a1853e34a385e0322ad1741d809763554f87e7d1476936ea192de042851fc56;DENSE-CANDIDATE-LIFECYCLE-REGISTRY.tsv=63f6c1e0cad521ea718b40b9570857e2401a2e83e4d36d1d58785b7276a041df	member:DENSE-COPY-FROM;member:DENSE-COPY-WITHIN;member:DENSE-INIT-COPY	Structural Copy is neither required nor selected by any dense candidate. Exact duplication contracts remain explicit and distinct from storage eligibility.	No score or performance credit is assigned to inferred Copy; only exact requested duplication sites are counted.	Protocol-token, field-evolution, and copy-provenance questions remain open for a later Copy-classification decision.	NONE	2973109ddfee2b6caf8f0b4eedbbbfc55ec933e12c842735dd76c490f106e613	4da87c54342544e252492f552c5c52b7f41431f3e61bcfd4f7919207d7febc77	FROZEN_RESEARCH_DISPOSITION_NO_E01_RESTART
E01-DISP-05	Copy by default plus negative affine marker	5	REJECTION_PRESERVED	DENSE-CANDIDATE-LIFECYCLE-REGISTRY.tsv;DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv	DENSE-CANDIDATE-LIFECYCLE-REGISTRY.tsv=63f6c1e0cad521ea718b40b9570857e2401a2e83e4d36d1d58785b7276a041df;DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv=3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	NONE	Omission never grants duplicability. The dense payload envelope admits affine values without changing their semantic copy class.	No default-Copy arm or measurement exists in the frozen candidate set.	Reopening this fail-closed rejection requires separate owner evidence and is outside Family Lock A.	NONE	2973109ddfee2b6caf8f0b4eedbbbfc55ec933e12c842735dd76c490f106e613	4da87c54342544e252492f552c5c52b7f41431f3e61bcfd4f7919207d7febc77	FROZEN_RESEARCH_DISPOSITION_NO_E01_RESTART
E01-DISP-06	Affine fixed-storage predicate	6	REVISED_AS_STORAGE_ELIGIBILITY_WITHOUT_COPY	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv;DENSE-PERFORMANCE-LAYOUTS.tsv;DENSE-PERFORMANCE-PAYLOADS.tsv	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv=3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418;DENSE-PERFORMANCE-LAYOUTS.tsv=de5a054494d944ab70cd3aac56c2dfff6ddfa6f2271f030064ed2642ff198768;DENSE-PERFORMANCE-PAYLOADS.tsv=68ccb0cb9e85e2b83e6cdb4e586a8fd789f264966f1d9f71881b42338dfd52e0	member:DENSE-FIXED-MAP;member:DENSE-FIXED-VIEW;member:DENSE-INIT-AUTHORITY-EVIDENCE	Target-derived fixed AoS layout eligibility is retained independently of Copy, while arbitrary affine liveness is governed by exact owner-transition contracts.	ROW24, ROW56, and affine payload separators expose layout and ownership costs without inferring semantic duplication.	No source Copy classification follows from layout, no-drop representation, or storage eligibility.	NONE	2973109ddfee2b6caf8f0b4eedbbbfc55ec933e12c842735dd76c490f106e613	4da87c54342544e252492f552c5c52b7f41431f3e61bcfd4f7919207d7febc77	FROZEN_RESEARCH_DISPOSITION_NO_E01_RESTART
E01-DISP-07	Recursive or single-level recipe	7	SUPERSEDED_BY_EXPLICIT_CALLABLE_CONSTRUCTION_CONTRACTS	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv;DENSE-COMMON-SUBSTRATE-REGISTRY.tsv	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv=3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418;DENSE-COMMON-SUBSTRATE-REGISTRY.tsv=99fa5fc0c0ad44033c360027a0b2d5caf2bdb65253013776995f21e145e28e3f	member:DENSE-FILL-WITH;member:DENSE-REPEAT;member:DENSE-RESIZE-WITH	Fresh repeated construction uses explicit direct callable contracts and ordinary ANF bindings; no recipe grammar or nested-construction exception is assumed.	Call counts, order, effects, retained state, partial failure, cleanup, and direct-call cost are explicit per contract.	Any future recipe syntax remains a separate META-5 and grammar decision.	NONE	2973109ddfee2b6caf8f0b4eedbbbfc55ec933e12c842735dd76c490f106e613	4da87c54342544e252492f552c5c52b7f41431f3e61bcfd4f7919207d7febc77	FROZEN_RESEARCH_DISPOSITION_NO_E01_RESTART
E01-DISP-08	Explicit Repeat or Clone	8	RETAINED_AS_SEPARATE_DUPLICATION_CONTRACT	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv;DENSE-E01-MEMBER-CLASSIFICATION.tsv;DENSE-PERFORMANCE-STRUCTURAL-GATES.tsv	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv=3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418;DENSE-E01-MEMBER-CLASSIFICATION.tsv=7a1853e34a385e0322ad1741d809763554f87e7d1476936ea192de042851fc56;DENSE-PERFORMANCE-STRUCTURAL-GATES.tsv=6196995de9b7f1ad2518c38c730a4c081ddb465a2bb00cff52734e9b351c9f32	member:DENSE-CLONE-FROM;member:DENSE-CONCAT;member:DENSE-EXTEND-CLONE;member:DENSE-EXTEND-WITHIN;member:DENSE-FILL-CLONE;member:DENSE-FRESH-CLONE;member:DENSE-INIT-CLONE;member:DENSE-JOIN;member:DENSE-REPEAT;member:DENSE-RESIZE-CLONE;structural:SG-OWNER-EVENTS	Clone produces new semantic owners under an explicit behavior contract; relocation transfers an existing owner and never invokes Clone.	Every clone call, produced owner, failure edge, old-leaf disposition, and payload byte is counted independently of relocation.	Clone cannot discharge an affine move-out, hole, or live-prefix obligation.	NONE	2973109ddfee2b6caf8f0b4eedbbbfc55ec933e12c842735dd76c490f106e613	4da87c54342544e252492f552c5c52b7f41431f3e61bcfd4f7919207d7febc77	FROZEN_RESEARCH_DISPOSITION_NO_E01_RESTART
E01-DISP-09	Per-slot builder or initialized-prefix owner	9	REVISED_CONSTRUCTION_PROTOCOL_SEPARATED_FROM_STEADY_STATE	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv;DENSE-E01-MEMBER-CLASSIFICATION.tsv;DENSE-CANDIDATE-LIFECYCLE-REGISTRY.tsv	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv=3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418;DENSE-E01-MEMBER-CLASSIFICATION.tsv=7a1853e34a385e0322ad1741d809763554f87e7d1476936ea192de042851fc56;DENSE-CANDIDATE-LIFECYCLE-REGISTRY.tsv=63f6c1e0cad521ea718b40b9570857e2401a2e83e4d36d1d58785b7276a041df	member:DENSE-APPEND-MOVE;member:DENSE-CLEAR;member:DENSE-CLONE-FROM;member:DENSE-COLLECT;member:DENSE-COMPARE;member:DENSE-CONCAT;member:DENSE-CONVERT;member:DENSE-COPY-FROM;member:DENSE-COPY-WITHIN;member:DENSE-DEDUP;member:DENSE-DEDUP-BY;member:DENSE-DEDUP-BY-KEY;member:DENSE-DEFAULT;member:DENSE-DROP;member:DENSE-EAGER-EXTRACT;member:DENSE-EAGER-SPLICE;member:DENSE-EXTEND-CLONE;member:DENSE-EXTEND-ITER;member:DENSE-EXTEND-WITHIN;member:DENSE-FILL-CLONE;member:DENSE-FILL-WITH;member:DENSE-FIXED-EACH;member:DENSE-FIXED-MAP;member:DENSE-FIXED-VIEW;member:DENSE-FRESH-CLONE;member:DENSE-HASH-TRAVERSAL;member:DENSE-INDEX-SHARED;member:DENSE-INDEX-UNIQ;member:DENSE-INIT-CLONE;member:DENSE-INIT-COPY;member:DENSE-INSERT;member:DENSE-INSERT-UNIQ;member:DENSE-INTO-BOXED;member:DENSE-INTO-FLATTENED;member:DENSE-INTO-OWNER;member:DENSE-ITER-OWN;member:DENSE-ITER-SHARED;member:DENSE-ITER-UNIQ;member:DENSE-JOIN;member:DENSE-META;member:DENSE-NEW;member:DENSE-OWNER-VIEW;member:DENSE-POP;member:DENSE-POP-IF;member:DENSE-PUSH;member:DENSE-PUSH-UNIQ;member:DENSE-REMOVE;member:DENSE-REPEAT;member:DENSE-REPLACE;member:DENSE-RESERVE;member:DENSE-RESERVE-EXACT;member:DENSE-RESIZE-CLONE;member:DENSE-RESIZE-WITH;member:DENSE-RETAIN;member:DENSE-RETAIN-MUT;member:DENSE-REVERSE;member:DENSE-ROTATE;member:DENSE-SELECT-UNSTABLE;member:DENSE-SHRINK-TO;member:DENSE-SHRINK-TO-FIT;member:DENSE-SORT-STABLE;member:DENSE-SORT-STABLE-CACHED-KEY;member:DENSE-SORT-UNSTABLE;member:DENSE-SPLIT-OFF;member:DENSE-SWAP;member:DENSE-SWAP-REMOVE;member:DENSE-SWAP-WITH-VIEW;member:DENSE-TAKE-WITH-DEFAULT;member:DENSE-TRUNCATE;member:DENSE-TRY-RESERVE;member:DENSE-TRY-RESERVE-EXACT;member:DENSE-VIEW-ARRAY-CHUNKS;member:DENSE-VIEW-AS-FIXED;member:DENSE-VIEW-CONSUME-SPLIT;member:DENSE-VIEW-DISJOINT-UNIQ;member:DENSE-VIEW-END;member:DENSE-VIEW-END-CHUNK;member:DENSE-VIEW-END-SPLIT;member:DENSE-VIEW-GET-SHARED;member:DENSE-VIEW-GET-UNIQ;member:DENSE-VIEW-META;member:DENSE-VIEW-SPLIT-CHECKED;member:DENSE-VIEW-SPLIT-TRAP;member:DENSE-WITH-CAPACITY;member:DENSE-LAZY-DRAIN-EVIDENCE;member:DENSE-LAZY-EXTRACT-EVIDENCE;member:DENSE-LAZY-SPLICE-EVIDENCE;candidate:C-ATOMIC-TRANSITIONS;candidate:C-LINEAR-REBUILD;candidate:C-DERIVED-REPAIR;candidate:C-PROOF-CARRYING-STATE;candidate:C-RUNTIME-TOPOLOGY	Dense[0,len) is the steady owner state. Construction and mutation may enter only the exact operation-local partial state of the selected candidate and must close every normal exit.	Exact-fill history is replaced by the complete operation matrix, owner events, failure edges, abandonment paths, and same-shape Rust controls.	No affine finish convention, underfill ban, or writer discipline satisfies the general contract.	member:DENSE-APPEND-MOVE;member:DENSE-CLEAR;member:DENSE-CLONE-FROM;member:DENSE-COLLECT;member:DENSE-COMPARE;member:DENSE-CONCAT;member:DENSE-CONVERT;member:DENSE-COPY-FROM;member:DENSE-COPY-WITHIN;member:DENSE-DEDUP;member:DENSE-DEDUP-BY;member:DENSE-DEDUP-BY-KEY;member:DENSE-DEFAULT;member:DENSE-DROP;member:DENSE-EAGER-EXTRACT;member:DENSE-EAGER-SPLICE;member:DENSE-EXTEND-CLONE;member:DENSE-EXTEND-ITER;member:DENSE-EXTEND-WITHIN;member:DENSE-FILL-CLONE;member:DENSE-FILL-WITH;member:DENSE-FIXED-EACH;member:DENSE-FIXED-MAP;member:DENSE-FIXED-VIEW;member:DENSE-FRESH-CLONE;member:DENSE-HASH-TRAVERSAL;member:DENSE-INDEX-SHARED;member:DENSE-INDEX-UNIQ;member:DENSE-INIT-CLONE;member:DENSE-INIT-COPY;member:DENSE-INSERT;member:DENSE-INSERT-UNIQ;member:DENSE-INTO-BOXED;member:DENSE-INTO-FLATTENED;member:DENSE-INTO-OWNER;member:DENSE-ITER-OWN;member:DENSE-ITER-SHARED;member:DENSE-ITER-UNIQ;member:DENSE-JOIN;member:DENSE-META;member:DENSE-NEW;member:DENSE-OWNER-VIEW;member:DENSE-POP;member:DENSE-POP-IF;member:DENSE-PUSH;member:DENSE-PUSH-UNIQ;member:DENSE-REMOVE;member:DENSE-REPEAT;member:DENSE-REPLACE;member:DENSE-RESERVE;member:DENSE-RESERVE-EXACT;member:DENSE-RESIZE-CLONE;member:DENSE-RESIZE-WITH;member:DENSE-RETAIN;member:DENSE-RETAIN-MUT;member:DENSE-REVERSE;member:DENSE-ROTATE;member:DENSE-SELECT-UNSTABLE;member:DENSE-SHRINK-TO;member:DENSE-SHRINK-TO-FIT;member:DENSE-SORT-STABLE;member:DENSE-SORT-STABLE-CACHED-KEY;member:DENSE-SORT-UNSTABLE;member:DENSE-SPLIT-OFF;member:DENSE-SWAP;member:DENSE-SWAP-REMOVE;member:DENSE-SWAP-WITH-VIEW;member:DENSE-TAKE-WITH-DEFAULT;member:DENSE-TRUNCATE;member:DENSE-TRY-RESERVE;member:DENSE-TRY-RESERVE-EXACT;member:DENSE-VIEW-ARRAY-CHUNKS;member:DENSE-VIEW-AS-FIXED;member:DENSE-VIEW-CONSUME-SPLIT;member:DENSE-VIEW-DISJOINT-UNIQ;member:DENSE-VIEW-END;member:DENSE-VIEW-END-CHUNK;member:DENSE-VIEW-END-SPLIT;member:DENSE-VIEW-GET-SHARED;member:DENSE-VIEW-GET-UNIQ;member:DENSE-VIEW-META;member:DENSE-VIEW-SPLIT-CHECKED;member:DENSE-VIEW-SPLIT-TRAP;member:DENSE-WITH-CAPACITY	2973109ddfee2b6caf8f0b4eedbbbfc55ec933e12c842735dd76c490f106e613	4da87c54342544e252492f552c5c52b7f41431f3e61bcfd4f7919207d7febc77	FROZEN_RESEARCH_DISPOSITION_NO_E01_RESTART
E01-DISP-10	Public raw or split uninitialized privilege	10	REJECTION_PRESERVED	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv;DENSE-E01-MEMBER-CLASSIFICATION.tsv;DENSE-CANDIDATE-OPERATION-REGISTRY.tsv	DENSE-EXACT-MEMBER-OUTCOME-REGISTRY.tsv=3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418;DENSE-E01-MEMBER-CLASSIFICATION.tsv=7a1853e34a385e0322ad1741d809763554f87e7d1476936ea192de042851fc56;DENSE-CANDIDATE-OPERATION-REGISTRY.tsv=e6309a06014fbc573974786e91597344d29c665b463bd4589553d1e8a55812bd	member:DENSE-ALIGN-EVIDENCE;member:DENSE-BOX-INIT-EVIDENCE;member:DENSE-INIT-AUTHORITY-EVIDENCE;member:DENSE-LEN-AUTHORITY-EVIDENCE;member:DENSE-RAW-SPARE-REJECTED;member:DENSE-UNCHECKED-ACCESS-EVIDENCE	Writer-visible uninitialized bytes, raw spare capacity, unchecked access, forged length, split occupancy/payload mutation, and manual set_len remain statically rejected.	Rejected surfaces have no executable or timed arm; candidate mechanisms expose only checked transitions or unforgeable proof state.	This lock cannot reopen W3, create unsafe library privilege, or weaken a check for speed.	NONE	2973109ddfee2b6caf8f0b4eedbbbfc55ec933e12c842735dd76c490f106e613	4da87c54342544e252492f552c5c52b7f41431f3e61bcfd4f7919207d7febc77	FROZEN_RESEARCH_DISPOSITION_NO_E01_RESTART
