schema_version	dimension_id	requirement_status	requirement_basis	fixed_release_entries	stateless_signed_frame_grant	stateful_successor_snapshot	decision_effect
gate-admission-pareto-v2	ORDINARY_SOURCE_NONFORGEABILITY	REQUIRED	CONSTITUTION_W3_D0A_D14	PASS	PASS	PASS	NO_SEPARATION
gate-admission-pareto-v2	ONE_ADMISSION_PREDICATE	REQUIRED	D14	PASS	PASS	PASS	NO_SEPARATION
gate-admission-pareto-v2	ONE_AUTHORIZATION_AUDIT_SCHEMA	REQUIRED	D14	PASS	PASS	PASS	NO_SEPARATION
gate-admission-pareto-v2	CLOSED_SEMANTIC_VOCABULARY	REQUIRED	D1_D14	PASS	PASS	PASS	NO_SEPARATION
gate-admission-pareto-v2	EXACT_SCOPE_CONES_AND_FINAL_BINDING	REQUIRED	D1A_D14	PASS_IF_STAGE_INDEXED	PASS_IF_STAGE_INDEXED	PASS_IF_STAGE_INDEXED	MANDATORY_COMMON_RULE
gate-admission-pareto-v2	FRAME_TEMPLATE_AUTHORITY_CEILING	REQUIRED	D1_D4_D14	PASS_IF_BOUNDED_NO_FORMULA_PARAMETER_GRAMMAR	PASS_IF_BOUNDED_NO_FORMULA_PARAMETER_GRAMMAR	PASS_IF_BOUNDED_NO_FORMULA_PARAMETER_GRAMMAR	MANDATORY_COMMON_RULE
gate-admission-pareto-v2	NO_HIGH_LEVEL_PRIVILEGE_LAUNDERING	REQUIRED	D4_D12_D14	PASS_IF_AUTHORITY_BOUNDED_TEMPLATES	PASS_IF_AUTHORITY_BOUNDED_TEMPLATES	PASS_IF_AUTHORITY_BOUNDED_TEMPLATES	MANDATORY_COMMON_RULE
gate-admission-pareto-v2	EXACT_MINIMAL_PRIVILEGE_CUT_ACCOUNTING	REQUIRED	D12_D14	PASS_IF_EVERY_DERIVATION_EXPOSES_CUT	PASS_IF_EVERY_DERIVATION_EXPOSES_CUT	PASS_IF_EVERY_DERIVATION_EXPOSES_CUT	MANDATORY_COMMON_RULE
gate-admission-pareto-v2	NO_UNTRUSTED_IN_PROCESS_PLUGIN	REQUIRED	CONSTITUTION_W3_D14	PASS_IF_RELEASE_CONE_ENFORCED	PASS_IF_RELEASE_CONE_ENFORCED	PASS_IF_RELEASE_CONE_ENFORCED	MANDATORY_COMMON_RULE
gate-admission-pareto-v2	FRAME_INSTANCE_WITHOUT_AUTH_RELEASE	OWNER_CHOICE	D4_D11_D12_D14	FAIL_REQUIRES_AUTH_RELEASE	PASS_IMMUTABLE_GRANT_INPUT	PASS_IMMUTABLE_GRANT_AND_STATE	SEPARATES_FIXED_FROM_EXTENSIBLE
