project	revision	source_identity	operation	observable_contract	reference_representation	live_state	owner_traffic	provenance	failure_cleanup	fact_behavior	c_route	c0_dependency	reference_events	forced_delta	evidence_state	falsifier	evidence_reference
hashbrown	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs@0c8ad353ba95817e72b0a8fea48fa2599099ea3def374f254ab6402a9c468d22	lookup	A matching occupied bucket is returned or search stops at an EMPTY control byte.	Separate payload array plus replicated control-byte tail; FULL carries a seven-bit hash tag.	Only a FULL control byte authorizes equality access to its corresponding payload.	No payload owner moves; hash and equality callbacks consume only borrowed inputs.	The returned bucket and any derived reference must remain tied to the same table root and mutation version.	Callback abort ends the operation; table representation and owners remain unchanged.	Group matches are candidates; equality confirms a hit; EMPTY terminates the probe; mutation invalidates all such facts.	C-4 sparse lookup composed with C-7 returned-element provenance and C-11 occupancy/probe facts.	C0-10 portable group/SIMD load, match, and scalar fallback row is unenumerated.	Group loads, tag comparisons, equality only on matching FULL buckets, probe advance, and EMPTY termination; no allocation, payload move, or atomic event.	No structural tax is identified, but exact target-row semantics are absent.	C0-GAP	Enumerate one portable group row and show the existing probe performs no extra load, check, scan, or payload access.	src/raw.rs:557-580,660-685,1192-1208,2008-2044; src/control/mod.rs; src/control/tag.rs
hashbrown	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs@0c8ad353ba95817e72b0a8fea48fa2599099ea3def374f254ab6402a9c468d22	lookup	A matching tag permits equality to inspect exactly the corresponding live payload.	Control metadata and payload reside in one allocation but in distinct regions.	The control-to-payload relation must prove the bucket live before forming a payload reference.	No owner traffic.	Equality and the returned bucket derive authority from the exact FULL slot, not from the hash or integer index.	Callback abort preserves all control bytes, counters, and payload owners.	The FULL observation needs a version-bounded occupancy fact synchronized with payload liveness.	C-4 plus C-7 and C-11 are the named families, but their exact cross-family admission rule is absent.	None.	One metadata observation gates one payload access; no initialization, copy, allocation, indirection, scan beyond probing, atomic, or machine event is added.	No forced structural delta is identified; authority is unresolved.	COMPOSITION-GAP	Define a finite same-root same-version control-to-payload rule that rejects EMPTY and DELETED without recognizing Hashbrown.	src/raw.rs:2008-2044
hashbrown	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs@0c8ad353ba95817e72b0a8fea48fa2599099ea3def374f254ab6402a9c468d22	lookup	An EMPTY byte proves the searched key is absent along the current probe sequence.	Replicated control tail permits unaligned group reads across the logical end.	No payload becomes live or dead.	No owner traffic.	The miss result is tied to the table root, capacity, probe position, and mutation version.	Callback abort or ordinary miss leaves the table unchanged.	EMPTY termination must be a closed probe fact and must be invalidated by insertion, removal, or rehash.	C-4 sparse search composed with C-11 probe facts; exact fact schema is absent.	None.	Existing group probe and EMPTY test only; no whole-table scan or payload traffic.	No forced structural delta is identified; the fact producer and invalidators are unspecified.	COMPOSITION-GAP	Enumerate the probe-termination fact and show every mutation that can change reachability invalidates it.	src/raw.rs:2008-2044
hashbrown	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs@0c8ad353ba95817e72b0a8fea48fa2599099ea3def374f254ab6402a9c468d22	vacant insertion	Search returns a vacant index that remains usable only until table mutation.	An EMPTY or DELETED control slot corresponds to uninitialized payload storage.	The selected payload place remains vacant until the insertion commit.	The offered key and value remain owned by the caller-side operation until committed.	The vacant index needs a same-root version token; an integer index alone grants no access.	Hash or equality abort preserves the original table and returns or destroys offered owners according to the call boundary.	The vacancy fact is invalidated by any intervening mutation, resize, or rehash.	C-4 vacant-entry protocol composed with C-7 entry provenance and C-11 vacancy facts.	None.	Probe and vacancy selection only; no payload initialization, copy, allocation, or atomic event.	No forced structural delta is identified; the versioned entry token is unspecified.	COMPOSITION-GAP	Define a non-escapable vacant token that cannot be reused after mutation and adds no runtime metadata.	src/raw.rs:1120-1144,1795-1842
hashbrown	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs@0c8ad353ba95817e72b0a8fea48fa2599099ea3def374f254ab6402a9c468d22	vacant insertion	Without growth, one vacant slot becomes FULL and receives exactly one key-value owner pair.	Control byte is written with the hash tag and the uninitialized payload place is then written.	The transition must prevent access in the interval between metadata commit and payload write and finish with exactly one live payload.	Each offered owner moves exactly once into the selected place; no previous payload owner exists.	The resulting mutable value borrow derives from the newly live slot and table root.	No recoverable failure occurs after slot preparation in the reference path; abandonment must either precede commit or perform fixed rollback/cleanup.	Control, items, growth_left, payload liveness, and all vacancy/probe facts change in one logical transition.	C-4 sparse insertion needs a fixed C-6 transition and C-7 result rule; the exact state machine is absent.	None.	One control update, one payload write, items increment, and growth_left decrement only for EMPTY; no zeroing or payload copy.	No forced tax is identified; exact sequencing, abandonment, and fact synchronization are unresolved.	COMPOSITION-GAP	Enumerate a checked commit protocol matching the reference writes without a temporary tag, rollback scan, or extra payload move.	src/raw.rs:1153-1187,1907-1919,2458-2464
hashbrown	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/map.rs@b79497ce537ffc5ed4f8f3399434b9216c01e7927fdc434fee190e9e9ce2abb0	vacant insertion	VacantEntry insertion returns a mutable reference to the inserted value.	The entry stores the key, table reference, hash, and vacant index; payload remains in the table allocation.	The selected slot changes from vacant to live exactly once.	The stored key and supplied value move into the table; the returned reference owns nothing.	The result must derive from the inserted value field through the table root, not from the temporary entry object.	If insertion cannot commit, both offered owners require exact return or destruction; successful entry consumption needs no later cleanup.	Successful insertion invalidates the vacant token and produces a version-bounded live-value fact.	C-4 plus C-6 insertion composed with C-7 entry-result provenance; exact composition is absent.	None.	No extra allocation or indirection beyond the reference table; one key-value write and one returned borrow.	No forced structural delta is identified; result provenance and invalidation are unspecified.	COMPOSITION-GAP	Define the result-source map and show consuming the entry cannot leave an alias or cleanup obligation.	src/map.rs:2827-2831,4162-4260
hashbrown	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs@0c8ad353ba95817e72b0a8fea48fa2599099ea3def374f254ab6402a9c468d22	vacant insertion	When growth is required, insertion acquires a larger root and then commits the item.	A new allocation contains payload storage, control bytes, and the replicated control tail.	Existing live slots remain authoritative until resize commit; the new selected slot becomes live after migration.	Existing owners relocate; the offered pair moves once into its final vacant slot.	All resulting access must re-root to the new allocation and invalidate old-root entries.	Allocation failure must leave the old table and offered owners in their declared states.	All old-root occupancy and probe facts invalidate at resize commit.	C-4/C-6 route the table protocol, but physical-root acquisition requires an exact C0 row.	C0-7 growth allocation, alignment, layout, failure, and transfer row is unenumerated.	One reference growth allocation plus reference relocation and release; no zeroing requirement is observed.	No extra allocation is identified; the exact permitted allocation event and failure contract are absent.	C0-GAP	Enumerate the selected allocation row and show failure preserves owners while success adds no second root event or zero fill.	src/raw.rs:1024-1046,2682-2712,2739-2792,2885-2957
hashbrown	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/map.rs@b79497ce537ffc5ed4f8f3399434b9216c01e7927fdc434fee190e9e9ce2abb0	replacement	Inserting an existing key retains the stored key, replaces the stored value, returns the old value, and consumes the offered key.	The existing FULL slot remains occupied with the same key and a new value.	Occupancy is continuous while the value owner changes.	New value moves once into the slot; old value moves once to the result; offered duplicate key is destroyed once.	The returned old value is owned; any mutable reference to the new value derives from the same live slot and new mutation version.	Equality abort leaves both table owners unchanged; after match, replacement requires exact disposition for all three owners.	Occupancy may remain valid, but value-content and borrow facts invalidate at replacement.	C-4 replacement needs a fixed C-6 owner-disposition transition and C-11 selective invalidators; it is unenumerated.	None.	One value replacement and one old-value return; no key replacement, allocation, zeroing, scan, or atomic event.	No forced structural delta is identified; exact owner and fact transition is absent.	COMPOSITION-GAP	Enumerate replacement so the stored key is never moved and each offered or displaced owner has one disposition.	src/map.rs:1806-1821,4045-4051
hashbrown	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs@0c8ad353ba95817e72b0a8fea48fa2599099ea3def374f254ab6402a9c468d22	replacement	A replace-with callback may restore a replacement item or remove the slot after temporarily taking the owner.	One FULL slot is logically in transition; control may be restored or changed to vacant.	The original item is live in the callback input, not simultaneously in the slot.	Original owner moves to the callback; returned Some owner moves back, while None leaves the slot vacant.	No reference to the temporarily vacant payload may escape; returned entry provenance depends on the branch.	Callback abort and both normal branches require exact cleanup and a declared valid table state.	All payload and occupancy facts invalidate during the transition; the Some branch may produce fresh FULL facts.	C-4 needs one fixed C-6 replace/remove state machine and C-7 branch-result provenance; none is enumerated.	None.	At most one owner take and one owner restore; no allocation, zeroing, or unrelated metadata.	No forced structural delta is identified; callback-abort cleanup is unresolved.	COMPOSITION-GAP	Define the fixed two-branch protocol and its abort cleanup without copying the item or adding a persistent tag.	src/raw.rs:1091-1110; src/map.rs:4126-4153
hashbrown	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs@0c8ad353ba95817e72b0a8fea48fa2599099ea3def374f254ab6402a9c468d22	removal	A found FULL slot becomes EMPTY or DELETED while its key-value owner is returned.	Control metadata preserves probe reachability after the payload becomes vacant.	The payload is read exactly once as an owner and is no longer live after removal.	The key-value owner moves once from the slot to the result; it is not destroyed in place.	The result is an owned value; the removal token must have been derived from the matching FULL slot.	A miss changes nothing; found removal has no recoverable failure after ownership transfer in the reference path.	The removed slot and affected probe facts invalidate; items decrements and growth_left may change.	C-4 removal requires an exact C-6 transition and C-11 invalidation rule; the state machine is absent.	None.	One owner read, one control update, items decrement; no allocation, zeroing, payload copy, or atomic event.	No forced structural delta is identified; transition authority is unresolved.	COMPOSITION-GAP	Enumerate removal so metadata cannot authorize a payload after the owner read and the result is disposed exactly once.	src/raw.rs:770-797,817-823,3224-3288
