schema_version	capability_id	mapping_kind	route_class	basis_authority_ids	route_ids	alias_target_ids	evidence_status	constructive_derivation	structural_cost
privileged-basis-crosswalk-v2	ST-FULL	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	CORE-ADOPT-FULL,CORE-REPACKAGE-FULL-STORAGE,PROTOCOL-OPAQUE-OWNER	NONE	PAPER_DERIVED	The sealed invariant owns Full over the complete checked carrier; full adoption or bidirectional full-storage repack supplies the initial proof without payload traffic.	No capacity or occupancy metadata beyond the selected representation.
privileged-basis-crosswalk-v2	ST-AOS	CAPABILITY	CORE_RULE	R-1	CORE-TYPED-PLACE	NONE	PAPER_DERIVED	Checked typed places use the ordinary record layout while affine fields remain exact sole owners.	One contiguous allocation and native record stride.
privileged-basis-crosswalk-v2	ST-DENSE	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-3	CORE-TYPED-PLACE,PROTOCOL-OPAQUE-OWNER	NONE	PAPER_DERIVED	The invariant owns Full over the live prefix and Vac over the spare suffix; bounds plus the predicate authorize access and cleanup.	Pointer, length, and capacity only; no per-slot occupancy tag.
privileged-basis-crosswalk-v2	ST-RING	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	CORE-TYPED-PLACE,PROTOCOL-OPAQUE-OWNER	NONE	PAPER_DERIVED	The invariant maps the logical live range to at most two exact wrapped footprint intervals and owns all remaining places vacant.	Only algorithm-required head, length, and capacity metadata.
privileged-basis-crosswalk-v2	ST-SPARSE	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	CORE-TYPED-PLACE,PROTOCOL-OPAQUE-OWNER	NONE	PAPER_DERIVED	A producer predicate relates representation-selected occupancy metadata to an exact separating product of Full and Vac resources.	Only the selected sparse algorithm's occupancy metadata and checks; dense routes pay none.
privileged-basis-crosswalk-v2	ST-DEPENDENT	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	CORE-TYPED-PLACE,PROTOCOL-OPAQUE-OWNER,PROTOCOL-EXACT-FOCUS	NONE	PAPER_DERIVED	One opaque multi-root predicate relates exact live footprints and dependent counters across carriers; focus preserves the relation through transitions.	Only algorithm-required counters and carriers.
privileged-basis-crosswalk-v2	ST-HOLE	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	CORE-TAKE-PUT,PROTOCOL-EXACT-FOCUS	NONE	PAPER_DERIVED	Exact focus carries every vacancy and all remaining Full resources until repair, transfer, disposal, or abort.	Proof state erases; payload traffic is exactly the selected relocation work.
privileged-basis-crosswalk-v2	ST-REFINE	CAPABILITY	PROOF_FACT	R-1,R-3,R-6	FACT-STATE	NONE	PAPER_DERIVED	A conservative checked predicate refines the live bytes and every incompatible mutation invalidates or re-establishes it.	No refinement metadata unless runtime validation is selected.
privileged-basis-crosswalk-v2	OW-INIT	CAPABILITY	CORE_RULE	R-1,R-2,R-3	CORE-TAKE-PUT	NONE	PAPER_DERIVED	The put direction consumes one vacant place and one sole owner and produces one Full place only after the write.	One required store or move; no hidden Copy, Clone, or Default.
privileged-basis-crosswalk-v2	OW-MOVEOUT	CAPABILITY	CORE_RULE	R-1,R-2,R-3	CORE-TAKE-PUT	NONE	PAPER_DERIVED	The take direction consumes Full plus exact MoveAuth and produces Vac plus the same sole owner before source reuse.	One required load or move; no source-preserving copy claim.
privileged-basis-crosswalk-v2	OW-REPLACE	CAPABILITY	DERIVED_PROOF	R-1,R-2,R-3	CORE-REPLACE	NONE	PAPER_DERIVED	Take the displaced owner and put the offered owner into the same place while returning the displaced owner.	Exactly two owner transfers; no swap or allocation.
privileged-basis-crosswalk-v2	OW-SWAP	CAPABILITY	DERIVED_PROOF	R-1,R-2,R-3	CORE-SWAP	NONE	PAPER_DERIVED	Prove exact logical footprints disjoint, take both values, and put each into the opposite vacancy.	Direct algorithm-required exchange traffic.
privileged-basis-crosswalk-v2	OW-RELOCATE	CAPABILITY	DERIVED_PROOF	R-1,R-2,R-3	CORE-TAKE-PUT,PROTOCOL-EXACT-FOCUS	NONE	PAPER_DERIVED	Repeatedly take from a live source and put into an exact vacant destination in overlap-safe order.	Direct owner-move traffic; this route never stands for source-preserving Copy or proof-only reshape.
privileged-basis-crosswalk-v2	OW-CLONE	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-3,R-6	CALLABLE-CLONE,CORE-TAKE-PUT	NONE	PAPER_DERIVED	An explicit Clone or clone-from callable creates or updates the destination under exact count, effects, provenance, and abort accounting.	Only declared Clone work; this route never stands for a producer, CoreCopy, or owner repack.
privileged-basis-crosswalk-v2	OW-DROP	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3,R-4,R-5	PROTOCOL-PLAN-DISPOSE	NONE	PAPER_DERIVED	Static verified disposition destroys exactly the live payloads, closes or transfers every applicable borrow, pin, reclamation, and external lease, then releases each empty carrier once.	Exactly the required live-subset traversal; Trivial emits none and generated cost remains unmeasured.
privileged-basis-crosswalk-v2	EX-NORMAL	CAPABILITY	CORE_RULE	R-3	EXIT-NORMAL-RESEAL	NONE	PAPER_DERIVED	Every normal edge reseals, transfers, or terminally disposes every named resource.	No runtime edge mechanism beyond selected disposition work.
privileged-basis-crosswalk-v2	EX-ABANDON	CAPABILITY	CORE_RULE	R-3	PROTOCOL-PLAN-DISPOSE	NONE	PAPER_DERIVED	Only Trivial or verified Plan permits normal weakening; MustClose rejects abandonment.	No dynamic finalizer lookup.
privileged-basis-crosswalk-v2	EX-ABORT	CAPABILITY	CORE_RULE	R-3	EXIT-ABORT-SAFE	NONE	PAPER_DERIVED	Trap has no post-state or unwind but requires the exact registered pre-abort safety invariant.	No cleanup or unwind tax after trap.
privileged-basis-crosswalk-v2	BR-PROV	CAPABILITY	CORE_RULE	R-1,R-2	CORE-PARTITION-BORROW,FACT-BORROW	NONE	PAPER_DERIVED	Every borrow leaf names one generative root, epoch, footprint, and region; storage and aggregate tags cannot retarget it.	Proof identity erases.
privileged-basis-crosswalk-v2	BR-REBORROW	CAPABILITY	CORE_RULE	R-1,R-2,R-3	CORE-PARTITION-BORROW	NONE	PAPER_DERIVED	A child loan escrows the exact parent permission and returns it at the bounded end.	No runtime borrow object on the static path.
privileged-basis-crosswalk-v2	BR-RESULT	CAPABILITY	CORE_RULE	R-1,R-2,R-3	CORE-PARTITION-BORROW,FACT-BORROW	NONE	PAPER_DERIVED	The result proof maps every borrow leaf to one declared source root and exact result region.	No runtime provenance lookup.
privileged-basis-crosswalk-v2	BR-STORED	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	PROTOCOL-STORED-BORROW,FACT-BORROW	NONE	PAPER_DERIVED	The opaque owner preserves every contained borrow leaf across storage, moves, projection, calls, results, and disposal without extending its region.	Static provenance erases; region-free values acquire no lifetime state or code path.
privileged-basis-crosswalk-v2	BR-DISJOINT	CAPABILITY	CORE_RULE	R-1,R-2	CORE-PARTITION-BORROW	NONE	PAPER_DERIVED	Structural separation, monotone traversal, or one checked logical distinctness validation yields exact sibling footprints; pointer comparison proves nothing.	Static proof is free; a dynamic contract pays only its selected validation.
privileged-basis-crosswalk-v2	BR-INVALIDATE	CAPABILITY	CORE_RULE	R-1,R-2,R-3	CORE-PARTITION-BORROW,FACT-BORROW	NONE	PAPER_DERIVED	Mutation consumes or versions every incompatible permission and fact before structural change.	Static invalidation; logical handles pay only selected checks.
privileged-basis-crosswalk-v2	BR-CURSOR	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	PROTOCOL-CURSOR-SHARED,PROTOCOL-CURSOR-UNIQ,PROTOCOL-CURSOR-OWN	NONE	PAPER_DERIVED	An opaque cursor owns a finite source and exact remaining-footprint map; each yield transfers or reborrows one exact component.	Only algorithm-required cursor state.
privileged-basis-crosswalk-v2	FL-CAPACITY	CAPABILITY	CORE_RULE	R-1,R-3	FAIL-CHECKED-ARITH	NONE	PAPER_DERIVED	Checked element, byte, layout, capacity, and logical-length arithmetic precedes acquisition or commitment.	Checks remain unless machine-proved.
privileged-basis-crosswalk-v2	FL-ALLOC	CAPABILITY	ADMITTED_ENTRY	R-1,R-3,R-6,F-ALLOC	FAIL-ALLOC-EXACT	NONE	IRREDUCIBLE_GATE	The exact admitted allocator entry returns either no root with offered owners unchanged or one fresh carrier with the registered disposition.	Exactly one call per selected acquisition and zero calls on allocation-inapplicable outcomes.
privileged-basis-crosswalk-v2	FL-ATOMIC	CAPABILITY	DERIVED_PROOF	R-1,R-2,R-3	FAIL-RESERVE-FIRST,EXIT-RECOVERABLE-PRECOMMIT,PROTOCOL-EXACT-FOCUS	NONE	PAPER_DERIVED	Each recoverable branch precedes destructive commitment or returns exact rollback or partial-progress ownership.	Only selected preparation or rollback traffic; impossible unknown-length rollback remains blocked.
privileged-basis-crosswalk-v2	FL-CALLBACK	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3,R-6	CALLABLE-USER,PROTOCOL-EXACT-FOCUS,EXIT-ABORT-SAFE	NONE	PAPER_DERIVED	Behavior runs at a closed invariant or inside focus with exact normal, error, abort, call-order, and effect accounting.	Only declared calls and required repair.
privileged-basis-crosswalk-v2	ID-LOGICAL	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2	PROTOCOL-OPAQUE-OWNER,FACT-STATE	NONE	PAPER_DERIVED	An opaque handle protocol maps logical identity to one live object across permitted relocation.	Only the chosen index or handle representation.
privileged-basis-crosswalk-v2	ID-FRESH	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2	PROTOCOL-OPAQUE-OWNER,FACT-STATE	NONE	PAPER_DERIVED	Generation retirement, checked nonwrapping exhaustion with root retirement, or nonreuse under a statically proved stale-handle lifetime prevents revival; finite delay alone is rejected.	No generation check on append-only contracts.
privileged-basis-crosswalk-v2	ID-POOL	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2	PROTOCOL-OPAQUE-OWNER,FACT-STATE	NONE	PAPER_DERIVED	The protocol states whether pool mismatch is checked or deliberately remains a memory-safe logic error.	Only the selected cross-pool guarantee is represented.
privileged-basis-crosswalk-v2	ID-ADDRESS	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3	CORE-PARTITION-BORROW,PROTOCOL-OPAQUE-OWNER	NONE	PAPER_DERIVED	A stable-place lease escrows relocation and release authority until in-place disposal and epoch invalidation.	No pin tag; allocation and indirection follow the representation.
privileged-basis-crosswalk-v2	ID-SHARED	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-2,R-3,R-4	PROTOCOL-OPAQUE-OWNER,PROTOCOL-PLAN-DISPOSE	NONE	PAPER_DERIVED	An authoritative lifecycle protocol separates payload, allocation, strong, weak, mutation, and reclamation authority.	Reference-count traffic only for shared-owner contracts.
privileged-basis-crosswalk-v2	AB-SEAL	CAPABILITY	ORDINARY_PROTOCOL	R-1,R-3	PROTOCOL-OPAQUE-OWNER	NONE	PAPER_DERIVED	Existential roots and hidden checked representation prevent client construction, metadata mutation, and stale authority replay.	Proof opacity erases; no access-control branch.
privileged-basis-crosswalk-v2	AB-BEHAVIOR	CAPABILITY	ORDINARY_PROTOCOL	R-3,R-6	CALLABLE-CLONE,CALLABLE-PRODUCER,CALLABLE-DEFAULT,CALLABLE-USER	NONE	PAPER_DERIVED	The exact callable contract accounts receiver mode, effects, result provenance, calls, failures, aborts, and environment disposition.	Static calls are direct and monomorphized; no mandatory dispatch.
