blocker_id	kind	missing_fact	required_resolution	blocks_stage	mechanism_failure_rule	status
PENDING_EXTERNAL_OWNER_AUTHORIZATION	AUTHORIZATION	D13 does not authorize candidate construction, Freeze B, pilot, or score.	A separate explicit owner authorization after exact-hash hostile review.	CANDIDATE_CONSTRUCTION	Absence ends the workflow; it is not permission to infer authority.	BLOCKING
PENDING_EXTERNAL_OWNER_BRANCH_SELECTION	OWNER_DECISION	OD-1, OD-2, and OD-3 remain unresolved; OD-0 common, OD-4 scoped, and OD-5 no-crossover are protocol conditions, not selections.	Owner selects exactly one of the eight preregistered power branches.	CANDIDATE_CONSTRUCTION	No branch may borrow data or power from another branch.	BLOCKING
PENDING_EXTERNAL_CANDIDATE_AUTHOR_IDENTITIES	AUTHORSHIP	The five isolated candidate authors and conflict/access attestations are not named.	Freeze one distinct author identity per arm and exact access boundaries.	CANDIDATE_CONSTRUCTION	An unstaffed arm is mechanism failure; another author may not repair it.	BLOCKING
PENDING_EXTERNAL_SERVICE_SNAPSHOTS	SERVICE	Exact model/service/provider snapshots, system prompts, tools, and retention terms are not frozen.	Freeze exact service identities and immutable request/response logs.	CANDIDATE_CONSTRUCTION	No adjacent service or later model may substitute after a failure.	BLOCKING
PENDING_EXTERNAL_DISCLOSURE_AUTHORITY	DISCLOSURE	No authority exists to disclose repository bytes to an external service.	Record exact disclosure scope, recipient, retention, and owner approval.	CANDIDATE_CONSTRUCTION	No prompt may be sent without explicit authority.	BLOCKING
PENDING_EXTERNAL_CONSTRUCTION_BUDGET	RESOURCE_PROTOCOL	No defensible equal interaction, compute, wall-clock, repair, or tuning budget is owner-frozen; inventing an arbitrary budget is forbidden.	Owner freezes equal service-native budgets and termination rules before the first prompt, or declares construction infeasible.	CANDIDATE_CONSTRUCTION	Exhaustion or inability to implement is the arm result; no extra budget.	BLOCKING
PENDING_EXTERNAL_FEEDBACK_PROTOCOL	REPAIR_PROTOCOL	Exact candidate-visible diagnostics, repair rounds, tuning access, and allowed defect corrections are not frozen.	Freeze identical materials and a finite service-native protocol before construction; mechanism changes remain forbidden.	CANDIDATE_CONSTRUCTION	A mechanism that cannot pass within the frozen protocol fails.	BLOCKING
PENDING_EXTERNAL_COMMON_SUBSTRATE_ARTIFACTS	COMMON_SUBSTRATE	The byte-identical OD-0 substrate implementation and cost artifacts for all five arms do not exist.	Freeze one source/binary/interface/cost hash set and prove equality.	CANDIDATE_CONSTRUCTION	No candidate-private allocator, seal, generic, provenance, or cursor.	BLOCKING
PENDING_EXTERNAL_OD4_SCOPED_CONTRACT	OD4_CONTRACT	The scoped-consume policy hash is frozen, but exact META-5/compiler artifacts and executable symmetric Rust adapter do not exist.	Freeze those artifacts without changing the OD4 policy bytes.	CANDIDATE_CONSTRUCTION	If the exact scoped contract cannot be implemented, the branch fails.	BLOCKING
PENDING_EXTERNAL_H_FLATSET_CUSTODY	HELD_OUT_CUSTODY	Independent custodian, hidden source/test/oracle/generator hashes, storage, access log, and disclosure time are absent.	Freeze custodian identity and hashes outside candidate-visible paths.	CANDIDATE_CONSTRUCTION	Any leak rotates hidden bytes under the unchanged visible contract.	BLOCKING
PENDING_EXTERNAL_AARCH64_ENVIRONMENT	TARGET	Exact power, affinity, thermal, noise, dyld, libc, allocator image, counter tool, and CPU feature identities are absent.	Freeze probes, executable/configuration hashes, and invalidation rules.	CANDIDATE_CONSTRUCTION	Unavailable environment blocks the relevant branch.	BLOCKING
PENDING_EXTERNAL_X86_RUNNER	TARGET	No exact x86-64 machine, kernel, libc, allocator, isolation, counter tool, or toolchain identity is frozen.	Provision and hash the native runner.	CANDIDATE_CONSTRUCTION	Dual-native branches fail closed; Mac-local branches remain target-local.	BLOCKING
PENDING_EXTERNAL_I686_TOOLCHAIN	TARGET	No exact i686 structural compiler and layout artifact set is frozen.	Freeze tools, flags, modules, and structural reports.	CANDIDATE_CONSTRUCTION	Every branch still requires i686 structural admission.	BLOCKING
PENDING_EXTERNAL_ALLOCATOR_ADAPTER	ALLOCATOR	Common counted adapter source, binary, usable-byte method, and failure injector hashes do not exist.	Construct and independently review one symmetric adapter.	CANDIDATE_CONSTRUCTION	No private or approximate byte accounting may substitute.	BLOCKING
PENDING_EXTERNAL_HARNESS	FIXTURE	Executable harness, Rust adapters, payload declarations, and exact oracles do not exist.	Freeze source, binaries, inputs, commands, and oracle hashes.	CANDIDATE_CONSTRUCTION	A missing exact adapter blocks its operation; no aggregate proxy.	BLOCKING
PENDING_EXTERNAL_REFERENCE_PILOT	STATISTICS	The fixed four-cycle six-pseudo-Rust raw campaign, whole-cycle supports, memory eligibility ledger, and selected branch block count are absent.	Run only the preregistered reference pilot and exact empirical DP after the randomization and power-engine blockers are resolved.	CANDIDATE_CONSTRUCTION	If 60, 90, and 120 blocks all miss worst-case power, return PROTOCOL_INFEASIBLE and reopen before any candidate observation.	BLOCKING
PENDING_EXTERNAL_RANDOMIZATION_CUSTODY	RANDOMIZATION_CUSTODY	No independent custodian, committed 32-byte seed, byte-grammar test, assignment manifests, custody log, release record, or runner receipt exists.	Freeze the exact custody identities, commitment, seed generation, manifest joins, and release procedure before the reference pilot.	REFERENCE_PILOT	Any custody gap, early disclosure, manifest mismatch, or rerandomization makes the branch PROTOCOL_INFEASIBLE; no replacement seed or run.	BLOCKING
PENDING_EXTERNAL_POWER_ENGINE_RESOURCE_PROTOCOL	POWER_ENGINE	The exact empirical-DP engine source, binary, compiler, flags, task manifest, arithmetic tests, and fixed resource evidence are absent.	Freeze and independently verify the engine and every task, operation, memory, and monotonic wall-time ceiling before the reference pilot.	REFERENCE_PILOT	A missing artifact, exceeded ceiling, signal, nonzero exit, or incomplete manifest returns PROTOCOL_INFEASIBLE; no adjacent engine or partial result.	BLOCKING
PENDING_EXTERNAL_FACT_REPORTS	FACT_CHANNEL	Candidate fact producers, consumers, invalidators, and reports do not exist.	Freeze report schema and Candidate Freeze B artifacts.	CANDIDATE_FREEZE_B	Indeterminate fact accounting rejects the candidate.	BLOCKING
PENDING_EXTERNAL_CANDIDATE_BUILDS	ARTIFACT	No candidate source, compiler, command, or binary is authorized or built.	Requires later construction authority and exact Candidate Freeze B.	CANDIDATE_FREEZE_B	A nonbuilding arm is a mechanism result, not permission to change it.	BLOCKING
