schema_version	route_id	route_class	basis_authority_ids	premise_kind	operational_contract	structural_cost_rule	evidence_status
privileged-basis-route-v1	CORE-TYPED-PLACE	CORE_RULE	R-1	NONE	A checked layout witness partitions one generative byte carrier into nonoverlapping typed logical places; live bytes never change type without a proved vacant partition bijection.	Static layout evidence erases; runtime-dependent layouts pay only selected checked arithmetic or descriptors.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-EMPTY-CARRIER	CORE_RULE	R-1,R-3	NONE	Create an inline, virtual, or admitted heap carrier whose complete typed partition is vacant and whose release authority is linear.	No payload initialization, Copy, Clone, Default, occupancy bitmap, or per-slot tag is introduced.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-ADOPT-FULL	CORE_RULE	R-1,R-2,R-3	NONE	Repackage an already-full inline aggregate as one generative full carrier without reading, moving, copying, or reinitializing payload bytes.	Zero payload traffic and zero allocation; only proof identity changes.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-REPACKAGE-FULL-STORAGE	CORE_RULE	R-1,R-2,R-3	NONE	Apply a bidirectional checked isomorphism between sealed full-storage representations while preserving the exact allocation root, extent, live values, disposition, and sole ownership.	Zero payload traffic and zero allocation; the physical owner and representation are unchanged.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-TAKE-PUT	CORE_RULE	R-1,R-2,R-3	NONE	Use the Full-to-Vac-plus-owner isomorphism in either direction under exact move authority and with incompatible loans absent.	Exactly the algorithm-required owner transfers; no clone, default value, spare payload, or topology metadata.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-REPLACE	DERIVED_PROOF	R-1,R-2,R-3	NONE	Take the displaced owner and put the offered owner into the same live place while returning the displaced owner.	Exactly two ownership transfers; no swap, clone, allocation, or hidden destruction.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-SWAP	DERIVED_PROOF	R-1,R-2,R-3	NONE	After proving logical footprints disjoint, take both affine values and put each into the opposite vacancy before resealing.	Exactly the algorithm-required exchange traffic; no allocation or runtime borrow table on the static path.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-PARTITION-BORROW	CORE_RULE	R-1,R-2,R-3	NONE	Split exact footprints, issue root-and-epoch-tied shared or unique loans, and rejoin the escrowed authority when every child loan ends.	Static partitions and loans erase; only contract-selected dynamic distinctness checks remain.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-RESHAPE-PARTITION	DERIVED_PROOF	R-1,R-2,R-3	NONE	Replace one checked logical partition with a proved layout-and-ownership bijection over the same carrier, retiring the old epoch and invalidating old facts.	Zero payload reads, writes, moves, copies, allocations, releases, or behavior calls.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-COPY	CORE_RULE	R-1,R-2,R-3	CORE_COPY	Use the fixed CoreCopy theorem to preserve the source while initializing or trivially overwriting the destination; overlapping ranges follow memmove ordering.	Exactly the declared Copy traffic; zero Clone, producer, Default, destructor, or other behavior calls.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-ZST-LOGICAL	CORE_RULE	R-1,R-2,R-3	NONE	Represent each live zero-sized element by a distinct logical root-epoch-index owner token; address equality or inequality grants no authority.	Zero payload bytes and allocator calls; checked logical length and exact logical destruction remain.	PAPER_RULE_SELECTED
privileged-basis-route-v1	PROTOCOL-OPAQUE-OWNER	ORDINARY_PROTOCOL	R-1,R-3	NONE	Seal representation-selected roots, metadata, live and vacant resources, and invariants behind an ordinary producer-defined checked owner.	Proof state erases; runtime state is exactly the selected algorithm representation.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PROTOCOL-EXACT-FOCUS	ORDINARY_PROTOCOL	R-1,R-2,R-3	NONE	Open a sealed owner only under a control-flow judgment that closes, transfers, or disposes every resource on every normal edge.	No runtime focus token; repair traffic is only the algorithm-required work.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PROTOCOL-PLAN-DISPOSE	ORDINARY_PROTOCOL	R-1,R-2,R-3,R-4,R-5	DISPOSITION_PLAN	Run statically selected verified disposition over exactly the live subset, close every applicable lease, then release each empty root once.	No destructor pointer, registry, or full-capacity scan; exact generated cost remains unmeasured.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PROTOCOL-STORED-BORROW	ORDINARY_PROTOCOL	R-1,R-2,R-3	STORED_BORROW	Index the opaque owner by every retained external root and preserve each borrow leaf through storage, movement, projection, calls, results, and disposition without extending its region.	Static provenance erases; region-free values acquire no lifetime field, table, branch, or relocation check.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PROTOCOL-CURSOR-SHARED	ORDINARY_PROTOCOL	R-1,R-2,R-3	NONE	Carry a shared source loan plus an exact remaining-footprint map and yield root-preserving reborrows in frozen order.	O(1) selected cursor state and no intermediate collection or per-element allocation.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PROTOCOL-CURSOR-UNIQ	ORDINARY_PROTOCOL	R-1,R-2,R-3	NONE	Partition disjoint unique footprints, yield one bounded child authority at a time, and return the remainder on stop or disposal.	No runtime borrow table on the static unique-owner route.	PAPER_DERIVATION_SELECTED
