case_id	contract_and_budget	candidate_a_route	candidate_a_structural_account	candidate_a_status	candidate_b_route	candidate_b_structural_account	candidate_b_status	candidate_c_route	candidate_c_structural_account	candidate_c_status	unresolved_or_falsifier
B-FIX	Existing fully initialized Copy buffer remains a two-word owner with one allocation and no capacity, occupancy, generation, sharing, policy, or new fact path.	Use the existing buffer unchanged; A indices and proofs are absent because the contract selects Full current storage.	Exact historical layout and body are required; even erased proof parameters or cleanup specialization count as a change.	CONTROL_CLAIM_UNTESTED	Use the existing buffer unchanged; B-1/B-2 are not selected and Full current storage remains the old path.	No topology view object, counter, metadata, fact, conversion, or lowering change is permitted.	CONTROL_CLAIM_UNTESTED	Retain the existing fixed family as the old path; C-1 affine aggregate support must not rewrite Copy buffer lowering.	No family tag, dispatch, header, helper, or optimized-body change is permitted.	CONTROL_CLAIM_UNTESTED	Only byte-identical source/diagnostics/layout/raw IR/optimized body and exact counters pass; no candidate artifact exists.
B-P2	Existing append-only SoA/index pool keeps non-reused indices and its measured access body with no generation, recycling, sparse, shared, provenance branch, or new fact.	Represent the existing program without A-8 freshness proofs or stronger state indices.	No runtime proof data is expected, but proof elaboration or fact plumbing must not alter source, body, code size, or compilation path.	CONTROL_CLAIM_UNTESTED	Select append-only B-7 only; no generation or Sparse/lifecycle form appears.	The access remains direct index plus existing checks/facts with no metadata load or branch.	CONTROL_CLAIM_UNTESTED	Select the append-only C-9 family only; no recyclable/shared family composition appears.	The compiler must preserve the historical body rather than route through a universal identity helper.	CONTROL_CLAIM_UNTESTED	Exact historical identity is required; a claimed erased feature receives no credit until the artifact proves absence.
W-POOL	Reusable finite logical handles; O(M) storage/history, O(1) non-growing operations, no history scan, exact owner return, no stale revival.	A-1 state maps slots to live/vacant/retired; A-4 transitions payload places; A-8 relates pool/slot/generation; A-9 drops exactly live slots; C0-6/C0-7 handle failure and growth.	Store payload capacity, occupancy, generation, retirement, and free-list metadata only; direct checked proof should erase after O(1) metadata validation; append-only controls do not import generation.	ROUTED_UNPROVED	B-1 plus Sparse B-2, B-3 init/move/replace/drop, B-7 generation/retirement handle, B-9 cleanup, and C0 failure/allocation.	Representation carries exactly occupancy, generation/history, and O(1) vacancy metadata; one validation authorizes payload access; no runtime borrow table.	ROUTED_UNPROVED	C-4 sparse storage plus C-9 recyclable pool family, C-7 result borrow, C-11 state/identity facts, and C0 failure/allocation.	A tuned pool representation can meet O(M) and O(1), but C-4/C-9 headers and checks must be shown not duplicated.	ROUTED_UNPROVED	Failure on generation wrap/retirement, cross-pool policy, invalid-handle owner return, and exact drop need a safety model; structural constants are unfrozen.
W-ARENA	Amortized O(1) placement, no runtime borrow table, prior payload borrows survive later placements and registry growth, exact block retention/destruction, charged R/P/C/D/K/F/Z envelope.	A-1 indexes arena and backing roots; A-7 proves fresh write footprints disjoint from every live payload borrow; A-5/C0-6 commit a block owner before payload init; A-9 destroys payloads before roots.	One dense registry may relocate sealed block-owner tokens but zero payload bytes or roots; proof state erases; retained memory and allocations follow the exact registry/block envelope.	ROUTED_DEFINITION_RISK	B-1 storage roots, Prefix/Product B-2 views, B-3 init/relocate token, B-5 fresh footprints, B-6 exact returned provenance, B-9 cleanup, and C0-7 roots.	No borrow table or per-placement borrow check after static footprint derivation; registry moves only owner tokens and reports all block/registry allocation fields.	ROUTED_DEFINITION_RISK	C-2 stores block-owner tokens, C-6 commits fresh placement, C-7 split/fresh access returns root-exact borrows, and C0-7 supplies blocks.	No per-payload allocation on the regular path, no payload relocation, and no dynamic borrow state; C-7 must span persistent multi-root placement rather than a call-local split only.	ROUTED_DEFINITION_RISK	All three lack a formal rule proving that registry-token relocation preserves exact backing-root provenance; any token-address-rooted borrow, early release, or hidden registry storage falsifies the route.
W-SMALL	Zero heap allocation through N, one sound spill at N+1, contiguous slices, affine removal/drop, owner-returning failed spill, exact relocation and growth budgets.	A-1 uses a sum of Inline Full/Prefix and Heap Prefix states; A-5 transitions only after C0-7 success; A-4 relocates N live owners once; A-9 selects one active representation.	Inline state stores no heap owner; first spill performs one acquisition and N relocations; later growth is geometric; no dummy inline T or second persistent payload copy.	ROUTED_UNPROVED	B-1 plus Full/Prefix/Hole B-2 views and B-3 relocate/init; B-4 closes the representation transition; C0-6/C0-7 preserve owners on failed spill.	A representation sum is required but spare places remain non-T; no allocation through N; spill moves each live owner once and leaves one heap prefix.	ROUTED_UNPROVED	C-1 inline aggregate plus C-2 dense heap and C-6 representation transition; C0 failure/allocation handles precommit shortage.	Family combination must avoid constructing N dummy T values or retaining two live copies; direct slice exposure requires one active contiguous branch.	ROUTED_UNPROVED	A representation discriminant is semantically required and charged; any per-element tag, hidden Clone/Default, second persistent copy, or extra spill traffic fails.
W-RECUR	Failure-atomic unique recursive construction/extraction, mutable cursor, O(n) bounded-stack destruction with O(1) machine call stack.	A-1/A-5 index complete node/child ownership; precommit failure returns every offered owner; A-7 cursor borrows; A-9 generates an explicit bounded-stack destruction protocol.	One root per admitted node or a pooled route is charged; construction touches O(1) nodes; pre-reserved scratch visits each node once without recursive machine stack growth.	ROUTED_DEFINITION_RISK	B Product views and B-3 replace/move-out represent node fields; B-4 exact protocol closes extraction; B-6 cursor provenance; B-9 fixed cleanup uses an owning worklist.	No fallible allocation during destruction; worklist backing is pre-reserved and every node moves to the worklist or is destroyed exactly once.	ROUTED_DEFINITION_RISK	C-1 recursive node aggregate, C-7 mutable/owning cursor, family cleanup, and C0-7 allocation.	A canonical iterative destroy can meet O(n) and O(1) machine stack, but scratch ownership and failure-before-commit must be explicit.	ROUTED_DEFINITION_RISK	None defines the exact bounded-stack cleanup construction or its scratch reservation sufficiently to count as closed.
W-GRAPH	CSR O(V+E) plus dynamic stable identities, O(1) lookup/known-neighbor rewire, O(local degree) removal, no global repair, exact owner/failure outcomes.	A-1/A-2 state products relate pools, adjacency, and reverse edges; A-8 handles identity; A-7 proves disjoint rewrites; A-5 atomically commits local repair.	Store O(V+E+M) payload/link/reverse/history metadata; direct handle validation and local-degree traversal; no raw-address stability or global scan.	ROUTED_UNPROVED	Product/Sparse B-2 views compose W-POOL storage; B-5 checked disjoint records and B-7 identities; B-3/B-4 commit rewires/removal.	O(V+E+M), O(1) known-neighbor updates, O(local degree) removal, and no per-edge allocation are plausible under selected dense/pool predecessors.	ROUTED_UNPROVED	C-2/C-4 storage, C-9 graph handles, and C-7 access protocols compose ordinary graph algorithms.	Family headers and reverse relations must remain O(V+E+M); compiler-known graph recognition is forbidden and no global repair scan is allowed.	ROUTED_UNPROVED	Exact result-owner construction before node-removal commit and multi-record failure atomicity remain paper-only.
W-ECS	Fixed archetypes with contiguous affine columns, stable entity identity, one move per migrated component, one displaced-row repair, no per-entity allocation.	A-1 Product states relate columns and reverse locations; A-4/A-5 move each component once; A-8 retains entity identity; precommit allocation returns all offered owners.	Only column capacities and pool metadata persist; migration allocates/grows before commit, moves each affected owner once, and performs one reverse repair.	ROUTED_UNPROVED	Product/Prefix/Hole B-2 views, B-3 init/move/swap/relocate, B-4 atomic migration, B-5 disjoint columns, and B-7 identity.	No per-entity allocation; transient old/new column roots are charged only on growth; successful migration has one move per component and one displaced-row repair.	ROUTED_UNPROVED	C-5 dependent-product family, C-2 dense columns, C-6 migration, and C-9 identity.	This is C's most direct route; it still must show no duplicated family metadata or hidden persistent archetype copy.	ROUTED_UNPROVED	Failure injection at every column growth and reverse-repair boundary is required; no candidate has an exact commit proof.
W-GAP	Two live intervals and one hole; O(1) gap insertion/deletion, O(distance) movement, no per-slot tag, exact growth/failure/drop.	A-2 proves two live ranges and one vacant range; A-4 relocates boundary owners; A-5/A-6 close every exit; A-9 drops only the two ranges.	Runtime state is gap bounds plus capacity, not per-slot occupancy; moving the gap performs exactly distance owner relocations; growth has one charged old/new transient.	ROUTED_UNPROVED	Hole B-2 view plus B-3 direct overlap-safe relocation and B-4 closure; B-9 enumerates prefix/suffix destruction.	Gap bounds only; no bitmap/tag; O(distance) direct traffic and geometric growth allocations.	ROUTED_UNPROVED	C-6 hole-transition family over C-2 storage with family-specific cleanup.	Canonical family lowering can meet exact movement and no-tag budgets; ordinary wrapper must not trigger container recognition.	ROUTED_UNPROVED	Overlap direction, partial relocation, abandonment, and failure-before-commit require model checking; no structural trace exists.
W-PIPE	Lazy shared/unique/owning composition, exact callback/order/provenance/cleanup, zero materialization and adapter allocation, O(depth plus callback bodies) machinery.	A-5 state products encode adapters and exact invocation partitions; A-7 preserves branch/field/epoch provenance and sibling disjointness; C0-2 monomorphizes direct calls.	Inline adapter state is O(source state+d); proof state erases; one pass, zero adapter heap allocation, and code growth must remain linear in depth.	ROUTED_DEFINITION_RISK	B-5 footprint products, B-6 borrow-carrying cursor aggregates, B-4 exact abandonment, and C0-2 stateful direct callables.	Only semantically required cursor phase state persists; no runtime provenance table, indirect call, intermediate collection, or adapter allocation.	ROUTED_DEFINITION_RISK	C-7 shared/unique/owning/composed traversal protocols plus C0-2 callables and C-11 facts.	Closed adapters can have canonical code shapes; the number of combinations and specialized bodies must remain O(depth plus callback bodies).	ROUTED_DEFINITION_RISK	Branch-tag provenance, yielded-borrow survival after adapter destruction, resurrection rules, and code-growth bounds are not fully specified by any candidate.
