rule_id	output_lineage_map	affine_equation	true_origins	failure_equation	checking	status
K1-NAMES	N-NAME<=ORIGIN(GENERATIVE-NAME)	No affine authority is consumed or emitted.	N-NAME:GENERATIVE-NAME	No successor name on failed acquisition or relayout.	Nominal freshness and dominance only.	COVERED
K1-PLACE	N-PLACE<=N-NAME	No affine authority is consumed or emitted.	N-PLACE:CHECKED-PROJECTION	Failed arithmetic emits no place.	Canonical checked interval projection.	COVERED
K1-PARTITION	N-FOOTPRINT<=N-PLACE	No affine authority is consumed or emitted.	N-FOOTPRINT:CHECKED-PARTITION	Unknown overlap or incomplete cover emits no footprint.	Canonical sorted exact-cover check.	COVERED
K1-RELAYOUT	A-ROOT<=A-ROOT;A-RELEASE<=A-RELEASE;A-PARTITION<=A-PARTITION;N-NAME<=ORIGIN(RELAYOUT-NAME)	One input root, release escrow, and whole partition become exactly one matching output of each kind under fresh lambda.	N-NAME:RELAYOUT-NAME	Precommit failure returns the exact predecessor triple and old lambda.	Whole-cover, empty-obligation, and one-to-one lineage equations.	COVERED
K2-LEAF	A-PARTITION<=A-VACANT+A-BYTES+A-LIVE+A-TRANSIT+A-DISPOSITION+N-FOOTPRINT	The output partition is only a unique affine packaging of every supplied leaf; no leaf remains separately live.	A-PARTITION:SEALED-COMPLETE-PARTITION	Incomplete or overlapping seal returns every input unchanged and emits no partition.	Exact cover plus affine multiset equality.	COVERED
K2-COMPOSE	A-PARTITION<=A-PARTITION+A-SUBOWNER;A-SUBOWNER<=A-PARTITION+A-SUBOWNER	Product/sum/span preserve one partition; detach maps one parent leaf to one Out plus one Subowner; join consumes exactly the matching pair into one partition.	A-SUBOWNER:EXACT-DETACH	Failed detach/join returns the exact predecessor side with no extra fragment.	Branch-specific detach/join multiset equations.	COVERED
K2-CLASSIFY	A-CLASSIFIED<=A-PARTITION+A-CLASSIFIED;A-ROLEVIEW<=A-CLASSIFIED	Initial seal consumes one complete partition; successor consumes one classifier; selection borrows the classifier and creates only a scoped view.	A-CLASSIFIED:KNOWN-STATE-SEAL;A-ROLEVIEW:SEALED-ELIMINATION	Decoder failure preserves the borrowed classifier and emits no RoleView.	Finite role-table plus branch-specific seal/successor/selection equations.	COVERED
K2-STRICT	A-STRICT<=A-PARTITION+A-STRICT+A-SUBOWNER;A-ROLEVIEW<=A-STRICT;A-SUBOWNER<=A-STRICT+A-SUBOWNER	Empty seal consumes a partition; push consumes chain plus exact node; pop returns one exact node plus tail; selection creates only a scoped view.	A-STRICT:KNOWN-STRICT-SEAL;A-ROLEVIEW:SEALED-ELIMINATION	Empty pop or failed selection preserves the exact prior chain.	Nil/push/pop/splice branch equations and unique-node affine checks.	COVERED
K2-LOAN	A-LOAN<=A-LIVE+A-ROLEVIEW+A-PARTITION	One existing source escrows incompatible authority and emits one fixed scoped loan; it does not copy the underlying owner.	A-LOAN:EXACT-BORROW	Compatibility or scope failure emits no loan and preserves the source.	Scoped CFG and interval-conflict equation.	COVERED
K2-CONTROL	A-CONTROL<=A-PARTITION+A-CLASSIFIED+A-STRICT+A-CONTROL+A-TRANSIT+A-DISPOSITION;A-TRANSIT<=A-CONTROL+A-TRANSIT;A-DISPOSITION<=A-CONTROL+A-TRANSIT+A-DISPOSITION	Known stable sealing consumes one complete state; every later control output consumes the complete predecessor lineage and exact carried multiset.	A-CONTROL:KNOWN-STABLE-SEAL	Every failure arm returns the named predecessor, Repair, Poison, or exact disposition multiset.	Finite outcome and authority-multiset equations.	COVERED
K2-CALLABLE	A-CALLABLE<=A-OWNER+A-DISPOSITION+A-RETIRED+A-LOAN	Packing consumes the exact environment and obligations into one reusable shared seal or one affine Once; no capture remains independently live.	A-CALLABLE:CHECKED-CALLABLE-SEAL	Packing or explicit box allocation failure returns the unchanged environment and obligations.	Capture, effect, gate, signature, layout, and multiplicity equations.	COVERED
K2-OBSERVER	A-DOMAIN<=A-PARTITION+A-SHARED+A-DOMAIN;A-INGRESS<=A-INGRESS	Domain sealing consumes the complete registry state; ingress sealing only repackages the already-complete affine ingress set.	A-DOMAIN:COMPLETE-DOMAIN-SEAL	Incomplete registry, ingress cover, or profile returns every predecessor and emits no new domain.	Finite lane/profile validation and exact structural-cover equations.	COVERED
K2-FACT	A-FACT<=A-ROOT+A-PARTITION+A-CLASSIFIED+A-STRICT+A-LOAN+A-CONTROL+A-DOMAIN+A-OBSERVATION+A-QUIESCENT	Facts are copyable projections that consume and duplicate no safety authority.	A-FACT:READ-ONLY-PROJECTION	Projection failure emits no fact and preserves all safety inputs.	Closed producer table and computed dependency/invalidator sets.	COVERED
