canonical_key	representative_path	member_name	route_kind	route_id	route_reason
core::iter|item|iter|	core::iter	iter	redundant_surface	TRAIT-ITER-01	Rust namespace or reexport spelling; iteration semantics route to the protocol clusters.
src/core/iter/adapters/chain.rs.html#23|item|Chain	core::iter::Chain	Chain	redundant_surface	ITER-ADAPT-CHAIN-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/cloned.rs.html#18|item|Cloned	core::iter::Cloned	Cloned	redundant_surface	ITER-ADAPT-DUPLICATE-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/copied.rs.html#19|item|Copied	core::iter::Copied	Copied	redundant_surface	ITER-ADAPT-DUPLICATE-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/cycle.rs.html#15|item|Cycle	core::iter::Cycle	Cycle	redundant_surface	ITER-ADAPT-CYCLE-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/traits/double_ended.rs.html#43|item|DoubleEndedIterator	core::iter::DoubleEndedIterator	DoubleEndedIterator	contract	TRAIT-DOUBLE-01	Stable reverse-iteration operation routes to its normalized caller contract.
src/core/iter/traits/double_ended.rs.html#96|required_method|next_back	core::iter::DoubleEndedIterator	next_back	contract	TRAIT-DOUBLE-01	Stable reverse-iteration operation routes to its normalized caller contract.
src/core/iter/traits/double_ended.rs.html#195|provided_or_inherent_method|nth_back	core::iter::DoubleEndedIterator	nth_back	contract	ITER-CONSUME-SHORT-01	Stable reverse-iteration operation routes to its normalized caller contract.
src/core/iter/traits/double_ended.rs.html#371|provided_or_inherent_method|rfind	core::iter::DoubleEndedIterator	rfind	contract	ITER-CONSUME-SHORT-01	Stable reverse-iteration operation routes to its normalized caller contract.
src/core/iter/traits/double_ended.rs.html#305|provided_or_inherent_method|rfold	core::iter::DoubleEndedIterator	rfold	contract	ITER-CONSUME-FOLD-01	Stable reverse-iteration operation routes to its normalized caller contract.
src/core/iter/traits/double_ended.rs.html#234|provided_or_inherent_method|try_rfold	core::iter::DoubleEndedIterator	try_rfold	contract	ITER-CONSUME-SHORT-01	Stable reverse-iteration operation routes to its normalized caller contract.
src/core/iter/sources/empty.rs.html#30|item|Empty	core::iter::Empty	Empty	redundant_surface	ITER-SOURCE-VALUE-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/enumerate.rs.html#18|item|Enumerate	core::iter::Enumerate	Enumerate	redundant_surface	ITER-ADAPT-TRANSFORM-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/traits/exact_size.rs.html#86|item|ExactSizeIterator	core::iter::ExactSizeIterator	ExactSizeIterator	contract	TRAIT-EXACT-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/traits/exact_size.rs.html#116|provided_or_inherent_method|len	core::iter::ExactSizeIterator	len	contract	TRAIT-EXACT-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/traits/collect.rs.html#397|item|Extend	core::iter::Extend	Extend	contract	TRAIT-EXTEND-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/traits/collect.rs.html#416|required_method|extend	core::iter::Extend	extend	contract	TRAIT-EXTEND-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/adapters/filter.rs.html#21|item|Filter	core::iter::Filter	Filter	redundant_surface	ITER-ADAPT-SELECT-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/filter_map.rs.html#18|item|FilterMap	core::iter::FilterMap	FilterMap	redundant_surface	ITER-ADAPT-SELECT-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/flatten.rs.html#17|item|FlatMap	core::iter::FlatMap	FlatMap	redundant_surface	ITER-ADAPT-NEST-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/adapters/flatten.rs.html#184|item|Flatten	core::iter::Flatten	Flatten	redundant_surface	ITER-ADAPT-NEST-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/sources/from_fn.rs.html#60|item|FromFn	core::iter::FromFn	FromFn	redundant_surface	ITER-SOURCE-CALLBACK-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/traits/collect.rs.html#134|item|FromIterator	core::iter::FromIterator	FromIterator	contract	TRAIT-COLLECT-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/traits/collect.rs.html#152|required_method|from_iter	core::iter::FromIterator	from_iter	contract	TRAIT-COLLECT-01	Stable protocol declaration routes to its normalized caller contract.
src/core/iter/adapters/fuse.rs.html#17|item|Fuse	core::iter::Fuse	Fuse	redundant_surface	ITER-ADAPT-FUSE-01	Opaque Rust adapter/source type spelling is represented by the operation contract.
src/core/iter/traits/marker.rs.html#32|item|FusedIterator	core::iter::FusedIterator	FusedIterator	contract	TRAIT-FUSED-01	Stable protocol declaration routes to its normalized caller contract.
