canonical_key	representative_path	item_kind	member_kind	member_name	caller_safety	surface_evidence_status	surface_evidence_reason	rule_id	domain_id	domain	canonical_contract_id	need_route_kind	need_route_id	need_route_reason	required_frame_ids	safe_displacement_id	ng_authority_reason	canonical_route_or_blocked_claim
alloc::alloc|item|alloc|	alloc::alloc	mod	item	alloc	safe	rust_surface_only	the Rust namespace or source spelling is evidence for an underlying need, not an xlang surface	DOM-ALLOC-ALLOC	D07	heap allocation and runtime		NO_INDEPENDENT_NEED	NAMESPACE:DOM-ALLOC-ALLOC	a module namespace is accounted by its declarations and adds no caller contract				Default allocation frame now; custom allocator family later.
src/alloc/alloc.rs.html#95|item|alloc	alloc::alloc::alloc	fn	item	alloc	unsafe	unsafe_boundary_evidence	Rust requires caller-provided safety obligations	DOM-ALLOC-ALLOC	D07	heap allocation and runtime		FRAME	FRAME:F-ALLOC:DEFAULT-HEAP-SERVICE	the declaration is the allocation boundary service itself	F-ALLOC	FRAME:F-ALLOC:DEFAULT-HEAP-SERVICE		Default allocation frame now; custom allocator family later.
src/alloc/alloc.rs.html#192|item|alloc_zeroed	alloc::alloc::alloc_zeroed	fn	item	alloc_zeroed	unsafe	unsafe_boundary_evidence	Rust requires caller-provided safety obligations	DOM-ALLOC-ALLOC	D07	heap allocation and runtime		FRAME	FRAME:F-ALLOC:DEFAULT-HEAP-SERVICE	the declaration is the allocation boundary service itself	F-ALLOC	FRAME:F-ALLOC:DEFAULT-HEAP-SERVICE		Default allocation frame now; custom allocator family later.
src/alloc/alloc.rs.html#120|item|dealloc	alloc::alloc::dealloc	fn	item	dealloc	unsafe	unsafe_boundary_evidence	Rust requires caller-provided safety obligations	DOM-ALLOC-ALLOC	D07	heap allocation and runtime		FRAME	FRAME:F-ALLOC:DEFAULT-HEAP-SERVICE	the declaration is the allocation boundary service itself	F-ALLOC	FRAME:F-ALLOC:DEFAULT-HEAP-SERVICE		Default allocation frame now; custom allocator family later.
src/alloc/alloc.rs.html#543|item|handle_alloc_error	alloc::alloc::handle_alloc_error	fn	item	handle_alloc_error	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-ALLOC-ALLOC	D07	heap allocation and runtime		FRAME	FRAME:F-ALLOC:DEFAULT-HEAP-SERVICE	the declaration is the allocation boundary service itself	F-ALLOC			Default allocation frame now; custom allocator family later.
src/alloc/alloc.rs.html#147|item|realloc	alloc::alloc::realloc	fn	item	realloc	unsafe	unsafe_boundary_evidence	Rust requires caller-provided safety obligations	DOM-ALLOC-ALLOC	D07	heap allocation and runtime		LATER_FAMILY	FAMILY:D07:CUSTOM-ALLOCATION	allocator selection and layout policy require D07 closure	F-ALLOC	FAMILY:D07:CUSTOM-ALLOCATION		Default allocation frame now; custom allocator family later.
alloc::borrow|item|borrow|	alloc::borrow	mod	item	borrow	safe	rust_surface_only	the Rust namespace or source spelling is evidence for an underlying need, not an xlang surface	DOM-BEHAVIOR-BORROW-ALLOC	D08	shared ownership and weak identity		NO_INDEPENDENT_NEED	NAMESPACE:DOM-BEHAVIOR-BORROW-ALLOC	a module namespace is accounted by its declarations and adds no caller contract				Owned/borrowed conversion and copy-on-write after dense/shared dependencies.
src/alloc/borrow.rs.html#169|item|Cow	alloc::borrow::Cow	enum	item	Cow	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-BEHAVIOR-BORROW-ALLOC	D08	shared ownership and weak identity		LATER_FAMILY	FAMILY:D08:SHARED-OWNED-BORROWING	copy-on-write and shared owned borrowing require D08				Owned/borrowed conversion and copy-on-write after dense/shared dependencies.
src/alloc/borrow.rs.html#331|provided_or_inherent_method|into_owned	alloc::borrow::Cow	enum	provided_or_inherent_method	into_owned	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-BEHAVIOR-BORROW-ALLOC	D08	shared ownership and weak identity		LATER_FAMILY	FAMILY:D08:SHARED-OWNED-BORROWING	copy-on-write and shared owned borrowing require D08				Owned/borrowed conversion and copy-on-write after dense/shared dependencies.
src/alloc/borrow.rs.html#283|provided_or_inherent_method|to_mut	alloc::borrow::Cow	enum	provided_or_inherent_method	to_mut	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-BEHAVIOR-BORROW-ALLOC	D08	shared ownership and weak identity		LATER_FAMILY	FAMILY:D08:SHARED-OWNED-BORROWING	copy-on-write and shared owned borrowing require D08				Owned/borrowed conversion and copy-on-write after dense/shared dependencies.
src/alloc/borrow.rs.html#30|associated_type|Owned	alloc::borrow::ToOwned	trait	associated_type	Owned	safe	safe_contract_anchor	the safe Rust declaration supplies caller-contract evidence without selecting xlang admission	DOM-BEHAVIOR-BORROW-ALLOC	D08	shared ownership and weak identity		LATER_FAMILY	FAMILY:D08:SHARED-OWNED-BORROWING	copy-on-write and shared owned borrowing require D08				Owned/borrowed conversion and copy-on-write after dense/shared dependencies.
