rule_id	family	rule_kind	multiplicity	input_authorities	output_authorities	authority_origin	normal_behavior	recoverable_behavior	abort_behavior	abandonment_behavior	binding_and_invalidators	disposition	checking	erasure	native_need	deletion_witness	hostile_negative	falsifier
K1-NAMES	K1 ROOTED-PLACE	primitive	static non-authority	-	N-NAME	Generative allocation and relayout events supply names; this rule only records them.	Distinguish physical root rho, whole-root layout epoch lambda, and footprint-local state generation epsilon.	Name construction has no recoverable effect.	Abort has no successor.	A dropped descriptive name grants no release or access.	Names bind exact allocation, layout, and local-state lineages; release or the matching generation change invalidates dependents.	No owner is carried.	Nominal identity equality and freshness checks only.	All names erase.	All fourteen operations use stable physical identity.	Without separate rho, lambda, and epsilon, logical handles can re-root storage or disjoint allocator subowners invalidate one another.	Treating a machine counter or address as a fresh generative name is rejected.	A wrapped integer revives authority or an unrelated local mutation invalidates a disjoint subowner.
K1-PLACE	K1 ROOTED-PLACE	primitive	static non-authority	N-NAME	N-PLACE	None; place construction is descriptive elimination of an existing name.	Construct root, declared field, checked index, or checked byte range descriptors.	Failed arithmetic or containment returns no place.	Abort has no successor.	A dropped place carries no cleanup.	Every place binds rho, lambda, exact interval, and alignment; relayout or release invalidates it.	No owner is carried.	Checked integer arithmetic followed by canonical interval normalization.	Place descriptors erase.	All four projects require exact suballocation places.	Without places, safe code needs eager initialization, copies, per-element roots, backpointers, or per-use dynamic lookup.	An address, page number, index, or handle cannot substitute for a place.	A wrong-root or out-of-range descriptor is accepted without the checked derivation.
K1-PARTITION	K1 ROOTED-PLACE	primitive	static non-authority	N-PLACE	N-FOOTPRINT	None; split and join establish geometry only.	Split an exact interval product and rejoin pairwise-disjoint exact siblings.	Unknown overlap or incomplete cover rejects without changing authority.	Abort has no successor.	Descriptive footprints carry no cleanup.	Footprints bind one rho and lambda plus canonical sorted intervals; relayout and release invalidate them.	No owner is carried.	Sort interval endpoints, check overflow, disjointness, and exact cover in O(A log A).	Footprints erase.	Sparse slots, allocator blocks, page ranges, and active prefixes need exact disjointness.	Without it, code pays coarse borrowing, copies, bitmaps, runtime alias tables, or unsafe overlap.	A writer proposition that two dynamic ranges are disjoint is rejected.	Unknown overlap is accepted or exact join omits bytes.
K1-RELAYOUT	K1 ROOTED-PLACE	primitive	affine transfer	A-ROOT,A-RELEASE,A-PARTITION	A-ROOT,A-RELEASE,A-PARTITION,N-NAME	No new root or release authority; the existing whole-root lineage is transferred to a fresh lambda.	Relayout only a reunited whole root with no loans, subowners, observations, progress, or dispositions.	Failure before commit returns the predecessor whole-root state.	Abort has no successor.	Abandonment cannot release the root or expose a successor layout.	Consumes every lambda-bound descriptor, certificate, and fact; produces a fresh nonwrapping lambda.	Release remains escrowed.	Exact whole-cover and empty-obligation checks followed by closed-layout validation.	Only the program's native resize or relayout event remains.	Root replacement and true whole-root layout changes only.	Without it, resize either preserves stale places or requires runtime version tables and wrapper roots.	Advancing lambda for an ordinary local mutation is rejected.	A stale descriptor survives relayout or a disjoint local mutation advances the whole-root epoch.
K2-LEAF	K2 SEALED-STATE	primitive	affine	A-VACANT,A-BYTES,A-LIVE,A-TRANSIT,A-DISPOSITION,N-FOOTPRINT	A-PARTITION	Known allocation, checked byte initialization, closed built-in PlainData adoption, checked owner installation, or a linear predecessor supplies every leaf; this rule only seals the complete partition.	Seal an exact cover whose leaves are Vacant, Bytes, Live, Transit, or Disposition; adoption accepts only the closed drop-free scalar, finite-enum, array, and product grammar.	Incomplete, overlapping, misaligned, invalid-discriminant, or non-PlainData adoption returns all inputs unchanged.	Abort has no successor.	An abandoned seal has no successor authority; input lineage remains accounted by the enclosing path.	Each leaf binds rho, lambda, epsilon, exact footprint, and its fixed kind; overlapping writes or generation changes invalidate it.	Transit and Disposition leaves retain their exact close obligation.	Canonical footprint cover, built-in layout/validity checks, and exact affine multiset equality; source cannot implement a validity trait.	Leaf kinds and generations erase.	Uninitialized capacity, initialized pages, live payloads, and partial states occur across the corpus.	Without the leaf distinction, code must initialize, tag, scan, box, or permit uninitialized typed reads.	Physical zero bits, a validator, pointer bits, external handle bytes, or writer validity code cannot produce Vacant, Bytes, or Live.	A typed read is accepted from Vacant, adoption creates a resource owner, or one owner appears in two leaves.
K2-COMPOSE	K2 SEALED-STATE	primitive	affine	A-PARTITION,A-SUBOWNER,N-FOOTPRINT	A-PARTITION,A-SUBOWNER	Detach is the sole Subowner producer and consumes the matching parent leaf into Out; product, sum, span, split, and join only preserve lineage.	Build closed products, closed sums, symbolic spans, and exact parent-frame/subowner pairs.	Failed detach or join returns the complete predecessor.	Abort has no successor.	A live subowner may be abandoned only without releasing or reusing its parent root.	Parent and child retain rho and lambda; each fragment has an independent epsilon and exact Out identifier.	Join requires the matching frame Out and subowner; no orphan can release the root.	Finite descriptor traversal and affine multiset equality; spans are checked symbolically, not unrolled.	Composition and Out identifiers erase.	All projects need products or spans; allocator blocks and page pins need fragment owners.	Without it, code pays per-element roots, backpointers, wrapper allocation, scans, or premature whole-root release.	Detaching while retaining the parent leaf or joining a different subowner is rejected.	A root releases while an Out fragment remains or one fragment appears twice.
K2-CLASSIFY	K2 SEALED-STATE	primitive	affine	A-PARTITION,A-CLASSIFIED,N-METADATA,N-FOOTPRINT	A-CLASSIFIED,A-ROLEVIEW	Initial sealing from a fully known partition or fixed complete plain-data adoption is the sole origin; later states consume the current classifier. RoleView is scoped elimination only.	Maintain a finite role table selected by whitelisted native metadata and checked affine place mapping; selection retains the borrowed classifier lineage while creating only a scoped view.	Decoder failure returns no RoleView and preserves the certificate.	Abort has no successor.	Dropping a certificate cannot release its root or convert its leaves.	Binds rho, lambda, epsilon, metadata footprint, payload map, phase, and exact metadata/payload invalidators.	Owner-bearing arms remain inside the affine certificate until a K3 transition or structural close.	Whitelist AST validation plus finite-total role table and canonical map checks; no source call, loop, recursion, proof, or solver.	Classifier, phase, and RoleView erase; native metadata remains.	Sparse control/payload, page roles, and checked byte-page roles need metadata-selected maintained authority.	Without it, representations need eager initialization, liveness bitmaps, persistent tags, scans, or unsafe metadata authority.	A raw FULL byte, non-null link, page number, or validator result cannot mint RoleView.	Metadata alone authorizes a live payload or a raw metadata write preserves the old certificate.
K2-STRICT	K2 SEALED-STATE	primitive	affine	A-PARTITION,A-STRICT,A-SUBOWNER,N-PLACE	A-STRICT,A-ROLEVIEW,A-SUBOWNER	Known-empty sealing, fixed complete adoption, and linear push consuming one exact node are the only origins; selection, pop, and splice consume or borrow the current strict certificate.	Maintain Nil or Node(place, child, rest) over unique disjoint leaves, with stored addresses only selecting certified children.	Failed selection or empty pop preserves the prior chain.	Abort has no successor.	An abandoned chain cannot release its root; its structural disposition remains owed.	Binds rho, lambda, finite partition bound, checked place map, node shape, and next-field invalidators.	Pop returns the exact node and tail; structured close removes each obligation before its action.	Validate one finite inductive schema and local push/pop equations; never traverse or unroll the runtime chain.	Strict certificates erase; native head and next fields remain.	Intrusive free chains, overflow ownership, and bounded detached chains need strict linear structure.	Without it, safe code needs per-node roots, tags, bitmaps, backpointers, scans, or address-forged ownership.	An arbitrary non-null head or duplicate node cannot produce a chain certificate.	A copied address yields FreeNode authority or a cycle passes affine accounting.
K2-LOAN	K2 SEALED-STATE	primitive	closed scoped(shared|unique)	A-LIVE,A-ROLEVIEW,A-PARTITION	A-LOAN	Only an existing current live leaf or scoped RoleView produces a loan.	Create a shared or unique scoped loan with exact root, range, state generation, and invalidators.	Failed scope or compatibility check creates no loan.	Abort ends the execution path.	A loan cannot be abandoned into a longer scope or outlive the root.	Binds rho, lambda, epsilon, interval, mode, region, and every incompatible transition.	Scope end returns the escrowed incompatible authority to the parent state.	Lexical region and affine CFG checks plus exact overlap testing.	Loans and source maps erase.	Zero-copy lookup, mutation, page parsing, and protected loads need root-exact access.	Without it, code copies, boxes, uses coarse whole-root access, performs runtime checks, or accepts stale/wrong-root references.	A place, address, guard, or metadata result alone cannot produce a loan.	A loan escapes its state generation or survives an overlapping transition.
K2-CONTROL	K2 SEALED-STATE	primitive	affine	A-PARTITION,A-CLASSIFIED,A-STRICT,A-CONTROL,A-TRANSIT,A-DISPOSITION	A-CONTROL,A-TRANSIT,A-DISPOSITION	Known stable sealing is the sole initial origin; focus, progress, repair, poison, and stable successors are linear transfers.	Represent Stable, exclusive Focus, structural Progress, Repair, and Poison with exact carried owners and obligations.	Every recoverable arm names the exact predecessor, successor, repair, or poison resources.	Abort has no successor and promises no cleanup.	Returning abandonment cannot discard Transit or Disposition and cannot regain Stable.	Control state binds all affected roots, generations, cursor measure, partial events, and invalidators.	Only sealed resume, repair, poison, or structural disposition is available outside Stable.	Finite outcome table plus exact authority-multiset equations and a fixed local decreasing measure.	Control tags erase unless the source representation already stores them.	Rehash, allocator collection, page balance, rollback, and bounded collection need partial progress.	Without it, code needs snapshots, inverse closures, persistent protocol tags, mandatory local rollback, or exposes invalid intermediate state.	A callback result or writer predicate cannot close Stable or erase an outstanding owner.	A partial failure returns Stable or an obligation disappears on a returning path.
