endpoint_id	unit	direction	observation	estimator	selection_role	pooling_rule	missing_data_rule	status
END-RAW-TRACE-NS	nanoseconds per complete trace	LOWER_IS_BETTER	One raw positive monotonic interval around one exact trace in one fresh child; no empty-harness subtraction.	Exact scheduled-mixture count of strict raw-integer successes under the registered timing cross-product	PRIMARY_NONINFERIORITY_AND_REGISTERED_BENEFIT	No workload, shape, payload, target, size, or operation pooling.	Missing, duplicate, nonpositive, malformed, or incomplete rows invalidate the complete six-treatment block.	FROZEN_PROTOCOL
END-PEAK-ACQUIRED-BYTES	allocator-reported subject-owned usable bytes	LOWER_IS_BETTER	Peak live usable bytes including old/new transient growth.	Exact scheduled-mixture count of strict raw-integer successes under the registered memory cross-product and zero-byte rule	REGISTERED_GLOBAL_BENEFIT	No cross-cell or cross-target pooling.	Missing adapter data invalidates the block.	PENDING_EXTERNAL
END-TRACE-LATENCY-P50	nanoseconds per complete trace	LOWER_IS_BETTER	Nearest-rank p50 from retained raw valid trace observations inside the exact cell.	nearest-rank order statistic ceil(q*n), clamped to [1,n]	DESCRIPTIVE_ONLY	Reported separately for every operation, shape, payload, size, target, and treatment; never enters selection.	Report NOT_AVAILABLE with exact cause; never substitute zero, impute, or borrow another cell.	FROZEN_PROTOCOL
END-TRACE-LATENCY-P95	nanoseconds per complete trace	LOWER_IS_BETTER	Nearest-rank p95 from retained raw valid trace observations inside the exact cell.	nearest-rank order statistic ceil(q*n), clamped to [1,n]	DESCRIPTIVE_ONLY	Reported separately for every operation, shape, payload, size, target, and treatment; never enters selection.	Report NOT_AVAILABLE with exact cause; never substitute zero, impute, or borrow another cell.	FROZEN_PROTOCOL
END-TRACE-LATENCY-P99	nanoseconds per complete trace	LOWER_IS_BETTER	Nearest-rank p99 from retained raw valid trace observations inside the exact cell.	nearest-rank order statistic ceil(q*n), clamped to [1,n]	DESCRIPTIVE_ONLY	Reported separately for every operation, shape, payload, size, target, and treatment; never enters selection.	Report NOT_AVAILABLE with exact cause; never substitute zero, impute, or borrow another cell.	FROZEN_PROTOCOL
END-OP-LATENCY-P50	nanoseconds per logical operation	LOWER_IS_BETTER	Nearest-rank p50 from retained raw valid op observations inside the exact cell.	nearest-rank order statistic ceil(q*n), clamped to [1,n]	DESCRIPTIVE_ONLY	Reported separately for every operation, shape, payload, size, target, and treatment; never enters selection.	Report NOT_AVAILABLE with exact cause; never substitute zero, impute, or borrow another cell.	FROZEN_PROTOCOL
END-OP-LATENCY-P95	nanoseconds per logical operation	LOWER_IS_BETTER	Nearest-rank p95 from retained raw valid op observations inside the exact cell.	nearest-rank order statistic ceil(q*n), clamped to [1,n]	DESCRIPTIVE_ONLY	Reported separately for every operation, shape, payload, size, target, and treatment; never enters selection.	Report NOT_AVAILABLE with exact cause; never substitute zero, impute, or borrow another cell.	FROZEN_PROTOCOL
END-OP-LATENCY-P99	nanoseconds per logical operation	LOWER_IS_BETTER	Nearest-rank p99 from retained raw valid op observations inside the exact cell.	nearest-rank order statistic ceil(q*n), clamped to [1,n]	DESCRIPTIVE_ONLY	Reported separately for every operation, shape, payload, size, target, and treatment; never enters selection.	Report NOT_AVAILABLE with exact cause; never substitute zero, impute, or borrow another cell.	FROZEN_PROTOCOL
END-HARDWARE-COUNTERS	raw target counter events	DESCRIPTIVE	Cycles, instructions, branches, branch misses, cache events, and TLB events collected under the exact target counter policy.	Raw count and count per logical operation; p50/p95/p99 descriptive	DESCRIPTIVE_ONLY	No event, group, target, or workload pooling.	Unavailable or multiplexed-beyond-threshold events are explicit NOT_AVAILABLE rows with probe evidence; never zero.	PENDING_EXTERNAL
END-CODE-UNION-BYTES	unique reachable linked text bytes	LOWER_IS_BETTER	Set union of linked text intervals reachable from mandatory roots.	One deterministic value per target and treatment	STRUCTURAL_RUST_FLOOR	Shared interval counted once; unresolved indirect reachability fails closed.	Missing reachability or relocation data fails.	PENDING_EXTERNAL
END-STRUCTURAL-COUNTERS	exact counts	EXACT_CEILINGS	Allocations, requested/usable/live/peak bytes, initialized, moved, cloned, dropped values, checks, branches, calls, facts, behavior calls, metadata, and source passes.	Exact deterministic equality or registered ceiling	STRUCTURAL_ADMISSION	Every counter remains cell-local.	Any required missing counter fails admission.	PENDING_EXTERNAL
