algorithm_id	operation_gate_id	member_contract_id	contract_ids	exact_trigger_and_prestate	exact_commit_and_poststate	behavior_schedule	allocation_and_capacity_rule	resource_ceiling	rust_reference_route_id	member_declaration_sha256	status
ALG-014ED10E5E5BA661D0DC	OPG-014ED10E5E5BA661D0DC	DENSE-INIT-CLONE	DENSE-INIT-CLONE::INIT-WRITE-01::COMMON-NON-OD1::SUCCESS	DENSE-INIT-CLONE::INIT-WRITE-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=DEST has exactly N dead slots; SRC has N valid shared values; Clone is available.	DENSE-INIT-CLONE::INIT-WRITE-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Success returns one valid dense owner with N cloned owners; partial normal exit is forbidden or structurally cleaned by the selected lifecycle.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-INIT-CLONE::INIT-WRITE-01::COMMON-NON-OD1::SUCCESS: Exactly N clone calls in increasing order. Outcome branch calls: BASE_CONTRACT_EXACT_COUNT.	DENSE-INIT-CLONE::INIT-WRITE-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-INIT-CLONE::INIT-WRITE-01::COMMON-NON-OD1::SUCCESS: O(N); one existing destination allocation; no per-item allocation.	REF-RUST-VEC	d6a26dd3fd66652bdc79c2d8617af6e4f71277a35dcfc2038ccd5922ced14541	FROZEN_PROTOCOL
ALG-02181E45BD75AEE7AB21	OPG-02181E45BD75AEE7AB21	DENSE-VIEW-GET-SHARED	DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::ABSENT,DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::PRESENT	DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::ABSENT: trigger=Requested element, range, chunk, or endpoint does not exist.; pre=VIEW is valid; INDEX/RANGE is supplied. || DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::PRESENT: trigger=Requested element, range, chunk, or endpoint exists.; pre=VIEW is valid; INDEX/RANGE is supplied.	DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::ABSENT: commit=NO_DESTRUCTIVE_COMMIT; post=In bounds returns Some shared receiver-rooted borrow; out of bounds returns None.; equation=BASE1=BASE0; no borrow or owner is created. || DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::PRESENT: commit=NO_DESTRUCTIVE_COMMIT; post=In bounds returns Some shared receiver-rooted borrow; out of bounds returns None.; equation=BASE1=BASE0 and result.root=A0 and result.version=V0.	DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::ABSENT: Index behavior is statically selected and direct. Outcome branch calls: ZERO. || DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::PRESENT: Index behavior is statically selected and direct. Outcome branch calls: ZERO.	DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::ABSENT: ALLOC(BASE)=A0 || DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::PRESENT: ALLOC(BASE)=A0	DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::ABSENT: O(1); zero allocation. || DENSE-VIEW-GET-SHARED::VIEW-GET-01::COMMON-NON-OD1::PRESENT: O(1); zero allocation.	REF-RUST-VEC	4b9a7fa5cf18ff154defadfd6daffae61d4ad4a3f93723c7816185e125bac03b	FROZEN_PROTOCOL
ALG-051084F0BF954A0B2960	OPG-051084F0BF954A0B2960	DENSE-RETAIN-MUT	DENSE-RETAIN-MUT::SEQ-RETAIN-01::COMMON-NON-OD1::SUCCESS	DENSE-RETAIN-MUT::SEQ-RETAIN-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=BASE is valid; PRED is owned; no incompatible borrow is live.	DENSE-RETAIN-MUT::SEQ-RETAIN-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=As retain, while each call may mutate its current sole owner before deciding retention.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-RETAIN-MUT::SEQ-RETAIN-01::COMMON-NON-OD1::SUCCESS: Exactly one unique predicate call per original owner in increasing order. Outcome branch calls: BASE_CONTRACT_EXACT_COUNT.	DENSE-RETAIN-MUT::SEQ-RETAIN-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-RETAIN-MUT::SEQ-RETAIN-01::COMMON-NON-OD1::SUCCESS: O(n) calls/relocations; zero allocation.	REF-RUST-VEC	273393896b8743e8ce875d031149af3a077f8e7773c010daa29f042bdea538a2	FROZEN_PROTOCOL
ALG-05528DC14E76B4534AAE	OPG-05528DC14E76B4534AAE	DENSE-CLEAR	DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::ALL_VALUES_DESTROYED	DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::ALL_VALUES_DESTROYED: trigger=len>0.; pre=BASE is valid.	DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::ALL_VALUES_DESTROYED: commit=LEN_ZEROED_BEFORE_OR_IN_LOCKSTEP_WITH_DESTRUCTION; post=BASE is valid with len=0 and unchanged capacity; all former live owners are destroyed once.; equation=Exactly old [0,len) is destroyed once; allocation retained.	DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::ALL_VALUES_DESTROYED: ZERO Outcome branch calls: ZERO.	DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::ALL_VALUES_DESTROYED: unchanged	DENSE-CLEAR::SEQ-TRUNCATE-01::COMMON-NON-OD1::ALL_VALUES_DESTROYED: Exactly old len destructions; no allocation; no spare-capacity scan.	REF-RUST-VEC	121a8ad97c1f1c127d6d05f76bb8c51d5d7d24346dd49b57adef274e10ac8aa3	FROZEN_PROTOCOL
ALG-063857A5A4B57D211F4C	OPG-063857A5A4B57D211F4C	DENSE-RESIZE-CLONE	DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_GROW,DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_GROW: trigger=Growth arithmetic succeeds and divergent allocation succeeds.; pre=BASE is valid; NEW_LEN is checked; SEED is owned when growth is requested. || DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW: trigger=Required capacity is already available.; pre=BASE is valid; NEW_LEN is checked; SEED is owned when growth is requested.	DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_GROW: commit=NEW_ALLOCATION_OWNED_BEFORE_RELOCATION;OFFERED_COMMIT_AFTER_CAPACITY; post=Shrink destroys suffix owners; growth appends clone results and moves SEED exactly into the final new slot.; equation=All old and offered owners reach exactly one post-state role. || DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW: commit=VALUE_OR_RANGE_COMMIT; post=Shrink destroys suffix owners; growth appends clone results and moves SEED exactly into the final new slot.; equation=Every offered owner has exactly one declared destination.	DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_GROW: Growth calls clone_from/clone exactly max(new_len-old_len-1,0) times in order. Outcome branch calls: DECLARED_MEMBER_COUNT. || DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW: Growth calls clone_from/clone exactly max(new_len-old_len-1,0) times in order. Outcome branch calls: DECLARED_MEMBER_COUNT.	DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_GROW: ALLOC(BASE')=A1;A0 released once || DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW: ALLOC(BASE')=A0	DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_GROW: O(abs length delta); at most one growth allocation. || DENSE-RESIZE-CLONE::SEQ-RESIZE-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW: O(abs length delta); at most one growth allocation.	REF-RUST-VEC	3408eb161719a2ff5c245c4951126c6c8bb7c0aa7992252e81d9304f9c3deb3c	FROZEN_PROTOCOL
ALG-07E95760235B2771FD9E	OPG-07E95760235B2771FD9E	DENSE-REPEAT	DENSE-REPEAT::VIEW-CONCAT-01::COMMON-NON-OD1::SUCCESS	DENSE-REPEAT::VIEW-CONCAT-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=SRC is a valid shared view; COUNT is checked; Clone is available.	DENSE-REPEAT::VIEW-CONCAT-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Returns one new owner containing COUNT ordered clone copies of SRC.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-REPEAT::VIEW-CONCAT-01::COMMON-NON-OD1::SUCCESS: Exactly len(SRC)*COUNT clone calls in output order. Outcome branch calls: BASE_CONTRACT_EXACT_COUNT.	DENSE-REPEAT::VIEW-CONCAT-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-REPEAT::VIEW-CONCAT-01::COMMON-NON-OD1::SUCCESS: O(output len); one allocation; checked multiplication; no per-item allocation.	REF-RUST-VEC	45c9247703cab5e25fa269b2117a6423463b789cb6deb16bd671445216bdd21a	FROZEN_PROTOCOL
ALG-0B9989638A0FF27FAC1D	OPG-0B9989638A0FF27FAC1D	DENSE-VIEW-END-SPLIT	DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::ABSENT,DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::PRESENT	DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::ABSENT: trigger=Requested element, range, chunk, or endpoint does not exist.; pre=VIEW is valid. || DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::PRESENT: trigger=Requested element, range, chunk, or endpoint exists.; pre=VIEW is valid.	DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::ABSENT: commit=NO_DESTRUCTIVE_COMMIT; post=Nonempty returns endpoint borrow plus disjoint remainder view; empty returns None.; equation=BASE1=BASE0; no borrow or owner is created. || DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::PRESENT: commit=NO_DESTRUCTIVE_COMMIT; post=Nonempty returns endpoint borrow plus disjoint remainder view; empty returns None.; equation=BASE1=BASE0 and result.root=A0 and result.version=V0.	DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::ABSENT: ZERO Outcome branch calls: ZERO. || DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::PRESENT: ZERO Outcome branch calls: ZERO.	DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::ABSENT: ALLOC(BASE)=A0 || DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::PRESENT: ALLOC(BASE)=A0	DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::ABSENT: O(1); zero allocation. || DENSE-VIEW-END-SPLIT::VIEW-END-SPLIT-01::COMMON-NON-OD1::PRESENT: O(1); zero allocation.	REF-RUST-VEC	8b5fe9baf8ec95ff52e897ba727b118449bc86473831f65a3079736d3dc71d00	FROZEN_PROTOCOL
ALG-0C3A25945EBE3A41324C	OPG-0C3A25945EBE3A41324C	DENSE-TRUNCATE	DENSE-TRUNCATE::SEQ-TRUNCATE-01::COMMON-NON-OD1::SUFFIX_DESTROYED	DENSE-TRUNCATE::SEQ-TRUNCATE-01::COMMON-NON-OD1::SUFFIX_DESTROYED: trigger=new_len<old_len.; pre=BASE is valid; NEW_LEN is supplied.	DENSE-TRUNCATE::SEQ-TRUNCATE-01::COMMON-NON-OD1::SUFFIX_DESTROYED: commit=LEN_SHORTENED_BEFORE_EACH_DESTRUCTOR; post=If NEW_LEN<len, destroys exactly [NEW_LEN,len) and sets len; otherwise BASE is unchanged.; equation=Exactly indices [new_len,old_len) are destroyed once.	DENSE-TRUNCATE::SEQ-TRUNCATE-01::COMMON-NON-OD1::SUFFIX_DESTROYED: Destructors run in increasing logical index order over removed range. Outcome branch calls: EXACT_DESTRUCTOR_COUNT.	DENSE-TRUNCATE::SEQ-TRUNCATE-01::COMMON-NON-OD1::SUFFIX_DESTROYED: unchanged	DENSE-TRUNCATE::SEQ-TRUNCATE-01::COMMON-NON-OD1::SUFFIX_DESTROYED: O(max(old_len-new_len,0)); zero allocation; no spare scan.	REF-RUST-VEC	2f77f05888889df80767c8d9cace540a3f5fff5b9cd83f6c970072755ebba7c8	FROZEN_PROTOCOL
ALG-0C6E5D25D96AE28B0B29	OPG-0C6E5D25D96AE28B0B29	DENSE-FILL-WITH	DENSE-FILL-WITH::VIEW-FILL-01::COMMON-NON-OD1::SUCCESS	DENSE-FILL-WITH::VIEW-FILL-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=VIEW is uniquely borrowed and PRODUCER environment is owned.	DENSE-FILL-WITH::VIEW-FILL-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Each slot contains the corresponding produced owner; each replaced owner is destroyed after its replacement exists.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-FILL-WITH::VIEW-FILL-01::COMMON-NON-OD1::SUCCESS: Exactly len calls in increasing index order; producer-before-replace. Outcome branch calls: BASE_CONTRACT_EXACT_COUNT.	DENSE-FILL-WITH::VIEW-FILL-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-FILL-WITH::VIEW-FILL-01::COMMON-NON-OD1::SUCCESS: O(len); zero collection allocation.	REF-RUST-VEC	7306eb97a19341f9af894f8eb67a7af2041b50b94773f6488720e79dfc1d39f0	FROZEN_PROTOCOL
ALG-0D9BBFC7C75BCE505440	OPG-0D9BBFC7C75BCE505440	DENSE-TAKE-WITH-DEFAULT	DENSE-TAKE-WITH-DEFAULT::MEM-TAKE-01::COMMON-NON-OD1::SUCCESS	DENSE-TAKE-WITH-DEFAULT::MEM-TAKE-01::COMMON-NON-OD1::SUCCESS: trigger=All member preconditions hold.; pre=PLACE is live under unique authority and Default is available.	DENSE-TAKE-WITH-DEFAULT::MEM-TAKE-01::COMMON-NON-OD1::SUCCESS: commit=NO_DESTRUCTIVE_COMMIT; post=Constructs replacement before commitment, installs it, and returns old sole owner.; equation=ValidDense(BASE1) and ordered values equal the member transformation of BASE0.	DENSE-TAKE-WITH-DEFAULT::MEM-TAKE-01::COMMON-NON-OD1::SUCCESS: Exactly one Default call. Outcome branch calls: BASE_CONTRACT_EXACT_COUNT.	DENSE-TAKE-WITH-DEFAULT::MEM-TAKE-01::COMMON-NON-OD1::SUCCESS: ALLOC(BASE)=A0	DENSE-TAKE-WITH-DEFAULT::MEM-TAKE-01::COMMON-NON-OD1::SUCCESS: O(1) collection work; behavior-owned allocation is charged.	REF-RUST-VEC	3305b5aec327087bc0a1c9fc3a35a8ecd7ea95401fe7b68d659560b47f6fb7b0	FROZEN_PROTOCOL
