capability_id	dimension	proof_obligation	caller_contracts	current_xlang_status	current_evidence_or_blocker	semantic_minimum	protected_performance_rule	family_lock_scope
ST-FULL	live-set topology	A fixed owner proves every slot contains a valid T for its whole lifetime.	fixed arrays; fixed buffers; static tables	established_narrow	TYPE-2 and STOR-1 establish fixed fully initialized array/buffer storage, but elements are Copy-only.	Checked allocation and full initialization; all indexes bounds checked; exact owner free.	Preserve the existing two-word buffer and one allocation; add no capacity, occupancy, generation, or sharing metadata.	protected baseline
ST-AOS	record layout	A contiguous fixed owner may contain record values without silently cloning resource ownership.	fixed AoS record buffers; FFI-shaped records; row scans	gap	TYPE-2 rejects record elements; SoA P2 is measured but does not preserve the AoS contract.	Admit the frozen record ownership class and field access while preserving one allocation and contiguous rows.	AoS must remain expressible; no claim that it globally replaces SoA.	dense family prerequisite
ST-DENSE	live-set topology	The owner proves exactly one live prefix [0,len) and an inaccessible non-T tail.	growable sequence; heap; byte/text builder; dense stack	gap	Current buffer length is allocation length and all slots are live T.	Only live slots may be read, borrowed, moved, or dropped; spare capacity is neither readable nor droppable as T.	No per-slot occupancy metadata or branch is charged when prefix proof state suffices.	dense family
ST-RING	live-set topology	The owner proves a wrapped live range representable as at most two intervals.	deque; bounded ring; alternating-end queue	gap	A simple dense prefix makes front removal O(n); a generic sparse encoding would add avoidable metadata.	Checked logical-to-physical mapping, two-slice exposure, wrap/rebalance, and exact live-slot drop.	No per-slot sparse tag on the canonical ring path unless Lock A measures and selects it.	deque family
ST-SPARSE	live-set topology	The owner proves an arbitrary occupied set and ties every readable payload to checked occupancy state.	hash map/set; recyclable pool; slab	gap	No partial initialization or occupancy-to-payload relation exists; split control/payload would create a new fact channel.	Atomic checked Full/Vacant transitions, exact live-slot destruction, and unforgeable metadata/payload coherence.	Do not charge dense or append-only paths for sparse metadata.	sparse family
ST-DEPENDENT	live-set topology	One owner may prove several related live ranges whose bounds depend on each other.	B-tree node; ECS aligned columns; multi-buffer transaction	gap	Current owners have one fixed fully live range; no cross-buffer invariant can be sealed from clients.	Checked relation establishment and atomic preservation across split, merge, migration, and failure.	Do not require a universal bitmap when compact dependent counters prove the state.	ordered and stable-identity families
ST-HOLE	transient topology	A transition may own an inaccessible hole or source/destination live ranges without exposing invalid T.	direct relocation; stable compaction; gap sequence; node split	gap	Current partial move kills the root and cannot reinitialize it; an affine token may be abandoned.	Every normal exit or permitted abandonment already leaves a valid owner, or exact-use/derived cleanup is separately proven.	Direct element traffic remains a measured selection axis; adjacent-swap or rebuild simulations do not get free equivalence.	dense and later implicated families
ST-REFINE	value validity	Live bytes may additionally carry a checked refinement such as UTF-8 validity.	String; text slices; validated protocol values	gap	Initialization alone does not establish a refinement type or seal/invalidation path.	Only checked constructors/transitions mint the refinement; every byte mutation invalidates or re-establishes it.	Reuse byte storage without charging raw byte sequences for text validation or metadata.	text family
OW-INIT	ownership transition	Move one affine value into dead storage exactly once.	push; vacant insert; partial construction	gap	Buffers reject affine elements and expose no dead storage state.	Destination becomes live only after the value is written; failure returns or preserves the offered owner.	No hidden Copy/Clone and no preconstructed spare T.	dense and sparse families
OW-MOVEOUT	ownership transition	Move one affine value out while atomically changing its slot to a non-readable state.	pop; remove; occupied-entry removal; box extraction	gap	OWN-1 kills the whole root on partial move and forbids reinitialization.	Returned value has one owner; the source slot is no longer read or dropped; surrounding owner remains valid.	O(1) pop/swap-remove and family-specific remove bounds must remain attainable.	dense, sparse, recursive families
OW-REPLACE	ownership transition	Move a new value into one live place and return the old value with two-transfer traffic.	replace; entry replacement; backpatch affine field	gap	No sanctioned take/replace; swap-based simulation can add traffic and cannot leave a hole.	The place remains live across the public operation; neither value is silently dropped or cloned.	Price against direct two-transfer relocation, not a three-swap implementation.	dense prerequisite
OW-SWAP	ownership transition	Exchange two runtime-proven-disjoint live affine places.	sort; heap repair; graph rewiring; dynamic swap	partial_copy_only	Copy values can be staged manually, but OWN-7 conservatively overlaps dynamic indexed places and affine elements are absent.	Checked distinctness proves two exclusive places for the operation and expires after mutation.	No hidden allocation or whole-container rebuild; element traffic is counted.	dense and access families
OW-RELOCATE	ownership transition	Move a live range to nonoverlapping or overlap-safe destination storage without source drops.	growth; insert/remove shift; make-contiguous; drain repair; compaction; rehash; node split	gap	No general affine storage or raw-free-after-move transition exists.	Each source ownership reaches exactly one destination; partial completion and overlap direction are proved.	Direct relocation byte model is the structural baseline.	dense and implicated families
OW-CLONE	ownership transition	Explicitly duplicate values or update a live destination through a callable clone/clone-from contract, with exact partial-progress validity.	deep clone; repeat; to-owned; in-place clone-from	partial_copy_only	Copy elements duplicate implicitly; no general callable Clone path, in-place clone-from path, or partial-clone validity proof exists.	A fresh clone creates exactly one new owner; in-place clone-from may reuse destination resources but leaves the destination valid at every normal callback boundary. Cloning is distinct from relocation, replacement-return, and unconditional whole-value drop.	Never infer clone from storage relocation; charge calls, allocation, partial cleanup, and destination reuse without imposing a mandatory drop/reallocation tax on clone-from.	dense and behavior families
OW-DROP	ownership transition	Destroy exactly the live payloads and free every owned allocation once.	clear; truncate; rejected duplicate; displaced value; owner drop; partial construction; recursive destroy	partial	STOR-3 derives owner drops on normal exits, but current buffers contain Copy elements and no partial live set exists.	Drop decisions come only from kernel-owned proof state; moved-from or dead slots are never dropped.	No full-capacity drop scan for dense-prefix storage; bounded-stack recursive destruction remains a witness.	all owning families
EX-NORMAL	exit/destruction	Every fallthrough, return, break, give, and recoverable error propagation closes owner invariants.	all owning and cursor contracts	partial	STOR-3 covers current whole owners; it does not repair a hole-bearing owner or force an affine token to finish.	Every non-trap exit leaves reachable owners valid and satisfies the selected exact-destruction policy.	No mandatory cleanup callback on the hot path unless selected and measured.	global law
EX-ABANDON	exit/destruction	Dropping or forgetting an affine protocol value cannot strand invalid representation state.	drain; splice; rebuild; entry/cursor guards	gap	Affinity prevents copies but permits abandonment; xlang has no user finalizer.	An abandonable value already owns a valid post-state, is exact-use, or has compiler-derived cleanup with explicit semantics.	Writer discipline or a conventional finish call never counts.	dense and cursor families
