cluster_ordinal	cluster_id	family	semantic_class	importability	refinement_policy	evidence_universe_policy	allowed_evidence_dispositions	prohibited_direct_uses	census_row_sha256	derivation_row_sha256	policy_version
1	ARR-VIEW-01	fixed_array_view	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	45a5a098677d1e1283a81476a03b954725e3341ec11d53afd21eb2133496ea80	a16987b071f18d4a07398f0d7f621d930d5304b4c190924bc6c5e6096aa26c7c	xlang-g0-coverage-cluster-policy-v1
2	ARR-EACH-01	fixed_array_partition	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	8137e59745766a5585054f074201003bd66087128acd53f6cb25531acd4a4030	987b41857c145c62c7943aa9dc5ab546d0e794f92cede3018a5a427fe27a158f	xlang-g0-coverage-cluster-policy-v1
3	ARR-MAP-01	fixed_array_transform	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	f8b602a439fab200d075c42138ba2b30cb7c4a81305d6d9d5cd7e422e2474b4e	65f46804bbca29e53192aecf08b1b3679dc6c076d37cf289f88f0b473ea8dce1	xlang-g0-coverage-cluster-policy-v1
4	VIEW-META-01	borrowed_sequence_metadata	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	b9ebd6b255b210ea32139f9957ccef822059d094346eaeee8d19ad92c2a87446	179475ef14a9e87ce704f1faab51fb5b3d1138467bbd6288fc0e509e428d32c7	xlang-g0-coverage-cluster-policy-v1
5	VIEW-GET-01	borrowed_sequence_access	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	1a1dfe6ee83b6ae5f0dbe0c29e60ac46fbcee01d5129ec759e1ff71ac09580bf	ece04c7d5166cc72f67ee484dcb499914e5d1259b6fc7dc5cf77b3b4187d628a	xlang-g0-coverage-cluster-policy-v1
6	VIEW-GET-02	borrowed_sequence_access	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	c95898be7ee2317877275c6418c32cbb4d8c1e8e977fe8ae7a4d12f007f78bd9	1399c838cd3373648172be49e3f81c0f97721cf77298fc580c5b01c46205e049	xlang-g0-coverage-cluster-policy-v1
7	VIEW-END-01	borrowed_sequence_access	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	5c1aaa436c99ac81133d326d6349f120f04bc38a352e9fccb1346b824e8869a9	9add066ad9bb65885bb837babdd2da763f3174faf6309eecf6e7f4ef3f880b76	xlang-g0-coverage-cluster-policy-v1
8	VIEW-ARRAY-01	borrowed_shape_refinement	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	9ce6313bae0e1380d23fd7f706488effad887200fd1aedca6388f268ff1307a9	428d25a84e3f0f84d14006ff99e07bc4dce0af3e8f7b09e5a3c1f8e133532bd5	xlang-g0-coverage-cluster-policy-v1
9	VIEW-END-CHUNK-01	borrowed_shape_partition	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	dd81dfe24bfe68b47ca603c7f4e204e999b8102b7db7c8d6ccc404c2252293df	43ee6b570fb8149585f165bfc5d1f09b8d34267e7c553056f3c989edd2e52de6	xlang-g0-coverage-cluster-policy-v1
10	VIEW-END-SPLIT-01	borrowed_shape_partition	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	763266e80f64294df66504be0c1ee635a792738679702608d3aaa8f749f7fd57	c5e882defeeb187ec1943f10d98613304715b9236f2a2b1138138a1b50f87952	xlang-g0-coverage-cluster-policy-v1
