authority_id	emitting_rules	accepting_rules	exchange_kind	exchange_condition	boundedness_argument	forbidden_exchange	status
A-BYTES	K3-OWNER,K3-EXTERNAL	K2-LEAF,K3-OWNER,K3-EXTERNAL	initialized-byte lineage	Exact checked write, overwrite, read result, or predecessor transfer retains root, range, generation, and partial-completion state.	One row covers every producer-consumer pair because authority kind and binding are canonical.	No metadata, validator, allocation result alone, or high-level external leaf may emit Bytes.	COVERED
A-CALLABLE	K2-CALLABLE,K3-CALLABLE	K3-DISPOSE,K3-CALLABLE	callable seal transfer	Capture schema, effects, gate, multiplicity, thread rule, and chosen representation must match exactly.	The finite reusable/once constructor split and finite monomorphized signature set bound every exchange.	No raw call pointer, byte buffer, unsafe send promise, or project identity may enter the exchange.	COVERED
A-CLASSIFIED	K2-CLASSIFY,K3-OWNER	K2-CLASSIFY,K2-CONTROL,K2-FACT,K3-OWNER,K3-DISPOSE,K3-FACT	classified-state lineage	Every successor consumes the current certificate and preserves the exact role-table owner multiset under a fresh local generation; selection only borrows it for a scoped view.	One closed classifier schema and finite K3 opcodes replace operation-specific pairs.	No decoded metadata value, validator result, or overlapping raw store can retain or recreate the certificate.	COVERED
A-CONTROL	K2-CONTROL,K3-CONTROL,K3-EXTERNAL	K2-CONTROL,K2-FACT,K3-CONTROL,K3-EXTERNAL,K3-FACT	control-state lineage	The entire affected resource multiset, measure, event prefix, and exact outcome arm must match.	Stable, Focus, Progress, Repair, and Poison are a fixed five-state family checked locally.	No callback boolean, writer protocol, wildcard error, or implicit rollback chooses an authority successor.	COVERED
A-CUSTODY	K3-ATOMIC	K2-OBSERVER,K3-ATOMIC,K3-OBSERVE	atomic custody transfer	Only the declared successful native event transfers the exact offered target lineage; failure retains it.	The target-profile atomic opcode table is finite and independent of project operations.	No failed CAS, copied bits, address, relaxed event, or fact may transfer custody.	COVERED
A-DISPOSITION	K2-CONTROL,K3-CONTROL,K3-DISPOSE	K2-LEAF,K2-CONTROL,K2-CALLABLE,K3-CONTROL,K3-DISPOSE,K3-CALLABLE	executable obligation lineage	Source, target root, action, gate, and closed structural measure remain exact; every normal step consumes before acting.	Closed source constructors times fixed terminal leaves form a finite typed product, not an operation-specific table.	No arbitrary finalizer, destructor name, address, validator, or nondecreasing returning cleanup step is accepted.	COVERED
A-DOMAIN	K2-OBSERVER,K3-OBSERVE	K2-OBSERVER,K2-FACT,K3-OBSERVE,K3-FACT,K3-RELEASE	observer-domain lineage	Generative domain identity, complete registry, lane roles, admission profile, and ordering profile must remain exact.	Finite profile constructors plus symbolic structural folds avoid participant-count unrolling.	No guard, epoch integer, address, policy name, partial registry, or writer invariant may stand in for the domain.	COVERED
A-FACT	K2-FACT,K3-FACT	TERMINAL	read-only projection	Facts flow only to optimization and check-elision consumers outside the authority table and retain every invalidator.	The closed fact schema is finite; no authority rule lists A-FACT as an origin input.	No fact may emit or restore ownership, validity, custody, observation, retirement, quiescence, or release.	COVERED
A-INGRESS	K2-OBSERVER,K3-ATOMIC	K2-OBSERVER,K3-ATOMIC,K3-OBSERVE	complete admission-set lineage	The generative target, complete structural set identity, exact slots, Open or Closed roles, and slot generations must match; a slot event transforms only its bound leaf.	Closed product, sum, span, and strict sources plus nominal state identities make the interaction finite without reachability solving.	No successful CAS alone, address, copied pointer, partial edge list, policy name, or writer reachability assertion can close the set.	COVERED
A-LIVE	K3-OWNER,K3-ATOMIC	K2-LEAF,K2-LOAN,K3-OWNER,K3-BORROW,K3-ATOMIC	typed-owner lineage	Exact owner install, predecessor state, root, range, type/layout, and local generation must match.	Fixed owner opcodes and closed leaf constructors cover all exchanges.	No metadata, address, integer index, writer predicate, validator, or fact produces Live.	COVERED
A-LOAN	K2-LOAN,K3-BORROW	K2-CALLABLE,K2-FACT,K3-BORROW,K3-FACT	scoped access lineage	Root, layout epoch, local generation, interval, mode, region, and invalidators are invariant or narrowed.	Lexical scopes and exact interval conflicts are syntax-directed; no dynamic borrow graph is searched.	No place, metadata, index, address, wrapper, or guard alone produces a loan or extends its region.	COVERED
