baseline_path,current_path,affected_rules,source_migration,baseline_expectation,current_expectation
research/experiments/container-representation/dense/inline-view.wf,research/experiments/container-representation/dense/inline-view.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/families/boxed-helper-gap.wf,research/experiments/container-representation/families/boxed-helper-gap.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3;GRAM-2,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds; Rename source identifiers that conflict with the entry former where present,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/families/boxed-migration.wf,research/experiments/container-representation/families/boxed-migration.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3;GRAM-2,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds; Rename source identifiers that conflict with the entry former where present,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/families/growth.wf,research/experiments/container-representation/families/growth.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/families/hashmap.wf,research/experiments/container-representation/families/hashmap.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3;GRAM-2,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds; Rename source identifiers that conflict with the entry former where present,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/families/ordered-runtime-gap.wf,research/experiments/container-representation/families/ordered-runtime-gap.wf,GRAM-2;MSR-3,Rename source identifiers that conflict with the entry former where present,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/families/owning-growth.wf,research/experiments/container-representation/families/owning-growth.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3;GRAM-2,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds; Rename source identifiers that conflict with the entry former where present,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/families/owning-map.wf,research/experiments/container-representation/families/owning-map.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/families/packed-page.wf,research/experiments/container-representation/families/packed-page.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
research/experiments/container-representation/families/priority.wf,research/experiments/container-representation/families/priority.wf,BLK-0;BLK-3;CALL-5;CALL-6;MSR-3,Borrow the existing run with &uniq; placement returns unit; take returns only the element; preserve following uses and proof bounds,Existing program or snapshot expectation,Unchanged expectation
